task_name,index,result,model_name
nli,1,0,gemini-pro
nli,2,2,gemini-pro
nli,3,1,gemini-pro
nli,4,1,gemini-pro
nli,5,0,gemini-pro
nli,6,0,gemini-pro
nli,7,2,gemini-pro
nli,8,1,gemini-pro
nli,9,0,gemini-pro
nli,10,1,gemini-pro
nli,11,0,gemini-pro
nli,12,1,gemini-pro
nli,13,1,gemini-pro
nli,14,2,gemini-pro
nli,15,1,gemini-pro
nli,16,2,gemini-pro
nli,17,0,gemini-pro
nli,18,2,gemini-pro
nli,19,1,gemini-pro
nli,20,0,gemini-pro
nli,21,0,gemini-pro
nli,22,2,gemini-pro
nli,23,2,gemini-pro
nli,24,0,gemini-pro
nli,25,2,gemini-pro
nli,26,2,gemini-pro
nli,27,0,gemini-pro
nli,28,1,gemini-pro
nli,29,2,gemini-pro
nli,30,2,gemini-pro
nli,31,2,gemini-pro
nli,32,0,gemini-pro
nli,33,1,gemini-pro
nli,34,0,gemini-pro
nli,35,0,gemini-pro
nli,36,1,gemini-pro
nli,37,0,gemini-pro
nli,38,1,gemini-pro
nli,39,2,gemini-pro
nli,40,1,gemini-pro
nli,41,0,gemini-pro
nli,42,2,gemini-pro
nli,43,1,gemini-pro
nli,44,0,gemini-pro
nli,45,0,gemini-pro
nli,46,2,gemini-pro
nli,47,0,gemini-pro
nli,48,1,gemini-pro
nli,49,0,gemini-pro
nli,50,0,gemini-pro
nli,51,0,gemini-pro
nli,52,2,gemini-pro
nli,53,0,gemini-pro
nli,54,2,gemini-pro
nli,55,1,gemini-pro
nli,56,0,gemini-pro
nli,57,2,gemini-pro
nli,58,0,gemini-pro
nli,59,0,gemini-pro
nli,60,2,gemini-pro
nli,61,1,gemini-pro
nli,62,0,gemini-pro
nli,63,0,gemini-pro
nli,64,0,gemini-pro
nli,65,0,gemini-pro
nli,66,2,gemini-pro
nli,67,0,gemini-pro
nli,68,2,gemini-pro
nli,69,1,gemini-pro
nli,70,0,gemini-pro
nli,71,0,gemini-pro
nli,72,2,gemini-pro
nli,73,0,gemini-pro
nli,74,1,gemini-pro
nli,75,1,gemini-pro
nli,76,0,gemini-pro
nli,77,1,gemini-pro
nli,78,2,gemini-pro
nli,79,1,gemini-pro
nli,80,2,gemini-pro
nli,81,1,gemini-pro
nli,82,0,gemini-pro
nli,83,0,gemini-pro
nli,84,1,gemini-pro
nli,85,0,gemini-pro
nli,86,2,gemini-pro
nli,87,1,gemini-pro
nli,88,1,gemini-pro
nli,89,0,gemini-pro
nli,90,0,gemini-pro
nli,91,1,gemini-pro
nli,92,2,gemini-pro
nli,93,0,gemini-pro
nli,94,1,gemini-pro
nli,95,2,gemini-pro
nli,96,1,gemini-pro
nli,97,0,gemini-pro
nli,98,2,gemini-pro
nli,99,2,gemini-pro
nli,100,1,gemini-pro
nli,101,1,gemini-pro
nli,102,1,gemini-pro
nli,103,0,gemini-pro
nli,104,2,gemini-pro
nli,105,1,gemini-pro
nli,106,0,gemini-pro
nli,107,2,gemini-pro
nli,108,0,gemini-pro
nli,109,2,gemini-pro
nli,110,2,gemini-pro
nli,111,1,gemini-pro
nli,112,0,gemini-pro
nli,113,2,gemini-pro
nli,114,1,gemini-pro
nli,115,1,gemini-pro
nli,116,2,gemini-pro
nli,117,1,gemini-pro
nli,118,0,gemini-pro
nli,119,1,gemini-pro
nli,120,0,gemini-pro
