task_name,index,result,model_name
number_2,1,83,gemini-pro
number_2,2,100,gemini-pro
number_2,3,3,gemini-pro
number_2,4,4,gemini-pro
number_2,5,8,gemini-pro
number_2,6,6,gemini-pro
number_2,7,7,gemini-pro
number_2,8,8,gemini-pro
number_2,9,9,gemini-pro
number_2,10,10,gemini-pro
number_2,11,10,gemini-pro
number_2,12,12,gemini-pro
number_2,13,13,gemini-pro
number_2,14,14,gemini-pro
number_2,15,15,gemini-pro
number_2,16,16,gemini-pro
number_2,17,17,gemini-pro
number_2,18,18,gemini-pro
number_2,19,19,gemini-pro
number_2,20,20,gemini-pro
number_2,21,21,gemini-pro
number_2,22,22,gemini-pro
number_2,23,23,gemini-pro
number_2,24,24,gemini-pro
number_2,25,25,gemini-pro
number_2,26,26,gemini-pro
number_2,27,27,gemini-pro
number_2,28,28,gemini-pro
number_2,29,29,gemini-pro
number_2,30,30,gemini-pro
number_2,31,31,gemini-pro
number_2,32,32,gemini-pro
number_2,33,33,gemini-pro
number_2,34,34,gemini-pro
number_2,35,35,gemini-pro
number_2,36,36,gemini-pro
number_2,37,37,gemini-pro
number_2,38,38,gemini-pro
number_2,39,39,gemini-pro
number_2,40,40,gemini-pro
number_2,41,41,gemini-pro
number_2,42,42,gemini-pro
number_2,43,43,gemini-pro
number_2,44,44,gemini-pro
number_2,45,45,gemini-pro
number_2,46,46,gemini-pro
number_2,47,47,gemini-pro
number_2,48,48,gemini-pro
number_2,49,49,gemini-pro
number_2,50,50,gemini-pro
number_2,51,51,gemini-pro
number_2,52,52,gemini-pro
number_2,53,53,gemini-pro
number_2,54,54,gemini-pro
number_2,55,55,gemini-pro
number_2,56,56,gemini-pro
number_2,57,57,gemini-pro
number_2,58,58,gemini-pro
number_2,59,59,gemini-pro
number_2,60,60,gemini-pro
number_2,61,61,gemini-pro
number_2,62,62,gemini-pro
number_2,63,63,gemini-pro
number_2,64,64,gemini-pro
number_2,65,65,gemini-pro
number_2,66,66,gemini-pro
number_2,67,67,gemini-pro
number_2,68,68,gemini-pro
number_2,69,69,gemini-pro
number_2,70,70,gemini-pro
number_2,71,71,gemini-pro
number_2,72,72,gemini-pro
number_2,73,73,gemini-pro
number_2,74,74,gemini-pro
number_2,75,75,gemini-pro
number_2,76,76,gemini-pro
number_2,77,77,gemini-pro
number_2,78,78,gemini-pro
number_2,79,79,gemini-pro
number_2,80,80,gemini-pro
number_2,81,81,gemini-pro
number_2,82,82,gemini-pro
number_2,83,83,gemini-pro
number_2,84,84,gemini-pro
number_2,85,85,gemini-pro
number_2,86,86,gemini-pro
number_2,87,87,gemini-pro
number_2,88,88,gemini-pro
number_2,89,89,gemini-pro
number_2,90,90,gemini-pro
number_2,91,91,gemini-pro
number_2,92,92,gemini-pro
number_2,93,93,gemini-pro
number_2,94,94,gemini-pro
number_2,95,95,gemini-pro
number_2,96,96,gemini-pro
number_2,97,97,gemini-pro
number_2,98,98,gemini-pro
number_2,99,99,gemini-pro
number_2,100,100,gemini-pro
number_2,101,113,gemini-pro
number_2,102,116,gemini-pro
number_2,103,127,gemini-pro
number_2,104,129,gemini-pro
number_2,105,134,gemini-pro
number_2,106,137,gemini-pro
number_2,107,140,gemini-pro
number_2,108,144,gemini-pro
number_2,109,145,gemini-pro
number_2,110,167,gemini-pro
number_2,111,148,gemini-pro
number_2,112,190,gemini-pro
number_2,113,150,gemini-pro
number_2,114,155,gemini-pro
number_2,115,156,gemini-pro
number_2,116,159,gemini-pro
number_2,117,161,gemini-pro
number_2,118,162,gemini-pro
number_2,119,170,gemini-pro
number_2,120,171,gemini-pro
number_2,121,174,gemini-pro
number_2,122,175,gemini-pro
number_2,123,177,gemini-pro
number_2,124,183,gemini-pro
number_2,125,186,gemini-pro
number_2,126,187,gemini-pro
number_2,127,111,gemini-pro
number_2,128,42,gemini-pro
number_2,129,114,gemini-pro
number_2,130,117,gemini-pro
number_2,131,190,gemini-pro
number_2,132,200,gemini-pro
number_2,133,210,gemini-pro
number_2,134,212,gemini-pro
number_2,135,213,gemini-pro
number_2,136,217,gemini-pro
number_2,137,222,gemini-pro
number_2,138,224,gemini-pro
number_2,139,228,gemini-pro
number_2,140,232,gemini-pro
number_2,141,241,gemini-pro
number_2,142,242,gemini-pro
number_2,143,247,gemini-pro
number_2,144,248,gemini-pro
number_2,145,249,gemini-pro
number_2,146,255,gemini-pro
number_2,147,256,gemini-pro
number_2,148,261,gemini-pro
number_2,149,263,gemini-pro
number_2,150,264,gemini-pro
number_2,151,266,gemini-pro
number_2,152,268,gemini-pro
number_2,153,281,gemini-pro
number_2,154,282,gemini-pro
number_2,155,286,gemini-pro
number_2,156,294,gemini-pro
number_2,157,295,gemini-pro
number_2,158,300,gemini-pro
number_2,159,300,gemini-pro
number_2,160,302,gemini-pro
number_2,161,333,gemini-pro
number_2,162,308,gemini-pro
number_2,163,313,gemini-pro
number_2,164,314,gemini-pro
number_2,165,316,gemini-pro
number_2,166,317,gemini-pro
number_2,167,319,gemini-pro
number_2,168,322,gemini-pro
number_2,169,324,gemini-pro
number_2,170,330,gemini-pro
number_2,171,332,gemini-pro
number_2,172,337,gemini-pro
number_2,173,338,gemini-pro
number_2,174,340,gemini-pro
number_2,175,342,gemini-pro
number_2,176,343,gemini-pro
number_2,177,350,gemini-pro
number_2,178,359,gemini-pro
number_2,179,360,gemini-pro
number_2,180,366,gemini-pro
number_2,181,373,gemini-pro
number_2,182,375,gemini-pro
number_2,183,376,gemini-pro
number_2,184,378,gemini-pro
number_2,185,382,gemini-pro
number_2,186,384,gemini-pro
number_2,187,390,gemini-pro
number_2,188,393,gemini-pro
number_2,189,398,gemini-pro
number_2,190,400,gemini-pro
number_2,191,403,gemini-pro
number_2,192,406,gemini-pro
number_2,193,407,gemini-pro
number_2,194,411,gemini-pro
number_2,195,412,gemini-pro
number_2,196,414,gemini-pro
number_2,197,416,gemini-pro
number_2,198,417,gemini-pro
number_2,199,418,gemini-pro
number_2,200,419,gemini-pro
number_2,201,422,gemini-pro
number_2,202,424,gemini-pro
number_2,203,428,gemini-pro
number_2,204,431,gemini-pro
number_2,205,433,gemini-pro
number_2,206,437,gemini-pro
number_2,207,440,gemini-pro
number_2,208,442,gemini-pro
number_2,209,443,gemini-pro
number_2,210,449,gemini-pro
number_2,211,452,gemini-pro
number_2,212,453,gemini-pro
number_2,213,459,gemini-pro
number_2,214,460,gemini-pro
number_2,215,461,gemini-pro
number_2,216,463,gemini-pro
number_2,217,464,gemini-pro
number_2,218,472,gemini-pro
number_2,219,474,gemini-pro
number_2,220,478,gemini-pro
number_2,221,486,gemini-pro
number_2,222,488,gemini-pro
number_2,223,489,gemini-pro
number_2,224,490,gemini-pro
number_2,225,491,gemini-pro
number_2,226,492,gemini-pro
number_2,227,493,gemini-pro
number_2,228,494,gemini-pro
number_2,229,497,gemini-pro
number_2,230,540,gemini-pro
number_2,231,506,gemini-pro
number_2,232,507,gemini-pro
number_2,233,511,gemini-pro
number_2,234,517,gemini-pro
number_2,235,519,gemini-pro
number_2,236,520,gemini-pro
number_2,237,527,gemini-pro
number_2,238,530,gemini-pro
number_2,239,533,gemini-pro
number_2,240,535,gemini-pro
number_2,241,536,gemini-pro
number_2,242,538,gemini-pro
number_2,243,542,gemini-pro
number_2,244,551,gemini-pro
number_2,245,553,gemini-pro
number_2,246,556,gemini-pro
number_2,247,566,gemini-pro
number_2,248,569,gemini-pro
number_2,249,570,gemini-pro
number_2,250,571,gemini-pro
number_2,251,573,gemini-pro
number_2,252,574,gemini-pro
number_2,253,576,gemini-pro
number_2,254,577,gemini-pro
number_2,255,579,gemini-pro
number_2,256,580,gemini-pro
number_2,257,581,gemini-pro
number_2,258,582,gemini-pro
number_2,259,585,gemini-pro
number_2,260,587,gemini-pro
number_2,261,592,gemini-pro
number_2,262,597,gemini-pro
number_2,263,598,gemini-pro
number_2,264,599,gemini-pro
number_2,265,600,gemini-pro
number_2,266,601,gemini-pro
number_2,267,602,gemini-pro
number_2,268,604,gemini-pro
number_2,269,609,gemini-pro
number_2,270,610,gemini-pro
number_2,271,613,gemini-pro
number_2,272,614,gemini-pro
number_2,273,618,gemini-pro
number_2,274,620,gemini-pro
number_2,275,621,gemini-pro
number_2,276,624,gemini-pro
number_2,277,630,gemini-pro
number_2,278,634,gemini-pro
number_2,279,636,gemini-pro
number_2,280,637,gemini-pro
number_2,281,639,gemini-pro
number_2,282,642,gemini-pro
number_2,283,644,gemini-pro
number_2,284,646,gemini-pro
number_2,285,647,gemini-pro
number_2,286,648,gemini-pro
number_2,287,651,gemini-pro
number_2,288,653,gemini-pro
number_2,289,657,gemini-pro
number_2,290,659,gemini-pro
number_2,291,662,gemini-pro
number_2,292,666,gemini-pro
number_2,293,669,gemini-pro
number_2,294,670,gemini-pro
number_2,295,672,gemini-pro
number_2,296,673,gemini-pro
number_2,297,676,gemini-pro
number_2,298,679,gemini-pro
number_2,299,680,gemini-pro
number_2,300,681,gemini-pro
number_2,301,685,gemini-pro
number_2,302,688,gemini-pro
number_2,303,689,gemini-pro
number_2,304,692,gemini-pro
number_2,305,695,gemini-pro
number_2,306,697,gemini-pro
number_2,307,698,gemini-pro
number_2,308,790,gemini-pro
number_2,309,713,gemini-pro
number_2,310,714,gemini-pro
number_2,311,715,gemini-pro
number_2,312,716,gemini-pro
number_2,313,720,gemini-pro
number_2,314,721,gemini-pro
number_2,315,724,gemini-pro
number_2,316,726,gemini-pro
number_2,317,732,gemini-pro
number_2,318,736,gemini-pro
number_2,319,740,gemini-pro
number_2,320,741,gemini-pro
number_2,321,742,gemini-pro
number_2,322,743,gemini-pro
number_2,323,745,gemini-pro
number_2,324,748,gemini-pro
number_2,325,753,gemini-pro
number_2,326,754,gemini-pro
number_2,327,757,gemini-pro
number_2,328,758,gemini-pro
number_2,329,764,gemini-pro
number_2,330,767,gemini-pro
number_2,331,771,gemini-pro
number_2,332,777,gemini-pro
number_2,333,780,gemini-pro
number_2,334,781,gemini-pro
number_2,335,792,gemini-pro
number_2,336,796,gemini-pro
number_2,337,799,gemini-pro
number_2,338,801,gemini-pro
number_2,339,800,gemini-pro
number_2,340,805,gemini-pro
number_2,341,806,gemini-pro
number_2,342,808,gemini-pro
number_2,343,880,gemini-pro
number_2,344,811,gemini-pro
number_2,345,844,gemini-pro
number_2,346,815,gemini-pro
number_2,347,817,gemini-pro
number_2,348,823,gemini-pro
number_2,349,824,gemini-pro
number_2,350,831,gemini-pro
number_2,351,833,gemini-pro
number_2,352,840,gemini-pro
number_2,353,847,gemini-pro
number_2,354,851,gemini-pro
number_2,355,852,gemini-pro
number_2,356,853,gemini-pro
number_2,357,860,gemini-pro
number_2,358,866,gemini-pro
number_2,359,869,gemini-pro
number_2,360,873,gemini-pro
number_2,361,874,gemini-pro
number_2,362,880,gemini-pro
number_2,363,881,gemini-pro
number_2,364,883,gemini-pro
