task_name,index,result,model_name
reasoning,1,제공된 본문에는 김병관 의원과 박원순 시장이 지하철 3호선 연장 지역에 대해 협의한 시기에 대한 정보가 없습니다.,gemini-pro
reasoning,2,아니카 프라곳,gemini-pro
reasoning,3,기사에는 버블 세븐 중 지난 달 경매 낙찰가율이 가장 높은 지역에 대한 정보가 없습니다.,gemini-pro
reasoning,4,소비자 행동론에 대한 정보가 기술되어 있지 않습니다. 따라서 질문에 답변해 드릴 수 없습니다.,gemini-pro
reasoning,5,문단에서 참돔의 kg 당 가격에 대한 정보가 제공되지 않았습니다.,gemini-pro
reasoning,6,CJ,gemini-pro
reasoning,7,질문에서 시카고'에서 벨마와 록시의 죄명에 대한 정보가 제공되지 않아 답변드릴 수 없습니다.,gemini-pro
reasoning,8,질문에 대한 답변이 포함되어 있지 않습니다.,gemini-pro
reasoning,9,이혼 서류가 승인을 위해 통상 소요되는 기간에 대한 정보는 기사에서 제공되지 않습니다.,gemini-pro
reasoning,10,김수현,gemini-pro
reasoning,11,총 6개월 간 50% 할인 혜택을 받을 수 있습니다.,gemini-pro
reasoning,12,윤희에게,gemini-pro
reasoning,13,런던,gemini-pro
reasoning,14,해당 질문에 대한 답은 주어진 본문에 없습니다.,gemini-pro
reasoning,15,질문에 대한 답변이 본문에 없습니다.,gemini-pro
reasoning,16,제1차 세계대전으로 인해 군사 목적으로 말이 많이 필요했기 때문이다.,gemini-pro
reasoning,17,질문에 대한 답은 본문에 없습니다.,gemini-pro
reasoning,18,북아프리카에서 날던 시절 로스타프 뢰델 비행단장,gemini-pro
reasoning,19,기사에서 삼성전자의 재고 상승률에 대한 언급은 없습니다.,gemini-pro
reasoning,20,필수 지방산,gemini-pro
reasoning,21,질문에서 정부의 규제는 도가 지나치다고 말한 인물에 대한 정보는 주어지지 않았습니다. 따라서 이 질문에는 답변할 수 없습니다.,gemini-pro
reasoning,22,질문에는 재원 확보를 담당하는 부서에 대한 정보가 없습니다.,gemini-pro
reasoning,23,문창극 후보자가 정식 임명되면 충북(청주) 출신 첫 총리가 된다.,gemini-pro
reasoning,24,질문에 대한 답변이 본문에 없습니다.,gemini-pro
reasoning,25,감각 뉴런,gemini-pro
reasoning,26,기관추천물량 중 장기복무 제대군인이 차지하는 비율에 대한 정보는 제공된 본문에 없습니다.,gemini-pro
reasoning,27,문정왕후와 윤원형 일파,gemini-pro
reasoning,28,질문에 대한 답변이 본문에 없습니다.,gemini-pro
reasoning,29,질문에서 차세대 냉매를 도입하는 기업의 관계자 이름에 대한 정보를 찾을 수 없습니다.,gemini-pro
reasoning,30,이서현 에버랜드 패션부문 경영기획담당 사장,gemini-pro
reasoning,31,질문에 대한 답은 주어진 정보에서 찾을 수 없습니다.,gemini-pro
