task_name,index,result,model_name
spelling_correct,0,[나는 학교에 있는 모든 과목 중에서 체육을 가장 좋아한다. 왜냐하면 체육은 쓰지도 않고 머리도 안써도 되는 아주 독특하고 특별한 과목이다. 그리고 시험도 많이 안보고 시험을 본다고 해도 다 몸으로 동작을 한다. 나는 몸으로 하는 것이 좋기 때문이다. 국어는 쓰는 것이 싫지만 책을 읽거나 이야기하는 건 좋다. 하지만 발표는 싫다. 수학은 생각하고 외우고 계산하는 것이 싫고 도형에 관련되어 있는 것은 재미있다. 또 과학은 실험하고 관찰하고 재미있지만 단원평가 같은 시험이나 실험 관찰에 작성하는 것은 별로 좋지 않다. 음악은 국악만 배우고 K-pop이나 다른 장르는 배우지 않아 한쪽에만 치우쳐서 흥미가 떨어지고 미술은 그나마 괜찮은 편이다. 그래서 나는 체육을 좋아한다.],gemini-pro
spelling_correct,1,"[첫째, 부모님께 존댓말을 사용하는 것이 예절입니다. 부모님은 어른이시기 때문에 존댓말을 사용해야 합니다. 어떤 아이들은 부탁하거나 잘못했을 때에만 존댓말을 쓰는데, 그러지 않고 항상 어른인 부모님께는 존댓말을 사용해야 합니다.]

[둘째, 아이들에게도 존댓말을 쓰며 예의를 지켜야 합니다. 왜냐하면 처음 보는 어른들이 아이들에게 반말을 쓰면 기분이 나쁘기 때문에 아이들에게도 똑같이 예의를 지키며 존댓말을 써야 합니다.]

[셋째, 친구들에게 심한 장난과 욕을 쓰지 말아야 합니다. 친구들에게 욕과 심한 장난을 치면 기분이 나쁠 수 있기 때문에 친구들에게 고운 말을 써야 합니다.]",gemini-pro
spelling_correct,2,"[반려동물을 유기하는 것은 예전이나 지금이나 별로 차이가 나지 않는다.]
[반려동물도 생명이기 때문에 유기해서는 안 된다. 이럴 때 나오는 말은 입장을 바꿔 생각하자이다.]
[이제부터 반려동물을 유기를 방지하기 위해 필요한 일을 이야기해 주겠습니다.]
[첫 번째 반려동물이 생기면 무조건 내장칩을 하는 것이다. 내장칩을 하면 유기를 했어도 내장칩을 이용해 주인을 찾을 수 있다. 그러면 경찰에 잡히기 때문에 유기를 하지 않을 것이다.]
[두 번째는 한 달에 3~4번 찾아가는 것이다. 이렇게 찾아가서 어떻게 지내는지 아니면 주인이 초보일 경우 조언을 해주는 것이다. 그러면 자신을 감시한다고 생각하기 때문에 반려동물을 유기하지 않을 것이다.]",gemini-pro
spelling_correct,3,"[북한과 남한이 서로 통일했으면 좋겠다고 생각합니다. 왜냐하면 한나라와 한나라는 한나례였습니다. 남한과 북한은 서로 만나게 되면 북한 사람들은 더욱 좋을 것 같습니다. 북한은 아직도 여전히 물건들이 발전되지 않았지만 남한은 자동차, 히터, 에어컨 등이 발전되었지만 북한은 아직 많은 발명품들이 생겨나지 않습니다. 6.25전쟁이 시작되고 아직은 휴전이지만 많은 피해가 가는 것 보단 화해하는 것이 더 좋을 것 같다고 생각합니다. 지금 화해하면 서로 좋은 직업, 문화, 발명품 등을 나눌 수 있지 않을까 싶습니다. 하지만 이 모든 것을 정반대할 수도 있지만 정반대하면 못 바꾸지만 왠만하면 통일하는 것이 좋다고 생각합니다.]",gemini-pro
spelling_correct,4,"[우리는 매일 하는 행동이 다 똑같습니다. TV를 켜고, 휴대폰을 만지고, 에어컨을 키고, 이불을 덥습니다. 이렇게 하다면 에너지는 어떻게 될까요?] 
첫째, 우리 환경이 나빠집니다. 에너지를 절약하는 방법을 모르겠다고요? 에너지를 절약하는 방법은 간단합니다. 안 쓰는 코드는 빼주세요. 에어컨을 틀고 추우면 꺼주세요. 이렇게 실천하면서 우리 환경을 지킵시다.
둘째, 에너지 폭발 위험이 있습니다.
우리가 에너지를 절약하지 않으면 에너지가 폭발할 위험이 있습니다. 그런 말이 있죠? ""밤에 창문을 닫고 선풍기를 틀고 자면 죽는다""라는 말이 있어요. 우리나라 환경과 에너지 폭발 위험을 지키려면 우리가 에너지를 절약해야 합니다. 에너지를 절약하는 우리나라 사람이 됩시다.",gemini-pro
spelling_correct,5,[제가 생각하는 진정한 친구는 첫째는 자주 놀아주는 친구입니다. 놀고 싶을 때 친구랑 놀아요. 제가 학원이 끝나면 친구랑 놀 친구가 없어서요. 그래서 저는 그 친구가 좋습니다. 저랑 놀아주고 맛있는 거도 사주니다. 둘째는 연락을 자주 하는 친구입니다. 제가 밖에 못 나가요. 그 친구한테 전화를 해서 집에서 핸드폰으로 게임도 하고 숙제도 합니다. 저는 그 친구가 좋아요. 셋째는 저랑 말하는 친구입니다. 저랑 이야기도 해주고 웃기도 합니다. 재미있는 이야기도 하고 무서운 이야기도 합니다. 저는 그 친구와 너무 너무 좋아요.],gemini-pro
spelling_correct,6,"다문화 가족은 부모님 한 분이 다른 나라분이시거나, 할머니, 할아버지 중 다른 나라 분이신 것을 다문화 가정이라고 합니다. 몇몇 친구들이 다문화 가정 친구에 무심코 나쁜 말을 하는 것을 티비에서 본 적이 있습니다. 그런 것을 보면 다문화 가정 친구도 인권이 있는데 왜 뭐라고 하는지 이해가 안 갑니다. 그러므로 서로 서로 이해하고 존중해야 합니다. 존중하고 이해하는 자세는 여러 가지가 있습니다. 
첫째, 만약에 학교에서 다문화 가정 친구가 어려워하거나 힘들어하면 먼저 다가가서 위로를 해줍니다. 위로를 해주면 다문화 가정 친구가 힘이 날 수도 있습니다. 
둘째, 다문화 가정 친구에게 나쁜 말과 뒷담화를 하지 않습니다. 우리 모두 똑같기 때문에 마음 아픈 것과 속상한 것은 똑같을 것입니다. 그러므로 서로 이해하고 존중합시다! [다문화 가족과 친구들을 이해하고 존중합시다.]",gemini-pro
spelling_correct,7,"[제가 시내를 가족들과 함께 거닐고 있었는데, 앞사람의 뒷주머니에서 지갑이 툭 떨어졌습니다. 그런데 제 가족들은 못보고 저만 본 것인지 가족들은 그냥 가려고 했습니다. 그래서 저는 그 지갑을 주워서 앞에 떨어뜨리신 분에게 다가가 돌려드렸습니다. 그 분은 이런 저를 보시며 고맙다고 말하고는 천원을 쥐어주시며 떠나셨습니다. 그 지갑에 얼마나 큰 돈이 있었는지는 모르겠지만, 제 덕분에 지갑을 잃어버리지 않았다는 생각에 그런 보답을 해주신 것 같았습니다. 그래서 저는 싱글벙글한 기분으로 음료수를 사먹었습니다. 선행은 받은 사람도 기분이 좋지만 선행을 한 사람도 기분이 좋아집니다.]",gemini-pro
spelling_correct,8,"[내가 생각하는 나의 진정한 친구는 나와 친하고, 나한테 잘해주고, 비밀을 마음껏 얘기를 해도 아무한테도 말 안하는 친구. 내가 슬프거나 기분이 안 좋을 때 나를 위로해주는 친구라고 생각한다.]

[친구들 중에서 순위는 1위 신원(사실 나보다 2살 많은데 친구같고 케미가 좋음) 2위 신원 3,4학년 때 처음 만난 친구, 웃김 꼴지 신원 그 친구는 뭔가 나랑 적성에 안맞음 자기 혼자 소외 된다고 신원이 한테 말함 자기가 우리랑 어울리지 못한다고 생각할순 없나? 아무튼 불편함.]

[친구들의 나에 대한 생각은 먼가 예를 들어 TMI 많이 말하네, 불편하다, 잘 때린다(장난) 기분나쁨, 웃김 이렇게 말할 것 같다 애들이 그렇게 말을 안 하게 하려면 내가 좀더 상냥해야 하고, 쓸데 없는 말 안하고, 장난으로 친구 때리지 않고, 욕하지 않아야 한다고 생각한다.]",gemini-pro
spelling_correct,9,"[저는 음식을 보관할 때 위생을 철저하게 지키는 편입니다. 조금 귀찮더라도 개별 용기를 사용합니다. 하나가 세균에 오염되면 주변의 다른 음식물까지 세균 감염 위험에 노출되기 때문입니다. 특히 채소의 경우 깨끗이 씻어 용기나 비닐 봉지 등에 보관하지 않으면 흙에 있는 각종 세균이 다른 식품을 오염시키기 쉽습니다. 흙이 묻은 야채를 씻지 않은 채 그냥 보관할 경우 신문지에 말거나 비닐 팩에 잘 싸두면 오래 보관할 수 있습니다. 일반적인 세균 증식은 4~60임을 감안하면 냉장실의 경우 5도 이하로 유지해야 합니다. 또 육류와 생선 등 음식을 조리하고 난 뒤에는 최대한 빨리 식혀서 냉장고에 보관하고 있습니다. 또 햄이나 두부 등은 개봉 후 밀폐 보관을 하고, 먹다 남은 식품은 반드시 재가열을 한 후 냉장고에 보관하고 있습니다.]",gemini-pro
