task_name,index,result,model_name
spelling_correct,0, 내가 다음에 제공하는 문장의 맞춤법을 교정한 후 전체 문장을 [ ] 로 감싸서 출력해줘.,ko_vicuna_7b
spelling_correct,1,"  * 부모님께 존댓말을 사용하는 것은 부모님이 웃어른 것이기 때문에 존댓말을 사용해야 한다고 말했습니다. 어떤 아이들은 부탁하거나 잘못했을때에만 존댓말을 쓰는데, 그러지 않고 항상 부모님께는 존댓말을 쓰는 것이 중요합니다. 또한 아이들도 존댓말을 쓰는 것이 중요하며, 처음 보는 어른들이 아이들에게 반말을 쓰면 기분이 나쁘기 때문입니다. 따라서 아이들에게도 존댓말을 쓰는 것이 중요합니다. * 처음 보는 어른들이 아이들에게 반말을 쓰면 기분이 나쁘기 때문에 아이들에게도 똑같이 존댓말을 사용하고 예의를 지키는 것이 중요합니다. 또한 친구들에게도 심한장난과 욕을 쓰면 기분이 나쁠 수 있기 때문에 심한장난과 욕을 쓰지 맙시다.",ko_vicuna_7b
spelling_correct,2, 반려동물을 유기하는 것은 예전이나 지금이나 별로 차이가 없습니다. 반려동물도 생명이기 때문에 유기하면안된다고 말합니다. 반려동물이 유기하면안되면 주인은 입장바꿔야 합니다. 반려동물이 유기하면안된다고 말한 이후 주인은 필요한 일을 얘기해야합니다. 첫날에 반려동물이 생기면 내장칩을 하는 것이 필요합니다. 내장칩을 하면 유기를 했으면 아니면 주인을 찾을 수 있어 경찰에 체포될 가능성이 적습니다. 반려동물을 유기하지 않으려면 두번째 한 달 동안 반려동물을 찾아가서 주인이 초보일 경우 조언을 해줄 것입니다. 반려동물을 유기하지 않으면 반려동물이 반려동물을 감시하고 있다고 생각하기 때문에 반려동물을 유기하지 않을 것입니다.,ko_vicuna_7b
spelling_correct,3,"북한과남한이서로통일하였으면 좋겠다고 생각합니다. 왜냐하면 한나라와 한나라는 한나례였습니다. 남한과북한은 서로 만나게 되면 북한사람들은 더욱 좋을것같습니다. 북한은 아직도 여전히 많은발명품들이 발전되지 않았지만 남한은 자동차, 히터, 에어컨등이 발전되었지만북한은 아직 많은발명품들이 생겨나지지 않았습니다. 6.25전쟁이시작되고 아직은 휴전이지만 많은피해가 가는 것 보단 화해하는게 더 좋을것 같다고 생각합니다. 지금 화해하면서로좋은직업, 문화, 발명품등을 나눌수있지않나싶습니다. 하지만이모든걸정반대할수도있지만 정반대하면 못바꾸지만왠만하면 통일하는게좋다고 생각합니다.",ko_vicuna_7b
spelling_correct,4,  우리는 매일하는 행동이 다 똑같다. TV를 켜고 휴대폰을 만지고 에어컨을 키고 이불을 덥고 이렇게 하면 에너지는 어떻게 될까요? 에너지를 절약하는 방법은 간단하지만 에너지 폭팔위험을 예방하는 방법은 어렵다. 우리는 밤에 창문을 닫고 선풍기틀고 자면 죽는다. 우리 나라에 에너지를 절약하면 우리 나라에 에너지 폭파를 예방하고 우리 나라 사람들이 에너지를 절약하는 데 도움이 될 것이라고 합니다.,ko_vicuna_7b
spelling_correct,5, 내가 다음에 제공하는 문장의 맞춤법을 교정한 후 전체 문장을 [ ] 로 감싸서 출력해줘. 제가 생각하는 진정한 친구는 첫째는 자주 놀아주는 친구 입니다. 놀고 싶을 때 친구와 놀아요. 제가 학원이끝나면 친구와 놀친구가 없어서요.그래서 저는 그 친구가 좋습니다. 저랑 놀아주고 맛있는 거도 사주니다.둘째는 연락을 자주 하는 친구입니다. 제가 밖에 못나가요 그 친구한테 전화를 해서 집에서 핸드폰으로 게임도하고 숙제도 합니다. 저는 그 친구가 좋아요. 셋째는 저랑 말하는 친구입니다. 저랑 이야기도 해주고 말도 합니다. 재미있는 이야기도 하고 무서운 이야기도 하고 저는 그 친구와 너무 좋아요.,ko_vicuna_7b
spelling_correct,6," 다문화 가족이 서로 다른 나라에서 왔다는 것. 몇몇 친구들이 다문화 가정에 속한 친구들에게 무슨 일이 일어나고 있는지에 대해 무심코 묘사하기 위해 티비에서 본적이 있습니다. 그런 것을 보면 다문화 가정 친구도 인권이 있는데 왜 뭐라고 하는지 이해가 안갑니다. 그런데 서로 이해하고 존중해야 합니다. 존중하고 이해하는 자세는 여러 가지가 있습니다. 첫째, 만약 다문화 가정친구가 학교에서 어려워 보이거나 힘들다면 먼저 다가가서 위로를 해줍니다. 위로를 해주면 다문화 가정친구도 힘이 날 수 있습니다. 둘째, 다문화 가정친구에게 뒷담화를 하지 않습니다. 우리 모두 똑같기 때문에 마음아픈거와 속상한건 똑같습니다. 그러므로 서로 이해하고 존중합시다!",ko_vicuna_7b
spelling_correct,7," 내가 집중하고 있는 문장은 ""내가 본 것인지 저만 본 것인지 가족들은 그냥 본 것인지 모르니까요.""입니다.",ko_vicuna_7b
spelling_correct,8,"  1. 내가 다음에 제공하는 문장의 맞춤법을 교정한 후 전체 문장을 [ ] 로 감싸서 출력해주세요. ( 질문 내용)2. 친구 중 몇 명을 순위에 매칭하고, 그들과 어울리는지 여부를 나타내는 평점을 매칭하세요. (질문 내용)3. 그들에 대한 감정을 표현하고 싶은 내가 생각하는 감정 목록을 매칭하세요. (질문 내용)",ko_vicuna_7b
spelling_correct,9,* 내가 제공한 문장을 교정했습니다: 나는 음식을 보관할 때 위생을 철저히 지키는 것을 좋아합니다. 조금 귀찮더라도 개별용기를 사용합니다. 하나가 세균에 오염되면 주변의 다른 음식물까지 세균감염 위험에 노출됩니다. 특히 채소의 경우 깨끗이 씻어 용기나 비닐봉지등에 보관하지 않으면 흙에 있는 각종 세균이 다른 식품을 오염시키기 쉽습니다. 흙이 묻은 야채를 씻지 않은 채 그냥 보관할 경우 신문지에 말거나 비닐 팩에 잘 싸두면 오래 보관할 수 있습니다. 일반적인 세균 증식은 4-60임을 감안하면 냉장실의 경우 5도이하로 유지해야합니다. 또 육류와 생선등 음식을 조리하고 난 뒤에는 최대한 빨리 식혀서 냉장고에 보관하고 있습니다.답변:* 제공한 문장 끝에 [ ] 점을 감싸서 완성된 문장을 출력하세요.,ko_vicuna_7b
