task_name,index,result,model_name
summarization,1, 세운이 다른 사람의 사업을 복사하기로 결정했을 때 발생했습니다.,ko_vicuna_7b
summarization,2, 한국어로 요약해줄 수 있나요? 1964년 영국의 한 방송국은 7살짜리 아이들을 모으고 7년마다 만나는 한 인물이 각자의 삶을 추적한 프로그램에 참여하는 7년마다 만나는 아이들을 주목하세요. 청년 시절에 정치에 대한 뜻을 내렸지만 노숙자 생활을 하며 지역 정치인이 된 한 남자. 28세 이후 피터는 자신의 밴드와 음악을 알리기 위해 다시 출연합니다. 56살이 된 피터는 그 꿈을 이루었습니다.,ko_vicuna_7b
summarization,3, 밤을 그리며 생각에 잠겨 있는 주인공은 셈이나 헛되이 일을 하는 데 지침을 받지 못한 채 외로운 느낌과 함께 물이 와 르르 달려들고 느낀다. 압도당하고 답답한 기분이 들면서 그는 인생의 불확실성과 무분별한 일에 얽매이지 않기를 간절히 바라는 욕망을 느낍니다. 결국 그는 자신이 하는 일에 만족도 없이 부족함을 느끼고 있다는 것을 깨닫고 무분별한 업무에서 벗어나 자신을 위해 더 의미 있는 일을 하고 싶어합니다.,ko_vicuna_7b
summarization,4," 이 한국어 문장은 1996년에 나온 작가 마이크 와이어가 쓴 책인 ""나만의 아이들""에 나오는 내레이션의 일부입니다. 이 내레이션에서 육아 관계에 대한 주제를 탐구하는 이 이야기는 손에 숨을 헐떡이는 아기를 말하는 덕쇠와 순갑이를 소개합니다. 덕쇠는 순갑이를 찾는 동안 자신이 죽을 수 있다는 ",ko_vicuna_7b
summarization,5, COVID-19 팬데믹이 끝난 후 중국은 감염병 예방을 위해 마스크 착용 등 기존의 두각을 강화했습니다.,ko_vicuna_7b
summarization,6," 이 조개더미는 신석기시대 조개더미였으며 많은 유물이 출토되었습니다. 특히 세석기는 중요한 유물이었으며 우리나라에도 중석기가 존재했다는 것을 증명했습니다. 동항리에서는 신석기시대 돌무지 시설이 발견되었는데, 1구의 사람뼈도 발견되었습니다. 이는 신석기시대 형질연구에 중요한 자료입니다. 욕지도 조개더미도 신석기시대 장례형태연구와 남해안 지역의 신석기문화를 밝히는 데 중요한 곳이었습니다. 조개더미는 많은 조개더미가 발견되었습니다.",ko_vicuna_7b
summarization,7," 과거 브라질의 흑인 노예들이 먹던 음식인 페이 조아다는 이제 관광객들이 먹어보는 대표 음식이 되었습니다. 딱 보기에는 뭔가 투박해 보이는 음식이지만 되지고기나 소고기를 주로 하는 스튜의 일종으로 여기에 햄과 베이컨, 채소 등 다양한 재료를 넣어서 검은콩과 함께 끓여 먹는 음식이다. 브라질의 음식은 지역마다 특색이 있지만 페이 조아다는 전국 어디에서나 맛볼 수 있는 음식이에요. 이 음식의 투박한 배경이라면 전해져 내려오는 이야기에 의하면 페이 조아다는 노예제도가 있던 시대부터 있던 음식이라고 합니다. 먹을 것이 부족한 노예들이 백인들이 요리하고 버린 재료를 가지고 만들어 먹기 시작하면서 비롯된 페이 조아다는 이 땅의 슬픔 역사가 담겨 있다.",ko_vicuna_7b
summarization,8," 류현진은 야구 프로 브랜드가 되어 이달의 투구 기록을 통해 팬과 관객을 끌어들이고 있습니다. 류현진은 메이저리그에서 탄생한 것이 아니라 다저스에서 시작하여 그는 이후 이달의 선수로 전향했습니다. 류현진의 메이저리그 캠페인은 매우 성공적이었고 그는 팀에 많은 돈을 쓴 선수로 간주됩니다. 류현진이 메이저리그에서 통할 수 있다는 의견은 다저스와 류현진의 관계에 대한 통찰력을 제공하며, 류현진이 메이저리그에서 통할 가능성이 높다는 것을 보여줍니다. 류현진의 메이저리그 경력은 그의 메이저리그 캠페인에 투자하는 데 돈을 빌려주는 것으로 간주되며, 이는 그가 메이저리그에서 통할 수 있다는 것을 보여줍니다. 류현진은 메이저리그 시즌 개막 첫 달부터 그가 속한 내셔널리그 ""이달의 선수"" 후보에 오를 정도로 두각을 나타내며 ""류현진 광풍(Jin-sanity) 파워""이 된 것은 그의 메이저리그 경력이 독특하고 중요한 순간이었음을 보여줍니다. 류현진의 ",ko_vicuna_7b
summarization,9,반잠수신 위원은 플로팅 도크가 가장 좋은 방법이라고 말하지만 이 과제를 관리하기,ko_vicuna_7b
summarization,10," 이번 강연회에서는 이브 르테름 전 벨기에 총리의 강연과 박진 국회미래연구원의 토론이 이어졌다. 이브 르테름 전 벨기에 총리는 에너지 전환 정책의 민주적 수립 과정에 대해 논의하고 지속가능한 에너지 원칙을 강조했습니다. 르테름은 에너지가 인간의 진화의 과정이며 모든 문명과 사회의 필수적인 요소라고 설명했습니다. 그는 지속 개발 목표 7번에서 ""지불 가능하고 신뢰할 수 있고 현대적인 에너지에 대한 접근""을 강조하고 이를 달성하기 위해서는 불평등한 접근, 건강에 미치는 영향, 기후 변화, 자연 자원의 고갈, 생물 다양성 위협, 효율성, 안전, 분배, 취약성 증가 등의 과제를 해결해야 한다고 말했습니다. 르테름은 재생 에너지 대 화석 연료의 문제를 거론하고 이 문제에 있어서는 CO2 배출량을 줄이고 2030년까지 온실가스를 55% 줄이기 위한 IPCC의 목표를 언급했습니다. 그는 에너지 문제를 바라보는 관점은 화석 연료 대 비화석 연료가 되어야 한다고 주장했습니다. 스웨덴의 경우 1980년 반대에서 2019년 환경을 위해 원전을 선택해야 한다는 상반된 주장의 예시를 제시했습니다.",ko_vicuna_7b
summarization,11, 미국의 선거 과정에 대한 글은 미국의 선거 과정에 대한 종합적인 설명을 제공합니다. 이 글에서는 미국 대선 결과에 대한 혼란과 투표 과정에 대한 검토를 다루고 있습니다. 이 글은 또한 투표 과정의 법적 다툼과 투표 ,ko_vicuna_7b
