task_name,index,result,model_name
translation/techsci,1,"다음 문장은 영어로 번역할 수 있습니다. ""The Global Community""가 해당됩니다. 이는 국제적인 연계성을 가지고 있는 세계의 한 지역으로, 세계의 다양한 문화와 인종들이 함께 살아가고 있습니다. 이 지역은 경제, 문화, 사회, 환경 등 다양한 분야에서 국제적인 상호작용을 통해 아시아와 유럽의 상호이해를 증진하고 있습니다. ",KoAlpaca-Polyglot-5.8B
translation/techsci,2,"다음 문장은 영어로 번역해 줄 수 있습니다. ""The time and the methods of the colony are also the important parts of the colony. That is, the colony is able to control its personal and property, and its state of mind is also important. Hence, the colony may be an important part of the colony. This is, additionally, the case for the advisory clause in section 1 of the International Organizations Immunities Act, which was proposed to become an alternative to the European Communities Act. In this case, the advisory is an important part of the community. Letters of the advisory are also constrained to the members of the community, and are not allowed to be used in accredited political activities.  -> 이 문장에서는 'clause'가 하나 나오는데, 이것은 영어로는 'clause'로 읽지만 원래의 의미는 다릅니다. 이 'clause'는 옵션, 또는 기회를 의미합니다. 그래서 이 문장에서는 'the option'이나 'chance'와 같은 의미로 사용됩니다.  -> 또 다른 예로, 'Discovery'라는 잡지의 미국판에는 ""The roots of the organism are ____""라는 구절이 있습니다. 즉, 'the roots'는 명사구, 'of the organism'은 명사구입니다.  -> 또, 'Jean-Francois'의 정의에 따르면, ""Communist colonies""라는 용어를 정의하면서 다음",KoAlpaca-Polyglot-5.8B
translation/techsci,3,"다음 문장은 영어로 번역할 수 있습니다. ""This is a video code which shows the sub-domain of the video by using the flag.""",KoAlpaca-Polyglot-5.8B
translation/techsci,4,"다음 문장은 ""Book-in-a-Price""로 번역할 수 있습니다. 이는 책의 가격을 기준으로 출판사에게 등급을 부여하고, 그 등급에 따라 책의 가격이 차등 책정되는 방식을 의미합니다. ",KoAlpaca-Polyglot-5.8B
translation/techsci,5,"Image URL과 BMP(Bit Map) 등의 형식으로 이미지를 보낼 수 있습니다.   image URL의 경우, 해당 이미지 파일을 다운로드 받은 후, 이미지 파일 내에 있는 이미지를 보기 위해 image 명령어를 사용할 수 있습니다.   bit map 형식의 이미지 파일은 해당 이미지 파일 내에 있는 이미지를 볼 수 있도록 해줍니다.   제어부(110)는 상기 미리보기 이미지들(240, 242, 244)을 상기 작업표시줄(50) 내에 정렬할 수 있습니다.   정렬된 이미지들은 상기 작업표시줄(50) 내에서 볼 수 있습니다.   하지만, 상기 작업표시줄에서 볼 수 있는 이미지들은 제한적일 수 있습니다.   상기 작업표시줄에서 보이는 이미지들이 상기 홈페이지에서 볼 수 있는 이미지들인지 확인할 수 없습니다.   따라서, 이미지를 보내기 전에 상기 작업표시줄에서 허용되는 범위를 확인하는 것이 좋습니다.   상기 작업표시줄에서 표시되는 정보들이 정확한 정보인지 확인하기 위해서는 상기 파일을 열기위한 명령어를 입력하여 확인해야 합니다.   상기 작업표시줄에서 입력을 확인하여도, 상기 파일이 열리지 않는다면 해당 작업표시줄과 함께 프린터버튼을 제공하여 상기 작업표시줄에서 표시되는 정보가 정확한 정보인지 확인할 수 있습니다.   만약, 상기 작업표시줄에서 볼 수 있는 이미지들이 상기 홈페이지에서 허용되는 이미지들인지 확인할 수 없다면, 저작권 문제가 발생할 수 있습니다.   따라서, 이미지를 보내기 전에 상기 작업표시줄에서 허용되는 범위를 꼭 확인하시고, 상기 작업표시줄에서 표시되는 정보를 근거로 정확한 정보인지 확인하여 사용하시기 바랍니다. ",KoAlpaca-Polyglot-5.8B
translation/techsci,6,"다음 문장은 한국어로 번역된 것입니다. ""조선로동당 창건 당시에는 각 부문별로 책임자가 있었으며, 그들은 각자의 업무를 분담해 일했습니다. "" [북한어]  다음과 같은 문장이 됩니다. ""그들은 각자의 업무를 분담해 일했기 때문에, 조선로동당의 각 부문별 책임자는 있었습니다.""",KoAlpaca-Polyglot-5.8B
translation/techsci,7,"""Populism can not only transform the rise of socialism, but also the rise of capitalism."" ""대중주의는 사회주의의 부상과 함께 일어난 것이 아니라, 자본주의의 부상과 함께 일어난 것입니다.""",KoAlpaca-Polyglot-5.8B
translation/techsci,8,"다음 문장은 영어로 번역해 볼게요. ""The environmental activists have complained that the FDA has been slow to respond to the problem of mercury in the oil and gas sector.""입니다.",KoAlpaca-Polyglot-5.8B
translation/techsci,9,"다음 문장은 영어로 번역해 줄 수 없습니다. 왜냐하면, 이 문장은 영어로 번역할 때 ""이집트 경찰은 최루가스를 쏘며...."" 이렇게 나오기 때문입니다. 따라서 이 문장은 이집트어로 된 문장을 영어로 번역한 것이기 때문에, 영어로는 번역할 수 없습니다. ",KoAlpaca-Polyglot-5.8B
translation/techsci,10,"""CT""는 컴퓨터 단층촬영(CT)으로, 인체 내부의 조직이나 장기를 보다 자세하게 살필 수 있는 진단 방법입니다. 이러한 CT는 정확한 진단과 치료를 위해 반드시 필요한 검사 방법으로 알려져 있습니다. 그러나, CT의 특성상 큰 금속 물질과 함께하거나, 오랜 시간 동안 공기에 노출되거나, 인체 내에서 자연적인 과정이 아닌 화학 반응에 의해 생성된 물질 등이 사용될 경우, 인체 내의 심각한 손상을 줄 수 있습니다. 이러한 이유로, 미국 식품의약국(FDA)은 CT 검사를 받는 사람의 안전을 보호하기 위해 ""비활성"" 검사 방법을 제안하였으며, 이를 위해 연간 1만 달러의 비용을 지출하고 있습니다. ",KoAlpaca-Polyglot-5.8B
