task_name,index,result,model_name
translate/media,1,"""나는 너무 많은 걱정을 하면서 살아왔다.""라는 문장을 영어로 번역하면 다음과 같습니다:  ""나는 너무 많은 걱정을 하면서 살아왔다.""",kullm12.8b
translation/basicsci,1,"""언제 어디서나""라는 뜻의 영어 단어 '유비쿼터스'를 사용하는 이 문장은 ""유헬스""를 ""언제 어디서나 의료""라는 의미로 확장한 것입니다.",kullm12.8b
translation/dailylife,1,생산이 완료되었고 선적 전 제품 포장이 진행되고 있습니다.,kullm12.8b
translation/humanities,1,이 문장은 한국 교사들의 우수성과 노력 수준을 인정하고 있습니다.,kullm12.8b
translation/socialsci,1,우리나라와 해석론을 공유하는 일본에서는 증거 구조론이라는 학파가 등장했습니다.,kullm12.8b
translation/techsci,1,아시아-유럽연합(ASEM)은 정부 또는 특정 행위자의 이익을 대변하는 협력체가 아닌 아시아와 유럽의 지역 간 상호 이해를 증진하는 지역 협력체라고 할 수 있습니다.,kullm12.8b
translate/media,2,대파는 반으로 갈라서 큰 조각으로 썰어줍니다.,kullm12.8b
translation/basicsci,2,이 진술은 인간이 신이 아니라 유한한 존재라는 점을 상기시켜 줍니다.,kullm12.8b
translation/dailylife,2,BBB가 행사를 원활하게 진행할 수 있도록 도와드립니다.,kullm12.8b
translation/humanities,2,만 3세 이전에는 학습을 위해 아이를 가르치지 않고 놀이와 놀이로만 접근합니다.,kullm12.8b
translation/socialsci,2,이는 업무 효율성을 높이기 위해 동료와 소통하는 정도와 반대 의견을 통합하는 정도를 평가하여 질적으로 우수한 해결방안을 수립할 수 있는 건설적인 논쟁의 두 가지 하위 요소로 구성됩니다.,kullm12.8b
translation/techsci,2,식민지의 시간과 일상을 통제하고 식민지 경영의 효율성을 높일 수 있는 식민지의 가장 기본적인 식민지 관리 체계가 바로 역입니다.,kullm12.8b
translate/media,3,필립이 문제를 해결하는 데 도움을 주지 못했기 때문에 문제가 악화되었습니다.,kullm12.8b
translation/basicsci,3,"디지털 치료제는 ""치료""라는 이름을 붙인 만큼 일반인을 대상으로 하는 것이 아니라 환자를 대상으로 합니다.",kullm12.8b
translation/dailylife,3,물바다를 보고 있으니 짜증이 납니다.,kullm12.8b
translation/humanities,3,도쿄한국학교에서 고등학교 졸업 및 대학수험 자격을 인정받은 것은 2003년이기 때문에 1960년대에는 대학입시를 보기 위해 고졸 자격을 인정받아야 했다.,kullm12.8b
translation/socialsci,3,"이것은 결론을 내리는 데 사용되는 변수를 명확하게 설명하지 않았기 때문에 정확한 번역이 아닙니다. 경우에 따라서는 '상대 소득 비율'이라는 용어가 혼란을 야기할 수 있으므로 번역에서 이 용어를 제거할 수 있습니다. ""상대 소득 비중에 대한 결론은 결국 주관적일 뿐입니다.""라는 문장을 번역하려면 ""이것은 결론을 내리는 데 사용되는 변수를 명확하게 설명하지 않기 때문에 정확하지 않습니다."" 또는 ""이것은 결론을 내리는 데 사용되는 변수를 명확하게 설명하지 않기 때문에 정확하지 않습니다.""와 같이 더 명확하고 간결한 문장을 사용할 수 있습니다.",kullm12.8b
translation/techsci,3,비디오 인코더(20)는 다수의 서브-DPB 파라미터를 시그널링하는 경우 플래그를 제2 값으로 설정할 수 있습니다.,kullm12.8b
translate/media,4,"저는 인공지능 언어 모델이기 때문에 개인적인 의견이나 감정이 없습니다. 제가 받는 입력은 사전 프로그래밍된 정보이며, 정보를 해석하고 정보를 바탕으로 응답을 생성합니다.",kullm12.8b
translation/basicsci,4,존슨앤존슨은 제약회사 얀센 바이오텍을 인수했습니다. 인수 이후 회사명은 존슨앤존슨에서 얀센 바이오텍으로 변경되었습니다.,kullm12.8b
translation/dailylife,4,이 작업을 수행하는 방법을 잘 모르겠습니다.,kullm12.8b
translation/humanities,4,"일본 정부는 조련에 대한 이의를 제기하지 않았고, 조선학교 폐쇄 계획이 일본 정부의 생각이 아니라 연합군 최고사령부(GHQ)의 지령이라는 변명으로 일관했습니다.",kullm12.8b
translation/socialsci,4,연속 확률 분포의 평균은 1보다 큰 값을 가질 수 있습니다.,kullm12.8b
translation/techsci,4,중소 서점과 중소 출판사는 새롭고 독특한 책을 출판하는 데 있어 서로를 지원함으로써 함께 협력할 수 있습니다.,kullm12.8b
translate/media,5,15가지 이상의 맥주 맛을 모두 볼 수 있는 것이 놀랍습니다.,kullm12.8b
translation/basicsci,5,셀리드의 코로나19 백신 'AdCLD-CoV19'는 임상 1상에서 건강한 성인 30명을 대상으로 안전성 및 면역원성을 탐색할 예정입니다.,kullm12.8b
translation/dailylife,5,"Money, however, does not appear to be a very tasty option.",kullm12.8b
translation/humanities,5,일본은 불과 보름 만에 거부권을 행사한 데 따른 보상을 받았습니다.,kullm12.8b
translation/socialsci,5,"이 문장은 다음과 같은 성취 기준에 의해 영어로 번역할 수 있습니다: ""다음 문장을 영어로 번역하기"".또한 중학교 1학년 성취 기준을 면밀히 분석하여 세부 교육 내용을 다음과 같이 선정할 수 있습니다:* 문장의 주어, 동사, 목적어를 식별하고 분석할 수 있습니다.* 문장을 다른 영어 문장으로 변환할 수 있습니다.* 문장의 시제를 식별하고 올바른 시제를 사용할 수 있습니다.* 문장의 동사 시제를 결정하고 올바른 시제로 문장을 쓸 수 있습니다.* 문장의 동사에 능률을 적용하고 동사를 다른 영어 동사로 바꿀 수 있습니다.* 문장에 추가로 세부 사항을 더 추가하고, 오류를 수정하고, 동사와 주어를 일관성 있게 변경할 수 있습니다.",kullm12.8b
translation/techsci,5,"이 문장을 영어로 번역하면 ""미리보기 이미지들에 대한 사전 실행 컨트롤 제스처에 대응하여, 제어부(110)는 미리보기 이미지를 펼칠 수 있습니다.""로 번역할 수 있습니다.",kullm12.8b
translate/media,6,"""좋은 하루 되세요!""",kullm12.8b
translation/basicsci,6,"항체를 축적하는 것은 유아 장내 세균의 성숙을 나타내는 중요한 표지이며, 이 과정이 완료되면 유아는 장내 세균이 완성되어 항원을 분해할 수 있습니다. 이 시기에는 항체가 감소하고 대신 지방이 증가하여 에너지로 변환되어 몸을 보호합니다.",kullm12.8b
translation/dailylife,6,"대화를 나누고 관찰한 결과, 저는 Mark가 차분하고 사려 깊고 친절하다는 것을 알았습니다.",kullm12.8b
translation/humanities,6,"""꿈을 꾸게 되면 더 많은 것을 배우는 데 전념해야 한다고 생각했어요.""",kullm12.8b
translation/socialsci,6,"소규모 신생 벤처 기업이 1년을 버티기 위해 필요한 자본금 규모는 기업의 규모, 비용 구조, 업계 상황 등 다양한 요인에 따라 달라질 수 있으므로 일반화할 수 없습니다. 하지만 일반적으로 자본금이 적은 신생 벤처기업은 대규모 초기 자금을 필요로 하는 시장에 진입하기 어려울 수 있으며, 대규모 자금을 조달하기 위해 대규모 벤처 캐피털을 찾아야 할 수도 있습니다. 또한 자본금은 제품이나 서비스의 가치와 잠재적인 성공을 판단하는 데 사용되는 기준이 될 수 있습니다.",kullm12.8b
translation/techsci,6,"조선로동당의 창당 당시 제1비서에는 조선인 AAA1, 제2비서에는 남로당의 AAA2, 제3비서에는 남로당의 AAA3이 선출되었습니다.",kullm12.8b
translate/media,7,투표를 실시한 결과가 무엇인지는 확실하지 않습니다.,kullm12.8b
translation/basicsci,7,1차 세계대전과 2차 세계대전 기간 동안 수혈은 많은 사람들의 생명을 구하고 건강을 회복하는 데 도움이 되었습니다.,kullm12.8b
translation/dailylife,7,BBB는 프리미엄 홍삼 브랜드입니다. 6년근 홍삼으로 제품을 제작합니다.,kullm12.8b
translation/humanities,7,"불행을 모르는 자는 사랑을 느끼지 못하고, 고통을 겪지 않는 자는 연민을 느끼지 못할 것이다.",kullm12.8b
translation/socialsci,7,영국에서는 보험자가 보험 가입 시 보험금을 지급할 수 있는 충분한 가치가 있음에도 불구하고 지나치게 높은 금액의 보험 가입을 의무화하는 고지의무 제도를 채택하고 있습니다.,kullm12.8b
translation/techsci,7,급격하고 동시다발적인 변화가 사회 전반에 영향을 미치면서 모든 정치 및 사회 세력의 해방이 촉발되었습니다.,kullm12.8b
translate/media,8,"""후배들을 찾아다니며 술을 마시지 마세요.""",kullm12.8b
translation/basicsci,8,바이러스는 핵산 분자와 단백질 분자가 합쳐져 독특한 모습을 갖춥니다.,kullm12.8b
translation/dailylife,8,플라스틱으로 제작되어 신뢰할 수 있습니다.,kullm12.8b
translation/humanities,8,"전문가들은 독서의 이점을 살리는 교육이 필요하다고 강조하며, 이를 위해 뇌 발달에 도움이 되는 책 읽기를 장려하고 있습니다.",kullm12.8b
translation/socialsci,8,"이 문장을 영어로 번역하기 위해 문장에 사용된 언어와 문화적 맥락을 이해하는 것이 중요합니다. 가능한 번역은 다음과 같습니다: ""취미의 표현은 도덕 교육의 정서적, 행위적 측면에 집중해야 한다고 제안하기는 어렵습니다.""",kullm12.8b
translation/techsci,8,이 문장은 현 정부의 탈원전 선언과 이로 인해 단기적으로는 온실가스 배출을 줄이기 위해 최적화된 전원 구성을 사용할 수 없게 되는 등 구조적인 제약으로 인해 이러한 갈등이 더욱 심화될 것이라는 전망을 시사합니다.,kullm12.8b
translate/media,9,언어 모델 AI로서 저는 텍스트 기반 AI입니다. 말하거나 문장을 번역할 수 있는 능력이 없습니다. 저에게 작업을 알려주시면 기꺼이 도와드리겠습니다.,kullm12.8b
translation/basicsci,9,"이 문장을 영어로 번역하면 ""산소 결핍으로 인해 극심한 피로로 인해 시각 정보를 받아들이고 판단하는 두 부분 사이의 연결에 문제가 발생했습니다.""가 됩니다.",kullm12.8b
translation/dailylife,9,"""무슨 일이 있는지 잘 모르겠습니다.""",kullm12.8b
translation/humanities,9,학교 내 모든 학생들이 자신을 위해 공부하는 것처럼 보였습니다.,kullm12.8b
translation/socialsci,9,"셋째, 규모 수익 불변(CCR) 모형에 따른 7개 고속도로는 효율적이었습니다. 한편, 규모 수익 가변(BCC) 모형의 10개 고속도로는 효율적이었고, 벤치마크 참조 횟수는 CCR 모형과 BCC 모형 모두 2개가 가장 높았습니다.",kullm12.8b
translation/techsci,9,이집트 경찰은 최루가스를 발사하여 시위대를 해산하고 시위 참가자 23명을 체포했습니다.,kullm12.8b
translate/media,10,"""찰떡은 준비하는 데 시간이 오래 걸립니다. 그 이유는 무엇인가요?""",kullm12.8b
translation/basicsci,10,시냅스가 제대로 형성되지 않은 쥐는 학습 능력이 부족했습니다.,kullm12.8b
translation/dailylife,10,최대한 빨리 문제를 해결한 후 다시 발송해 드리겠습니다.,kullm12.8b
translation/humanities,10,"세계로 뻗어나가는 무지개 무지개학교의 정신에 기반한 ""선상무지개학교""도 빼놓을 수 없는 전남 교육의 자랑거리입니다.",kullm12.8b
translation/socialsci,10,"52장 카드에서 5장을 뽑는 경우의 수는 52! \* 5! \* 5! \* 5! \* 5! \* 5! \* 5! = 3,487,690,857,779,554,619,735,544,967,696,343,238,765,520,778,888,847,535,630,470,945,573,280,285,473,823,977,906,976,890,324,756,684,124,510,610,614,610,748,712,736,844,845,832,825,861,952,1,030,741,057,048,912,914,1,039,953,101,081,068,720,712,748,821,932,969,982,966,940,948,887,913,842,810,739,781,807,779,823,821,778,831,817,829,821,794,791,768,777,767,766,766,763,763,760,760,760,760,760,760,760,760,760,760,760,760,760,760,760,760,760,760,760,760,760,760,760,760,760,760,760,760,760,760,760,760,760,760,760,760,760,760,760,760,760,760,760,760,760,760,760,760,760,760,760,760,760,760,760,760,760,760,760,760,760,760",kullm12.8b
translation/techsci,10,"""미국 식품의약국은 미국 정부 전문가들이 결장암 검사에 사용되는 컴퓨터 단층촬영(CT)의 위험성에 대해 경고했음에도 불구하고 이를 무시한 것으로 밝혀졌다.""",kullm12.8b
translate/media,11,"""그녀는 어딘가 붕 떠 있는 것처럼 보입니다.""",kullm12.8b
translation/basicsci,11,"제가 작성한 문장은 다음과 같습니다: ""이 시점에서, 많은 지식인들은 내가 지금 하는 주장이 터무니없다고 생각했다.""",kullm12.8b
translation/dailylife,11,"""변경된 수량이 반영된 인보이스를 아직 받지 못했습니다.""라고 하면 적절한 영어 문장이 될 것입니다.",kullm12.8b
translation/humanities,11,"이 문장은 ""교육 방식의 자율성""이라는 주제에 대한 설명 또는 관련 정보를 제공합니다.",kullm12.8b
translation/socialsci,11,주행분 자동차세 부과 과정에서 발생한 오류 등에 기인한 것입니다.,kullm12.8b
