task_name,index,result,model_name
translation/techsci,1,"내 영어 번역에서 ""지역 협력체""라는 단어는 ""지역 협력체""라는 단어를 의미합니다. 특정 행위자의 이익을 대변하는 협력체가 아닌 지역 간 상호 이해를 증진하는 협력체라는 뜻입니다.",kullm5.8b
translation/techsci,2,"역은 식민지인의 시간과 일상, 정신을 통제하는 데 사용되는 가장 기본적인 장치 중 하나입니다.",kullm5.8b
translation/techsci,3,비디오 인코더(20)는 플래그를 2번째 값으로 설정하여 다수의 계층에 대한 서브-DPB 파라미터들이 시그널링될 수 있다는 것을 표시할 수 있습니다.,kullm5.8b
translation/techsci,4,중소서점이 중소출판사를 후원하여 새롭고 특색 있는 책을 출판하도록 돕습니다.,kullm5.8b
translation/techsci,5,사전 실행 컨트롤 제스처를 감지하고 미리보기 이미지를 디스플레이합니다.,kullm5.8b
translation/techsci,6,"조선 노동당 창당 당시 당 비서직이 신설되었고, 제1비서에 고려인 AAA1이, 제2비서에는 고려인 AAA2가, 제3비서에는 고려인 AAA3이 각각 선출되었습니다.",kullm5.8b
translation/techsci,7,사회 전반에 걸친 급격한 변화와 동시다발적인 변화로 인해 모든 정치 및 사회 세력이 전례 없는 자유를 경험하게 되었습니다.,kullm5.8b
translation/techsci,8,"이러한 갈등은 현 정부의 탈원전 선언과 이에 따라 단기적으로는 온실가스 감축을 위해 최적화된 전원 구성이 보다 어려워진 구조적 제약에 따라, 향후 보다 심화할 가능성이 높습니다.",kullm5.8b
translation/techsci,9,이집트 경찰이 최루가스를 발사하며 시위대를 해산하고 시위 참가자 23명을 체포했습니다.,kullm5.8b
translation/techsci,10,미국 식품의약국(FDA)은 결장암 검사에 사용되는 컴퓨터 단층촬영(CT)의 위험성에 대한 경고를 무시한 것으로 드러났다고 미국 BBB 인터넷판이 28일 보도했습니다.,kullm5.8b
translation/techsci,11,우리는 항상 상황을 감시하고 있으며 데이터를 분석하고 있습니다. WHO는 이 증거들이 뒷받침된다면 코로나19를 팬데믹이라고 표현하는 데 주저하지 않을 것입니다.,kullm5.8b
translation/techsci,12,"기능 모드의 항목 목록(340)은 휴대 단말기에서 수행될 수 있는 기능 모드의 항목 목록으로, 홈 화면(310)과 관련된 기능 모드의 진입을 안내하기 위한 것입니다.",kullm5.8b
translation/techsci,13,* 이는 일 예일 뿐 캐퍼빌리티에 관한 정보에는 단말(920)에서 지원하는 코덱에 관한 정보가 포함될 수도 있습니다.,kullm5.8b
translation/techsci,14,일부 실시형태에서는 모바일 디바이스(100)의 후면으로부터의 호버 모션의 깊이 또는 높이가 줌 인-줌 아웃 인자로서 역할을 할 수 있습니다.,kullm5.8b
translation/techsci,15,아동 문제에 관해서는 196개 회원국 중 어느 나라에서도 합의가 이루어지지 않았습니다.,kullm5.8b
translation/techsci,16,"당 건설의 기본 원칙으로 유일 사상 체계 확립, 유일적 영도 체계 강화, 당과 인민 대중의 혼연일체, 그리고 당 건설에서의 계승성을 제시하였습니다.",kullm5.8b
translation/techsci,17,"이 문장은 처리 유닛(404)이 제2 업데이트 값 중 어느 것도 코드 엘리먼트 양자화 범위를 초과하지 않는 것으로 결정하는 경우, 404가 P개의 제2 업데이트 값을 판독한다고 설명합니다.",kullm5.8b
translation/techsci,18,"주민이 지역사회에 분단되거나 이질적인 문화 또는 통일되지 않은 교육제도에 놓인 경우 사회통합을 위해서는 규범의 확립이 필요하고, 그렇지 못한 경우 효율적이고 성공적인 통치는 불가능합니다.",kullm5.8b
translation/techsci,19,"""북한의 핵·미사일 고도화 의지를 꺾기 위해 압박에 치중하는 국제사회에 잘못된 신호를 주지 않기 위해.""",kullm5.8b
translation/techsci,20,'이동 단말기(100)와 상대방 단말 사이에 공유하고자 하는 동영상 파일의 재생이 완료되면 제어부(180)는 상대방 단말과의 동영상 공유가 종료되도록 제어할 수 있습니다.,kullm5.8b
translation/techsci,21,비용-편익 분석은 다른 시점 간 발생하는 편익과 비용을 현재 가치로 환산하여 각 대안에 우선순위를 부여합니다. 순현재가치가 0보다 큰 경우에만 사업의 타당성이 있습니다.,kullm5.8b
translation/techsci,22,2008년부터 과학기술정책연구원 글로벌정책본부 연구위원 겸 OECD 과학기술정책위원회 한국 대표를 역임하고 있습니다.,kullm5.8b
translation/techsci,23,스레드가 동일한 흐름 내에 현재의 실행으로서 존재하며 동일한 흐름 내에 다른 스레드에 대해 실행 중인 플래그가 있는 경우에만 실행된다는 것을 나타냅니다.,kullm5.8b
translation/techsci,24,"도시 재생의 중요성에 대한 설문조사 결과를 ""표 7""과 같다고 표시할 수 있습니다. 응답자들은 도시 재생의 물리적 환경적 측면을 개선하는 것이 경제적 측면을 개선하는 것보다 더 중요하다고 답했습니다.",kullm5.8b
translation/techsci,25,우리의 관심사인 북한 이탈주민에 대한 한국인들의 태도는 시간에 따라 어떻게 변화했는지를 분석하는 것이 목표였습니다.,kullm5.8b
translation/techsci,26,1989년 이후 국내 투자 환경이 악화되고 외국인 투자가 급격히 감소함에 따라 1994년부터 외국 기업 전용 단지가 도입되었습니다.,kullm5.8b
translation/techsci,27,미국 의회는 이러한 여러 가지 대안 중 하나를 검토 중입니다.,kullm5.8b
translation/techsci,28,"AAA 파라과이 대통령이 자신과의 사이에 아들을 두었다고 주장하는 여성의 주장과 관련하여, 친자 확인을 위한 DNA 검사를 받을 것이라고 BBB 통신이 23일 보도했습니다.",kullm5.8b
translation/techsci,29,마우스는 컴퓨터에서 사용자와 상호 작용하는 데 널리 사용되는 도구입니다.,kullm5.8b
translation/techsci,30,"""기본적으로 상법상 주식회사의 지배 구조를 바탕으로 한 것이지만, 임원의 선임과 해임에 관한 규정은 상법보다 더 자세합니다.""",kullm5.8b
translation/techsci,31,"""장기 상근자가 많은 것은 단체의 업무 전문성과 안정성을 나타냅니다.""",kullm5.8b
translation/techsci,32,중국의 법률이 온실가스 감축 목표의 준수를 보장할 것이라는 언급에 대해 불쾌한 감정을 드러냈습니다.,kullm5.8b
translation/techsci,33,"""통상성은 무역 자유화 대책 이래 추진해온 산업 재편성 정책의 핵심은 중복하는 차종을 삭감함으로써 규모의 경제 효과를 발휘하는 데 있었습니다.""",kullm5.8b
translation/techsci,34,정보어 길이가 길어지거나 부호율이 낮아지면 해당 세그멘트의 개수를 결정하고 세그멘트를 실시하는 것이 시스템의 성능을 향상시킬 수 있습니다.,kullm5.8b
translation/techsci,35,"자주 재원의 개념을 도입하여 자치단체 간의 재정 상황을 비교할 수 있는 재정 지표를 설치하고, 회계 방식을 개혁하여 지방 예산의 관리 효율성을 높이는 것을 목표로 하고 있습니다.",kullm5.8b
translation/techsci,36,"이 문장은 단말기(110)가 새로운 서비스 제공업체에서 체크인을 수행한 경우, 데이터 저장장치(140)가 데이터베이스를 업데이트하여 새로운 지점에 대한 사용자 체크인 기록과 서비스 제공업체 정보를 저장하는 것을 설명합니다.",kullm5.8b
translation/techsci,37,"""관변학자들은 변증법적 역사유물론의 사관에 입각해 발해사를 연구하기 때문에 열린 사고를 갖기 힘들고 연구에 정치적 편향성을 가지고 있습니다.""",kullm5.8b
translation/techsci,38,"""레저세가 과세되지 않는 카지노는 전국 17개소로, 제주도가 8개소, 서울시가 3개소, 부산시와 강원도가 각각 2개소입니다.""",kullm5.8b
translation/techsci,39,"""안전 관리는 또 다른 차원에서 네 가지 단계, 즉 안전 평가, 관리 조치에 대한 평가, 관리 조치 집행 및 관리 조치에 대한 감독을 포함합니다.""",kullm5.8b
translation/techsci,40,"이 연구는 AR 시장에서 광고, PR 전략에 기여할 수 있도록 하며, 향후 AR 시장 연구의 초석이 되기를 바랍니다.",kullm5.8b
translation/techsci,41,FFF1의 시판 중단은 BBB1 그룹이 독자적으로 내린 결정으로 다른 제약사들이 FFF2로 제조된 살 빼는 약을 계속 판매하고 있습니다.,kullm5.8b
translation/techsci,42,"죄송합니다만, 제공해주신 내용을 영어로 번역할 수 없습니다. 번역해주시면 감사하겠습니다.",kullm5.8b
translation/techsci,43,관계자들은 애초 우려와 달리 유출 이후 유출 오염수가 빠르게 흐르기 때문에 동물 건강에 중대한 문제를 일으키지는 않을 것이라고 분석했습니다.,kullm5.8b
translation/techsci,44,"르클레르는 코트다모르 지방에 있는 이 도축장을 포함하여 총 6개의 도축장에 3,400명의 직원을 고용하고 있습니다.",kullm5.8b
translation/techsci,45,언어 번역기의 도움을 받아서 번역할 수 있습니다: 안타깝게도 저는 번역기이기 때문에 문장을 번역할 수 없습니다. 따라서 이 문장을 직접 입력해 주시면 번역기로 번역해 드리겠습니다.,kullm5.8b
translation/techsci,46,장클로드 융커 EU 집행위원장이 최근 영국 정부에 수개월 동안 새로운 리스본 조약을 시작할 시간이 없을 것이라고 경고한 바 있습니다. 또한 캐머런 총리의 후임자가 리스본 조약 50조를 시작할 수 있는 명확한 시간표를 정할 것을 촉구했습니다.,kullm5.8b
