task_name,index,result,model_name
reasoning,1,"김병관 국회의원(성남분당갑), 김태년 국회의원(성남수정), 박광온 국회의원(수원정), 정춘숙 국회의원(비례대표, 용인병(수지) 후보) 등 경기 남부권역 4명의 여당 국회의원은 오늘(28일) 지하철 3호선 시대(수서~판교~용인~수원)를 열기 위해 공동의 노력을 취하겠다고 발표했습니다. 이에 따라 지하철 3호선이 경기 남부권역을 지나가는 계획이 탄력을 받을 전망입니다.AIST.",kullm5.8b
reasoning,10,"국내 기업이 중국 동영상 포털에 한류 콘텐츠를 제공하고 클릭 수에 따라 광고수익을 나누는 사업모델을 시작한 것으로 알려지고 있습니다. 이 계약을 성사시킨 인물은 국내 연예기획사 키이스트의 자회사인 콘텐츠N의 정지호 대표입니다. 콘텐츠N은 국내 연예계 소식을 매주 금요일 오후 8시부터 40분씩 소개하는 프로그램 `한라이즈싱` 시즌1을 지난 7월부터 중국 세 개 동영상 사이트에 제공해 왔으며, 시즌2도 준비하고 있습니다.세 포털이 동일한 시간에 방송한 뒤 수익을 절반씩 나누기로 계약을 맺었으며, 국내 콘텐츠 사업자가 중국 포털과 광고 수익을 나누는 계약 조건은 처음이라고 합니다. 중국 포털들이 한류 스타와 독점 계약을 맺은 것은 `한라이즈싱`의 하이라이트인 김수현 덕분입니다. 최근 몇 달 동안 김수현과 독점 인터뷰를 한 것이 중국 포털들의 눈에 띄면서 독점 요구를 수용한 것으로 보입니다.또한 콘텐츠N은 국내 1인 방송 플랫폼인 MCN사업도 시작하기로 했습니다. 단순 콘텐츠만 제공하는 것이 아니라 콘텐츠와 관련된 일반 상품을 판매하는 쇼핑몰 사업도 병행하게 됩니다. 예를 들어, 한국 연예인이 다이어트나 화장하는 방법을 소개하고, 이커머스 시스템과 연동해 관련 화장품과 식품 등을 중국인에게 판매하는 사업 모델이 예상됩니다. 벤처 투자 회사인 VenturePort는 콘텐츠N의 사업 전망이 밝다고 보고 최근 5억 원을 투자했습니다.",kullm5.8b
reasoning,100,1950년 '디트로이트협약'을 체결한 회사는 1959년 '디트로이트 협약'에 따라 파산한 제너럴모터스(GM)입니다.,kullm5.8b
reasoning,1000,"- 타라 존스: ""어업협정에 찬성합니다.""라고 말했습니다. - 그레이스 케일: ""어업협정에 찬성합니다."" - 제인 하먼: ""어업협정에 찬성합니다."" - 마리아 듀크: ""어업협정에 찬성합니다.""",kullm5.8b
reasoning,101,"""세븐나이츠"" 게임은 2020년 4월에 출시될 예정입니다.",kullm5.8b
reasoning,102,1. 40대 (17.5%) 2. 30대 (16.2%) 3. 50대 (15.6%),kullm5.8b
reasoning,103,"영이인은 아버지 안국군 영주와 어머니 하희 사이에서 태어났어요. 영이인은 왕자 안국군의 아들이었지만 어머니 하희가 첩이었고 형제들이 20명이어서 왕위 계승과 거리가 멀었습니다. 결국 영이인은 조나라로 가서 인질이 되었고, 조나라에서 받은 대우는 비참했습니다. 여불위는 영이인을 높게 평가하고 천금을 포섭자금으로 주었습니다. 영이인은 여불위의 도움으로 진나라 군대의 군영으로 갔고, 이후 여불위는 남은 500금으로 화양부인을 포섭하는 데 도움을 주었습니다. 그러나 영이인은 진나라 군대에서도 화양부인의 도움을 받았고, 진나라 왕에게도 많은 도움을 받았습니다.",kullm5.8b
reasoning,104,"본사부지 인수전은 한국의 주요 기업들이 참여한 치열한 경쟁의 장입니다. 입찰가가 가장 높게 제시되는 기업이나 개인이 승자가 됩니다. 승자가 결정되면, 그 기업이나 개인은 한전 본사부지에 대한 모든 권리를 소유하게 됩니다.",kullm5.8b
reasoning,105,"메쉬코리아는 부릉을 창업한 IT 기반 물류 스타트업으로, 본사 설립년도는 2018년입니다.",kullm5.8b
reasoning,106,박 대통령은 국가 재정 지출을 위한 감세 정책을 통해 비과세 및 감면을 줄이면서 복지 지출을 위한 재원을 확보하는 것을 목표로 했습니다. 그러나 현재 국회에서 논의 중인 세법 개정안과 정부의 증세 없는 복지 공약 이행을 위한 세법 개정은 이러한 목표를 달성하지 못할 가능성이 높습니다.,kullm5.8b
