task_name,index,result,model_name
summarization,1,세운은 자신의 사업을 시작하면서 자신의 뜻을 선친의 뜻과 비교하면서 사업이 실패하는 것을 두려워했습니다. 그의 새로운 사업은 선친의 사업을 이어받아 그의 이름을 빛낸 것이었습니다. 그러나 사람들은 그의 사업을 실패할 것으로 예상했습니다. 세운의 마음에 큰 영향을 미친 것은 그의 예상치 못한 실패였습니다. 그는 사업 실패 후에도 월매를 부르며 자신의 직업에 대한 헌신을 보여주었습니다.,llama2_13b
summarization,2,"1964년, 영국의 한 방송국은 전국에서 다양한 배경을 가진 7살짜리 아이들을 모아, 7년마다 그 아이들을 만나며 각자의 삶을 추적했다. 어떤 아이들은 꿈을 이루었지만, 어떤 아이들은 인생에서 막막했다. 이 아이들은 50년대 후반 아동기의 영상을 촬영한 후 다시 만나 각자의 인생 경험을 공유했다. 이들은 삶의 궤적을 따라가며, 어떤 사람들은 성공한 반면 어떤 사람들은 고군분투했다. 이 프로그램에 참여한 아이들 중 일부는 처음에 출연하고 싶지 않았지만, 최종적으로는 자신의 이야기를 전하는 것이 유익하다고 판단했다.",llama2_13b
summarization,3,"비가 쏟아지는 밤에 잠을 이루지 못하고, 잠을 자고 있는데 갑자기 비가 와서 잠을 깨게 되는 상황에 대해 설명하고 있습니다. 작가는 비가 그치기를 기다리는데 시간이 오래 걸리고 불안해합니다. 결국 비가 그치고 작가는 흐뭇한 기분을 느낍니다.",llama2_13b
summarization,4,덕쇠는 한 벌을 못 잡아서 화가 나서 산에서 내려왔다. 그는 순갑이를 만나 그에게 돈을 받았다. 덕쇠는 새끼토막과 허물을 주고 받았다. 덕쇠는 돈으로 술을 사서 먹었다.,llama2_13b
summarization,5,"1. 방역수칙을 미준수한 10개 시설에 대해 5월 15일에 시정명령을 내렸으며, 재점검을 통해 방역수칙 미이행 사례가 다시 적발될 경우 집합금지 명령을 발령할 예정이다. 2. 중앙재난안전대책본부는 국민 개개인이 방역 주체라는 인식을 갖고 생활 속 거리 두기 지침 등 방역수칙을 충실히 이행해 주시기를 바란다고 강조했다. 3. 지금까지 102개 시설을 점검하고, 방역수칙을 미준수한 10개소에 대해서는 5월 15일 시정명령을 내렸으며, 재점검을 통해 방역수칙 미이행 사례가 다시 적발될 경우 집합금지 명령을 발령할 예정이다. 4. 이 중 자택에서 자가격리 중인 격리자는 35,502명이며, 자택 격리자의 관리를 위해 필요한 ‘자가격리자 안전관리 앱’은 93.1% 설치되었다. 5. 지금까지 안심밴드 착용한 사람은 총 47명이며, 이 중 28명은 자가격리가 해제되어 현재 19명이 안심밴드를 착용하고 있다.",llama2_13b
summarization,6,"욕지도 조개더미는 신석기시대 장례형태연구와 남해안 지역의 신석기문화를 밝히는 중요한 곳이다. 이곳에서는 중석기시대에서 신석기시대에 이르는 다양한 유물이 출토되었다. 또한 동항리에서는 신석기시대 돌무지 시설과 유물이 출토되었는데, 돌무지 시설아래에서 2구의 사람뼈가 발견되었다.",llama2_13b
summarization,7,"페이 조아다는 브라질 요리의 대표적인 하나로, 검은콩과 함께 끓여 먹는 스튜의 일종입니다. 브라질 전국 어디에서나 맛볼 수 있으며, 노예들이 먹던 음식에서 비롯되었습니다. 많은 예술가들이 리우에서 찾는 곳으로, 브라질 음식은 지역마다 특색이 있습니다.",llama2_13b
summarization,8,"류현진이 올 시즌 200이닝을 던질 경우, 기존 연봉 외에 보너스로만 100만 달러를 챙길 수 있다. 류현진의 소속팀 LA 다저스는 류현진을 통해 올 시즌 입장수익만으로도 류현진의 올 시즌 연봉을 회수했다.",llama2_13b
summarization,9,"세월호 인양을 둘러싼 논란이 계속되면서, 인양 작업에 대한 새로운 방법에 대한 논의가 발생했습니다. 한국해양공사 인양추진단장 이철조는 플로팅 도크 대신 플로팅 폰툰을 사용해야 한다고 주장했습니다. 그러나 해양수산부 장관 김영석은 이에 동의하지 않았습니다. 김 장관은 현장 실무경험이 중요하며, 삼성중공업 등에서는 이미 새로운 방법을 사용하고 있다고 지적했습니다. 또한 그는 새로운 방법에 대한 동절기 영향 분석과 잠정적인 개략 시뮬레이션을 이미 실시했다고 언급했습니다. 김 장관은 이 문제에 대한 자문을 더 구하고 좀 더 확실하게 진행하겠다고 말했습니다.",llama2_13b
summarization,10,르테름 전 벨기에 총리가 지속가능한 에너지 전환 정책의 민주적 수립과정을 논의하는 특별 강연을 한 것으로 요약되어 있다. 르테름은 에너지 문제를 바라보는 관점은 화석연료 대 비화석연료가 되어야 한다고 주장하였다.,llama2_13b
