task_name,index,result,model_name
translation/techsci,1,"지역 협력체라고 할 수 있는 것은 다음과 같습니다. 정부 또는 특정 행위자의 이익을 대변하는 협력체가 아닌, 지역들 간의 전방위적인 교류 및 협력 강화를 통해 아시아와 유럽 지역의 상호 이해를 증진하는 지역 협력체입니다.",llama2_13b
translation/techsci,2,"역이야말로 식민지인의 시간과 일상은 물론 정신까지 통제할 수 있는 가장 기본적인 장치로서, 식민지 경영상 활용도가 대단히 큰 까닭이다.",llama2_13b
translation/techsci,3,비디오 인코더(20)는 서브-DPB 파라미터들이 다수의 서브-계층들에 대해 시그널링될 수도 있다는 것을 표시하기 위해 플래그를 제2 값으로 설정할 수도 있다.,llama2_13b
translation/techsci,4,중소 서점이 중소 출판사를 후원하여 새롭고 독창적인 책을 출판할 수 있도록 돕습니다.,llama2_13b
translation/techsci,5,"미리보기 이미지(240, 242, 244)에 해당하는 개체에 대한 드래그 또는 호버(232)인 미리보기 이미지에 대한 사전 실행 제스처에 대응하여, 제어 모듈(110)은 미리보기 이미지를 확장할 수 있다.",llama2_13b
translation/techsci,6,"조선로동당 창당 당시 당무 전반을 총괄하는 당 비서직이 신설되었고, 제1비서에 고려인 AAA1, 제2비서에 남로당의 AAA2, 제3비서에 남로당의 AAA3이 선출되었다.",llama2_13b
translation/techsci,7,"사회 전반적으로 급격하고 동시다발적인 변화가 발생하면서 모든 정치 및 사회 세력의 해방(emancipation), 즉 대중의 정치참여가 촉발되었다.",llama2_13b
translation/techsci,8,"이러한 갈등은 현 정부의 탈원전 선언에 따라 단기적으로는 온실가스 저감을 위해 최적화된 전원 구성이 보다 어려워진 구조적 제약에 따라, 향후 보다 심화할 가능성이 높다고 할 수 있다.",llama2_13b
translation/techsci,9,"이집트 경찰은 최루가스 대신 실탄을 쏴서 시위대를 해산시켰고, 시위 참가자 중 23명을 체포했다.",llama2_13b
translation/techsci,10,결장암 검사에 사용되는 컴퓨터 단층촬영(CT)의 위험성에 대한 정부 전문가들의 경고를 무시한 것으로 미국 식품의약국(FDA)이 드러났다고 BBB 인터넷판이 28일 보도했다.,llama2_13b
translation/techsci,11,코로나바이러스 팬데믹이 선언되기 전에 몇 주 동안 상황을 면밀히 모니터링하고 데이터를 분석해왔다고 세계보건기구(WHO) 소장 테드로스 아드핀 박사는 말했다. 만일 그 증거들이 뒷받침된다면 코로나19를 팬데믹이라고 표현하는 데 주저하지 않을 것이다.,llama2_13b
translation/techsci,12,"기능 모드 항목 목록(340)은 휴대 단말기의 홈 화면(310)과 관련이 있을 수 있으며, 휴대 단말기에서 기능 모드(340)로 진입하여 수행할 수 있는 작업 목록일 수 있습니다.",llama2_13b
translation/techsci,13,"이 문장을 영어로 번역해 주세요. 이는 예시일 뿐이며, 단말(920)에서 지원하는 코덱에 관한 정보도 포함될 수 있다. 캐퍼빌리티에 관한 정보.",llama2_13b
translation/techsci,14,일부 실시형태에 있어서는 모바일 디바이스(100)의 후면으로부터의 호버 모션의 깊이 또는 높이가 줌 인-줌 아웃 인자로서 역할을 할 수 있다.,llama2_13b
translation/techsci,15,다음 문장을 영어로 번역해 줘. 국제협약 가운데 가장 많은 196개국이 가입한 것은 아동 문제에 관해서는 나라마다 이견이 없다는 뜻이다.,llama2_13b
translation/techsci,16,"신 규약은 당 건설의 기본 원칙으로 유일 사상 체계 확립, 유일적 영도 체계 강화, 당과 인민 대중의 혼연일체, 그리고 당 건설에서의 계승성 보장을 제시하였다.",llama2_13b
translation/techsci,17,"처리 유닛(404)이 제2 업데이트 값 중 어느 것도 코드 엘리먼트 양자화 범위를 초과하지 않는 것으로 결정하는 경우, 처리 유닛(404)은 P개의 제2 업데이트 값을 판독한다.",llama2_13b
translation/techsci,18,사회통합이 되지 않으면 규범의 확립이 필요하고 그렇지 못하게 되면 효율적이고도 성과를 내는 중앙집권적인 통치가 불가능하다.,llama2_13b
translation/techsci,19,북한의 핵·미사일 고도화 의지를 꺾기 위해 압박에 치중하고 있는 국제사회에 잘못된 신호를 주지 않기 위해서입니다.,llama2_13b
translation/techsci,20,"이 문장은 영어로 되어 있습니다. It reads: ""When the playback of the video file shared between the moving terminal (100) and the other terminal is completed, the control part (180) can control so as to terminate the video sharing with the other terminal.""",llama2_13b
translation/techsci,21,"비용-편익 분석은 다른 시점 간 발생하는 편익과 비용을 현재 가치로 환산하여 각 대안에 우선순위를 부여하는 것으로서, 순 현재 가치가 0보다 큰 경우에만 사업의 타당성이 있다고 판단한다.",llama2_13b
translation/techsci,22,다음 문장을 영어로 번역해 줘. 2008년부터는 과학기술정책연구원 글로벌정책본부 연구위원 겸 OECD 과학기술정책위 한국 대표로 활동해 왔다.,llama2_13b
translation/techsci,23,"이 문장은 플래그가 현재 실행 중인 스레드가 동일한 흐름 내에 있음을 나타내며, 따라서 플래그가 같은 흐름 내에 있는 스레드에 대해서만 실행이 발생한다는 것을 나타냅니다.",llama2_13b
translation/techsci,24,표 7은 어떤 도시 재생 성과 요인을 가장 중요하게 생각하는지 보여줍니다.,llama2_13b
translation/techsci,25,다음 문장을 영어로 번역해 줄 수 있나요? 본 연구는 북한 이탈 주민에 대한 한국인들의 태도를 시계열적으로 분석하고자 했다.,llama2_13b
translation/techsci,26,1989년 이후 국내 투자 환경이 악화되고 외국인 투자가 급속히 감소함에 따라 첨단 기술 등을 가진 외국인 기업을 미분양 산업 단지에 유치하기 위하여 1994년에는 외국 기업 전용 단지가 도입되었다.,llama2_13b
translation/techsci,27,이 문장은 영어로 이미 번역되어 있습니다. 다음은 그 번역문이다: 다음 문장을 영어로 번역해 줘. 다음은 미국 의회에서 제시된 각 법안들이 이러한 여러 방안들 중에서 어떠한 방안을 채택하고 있는지 검토하고자 한다.,llama2_13b
translation/techsci,28,"다음 문장을 영어로 번역해 줄 수 있나요? 가톨릭 사제 출신의 AAA 파라과이 대통령이 자신과의 사이에 아들을 두었다는 여성의 주장과 관련, 친자 확인을 위한 DNA 검사를 받을 것이라고 BBB 통신이 23일 보도했다.",llama2_13b
translation/techsci,29,컴퓨터 마우스가 발명되기 전에는 전자 장치와의 상호 작용을 위해 마우스와 같은 제어기 또는 조작 패널이 사용되었습니다.,llama2_13b
translation/techsci,30,이 문장을 영어로 번역할 수 없습니다. 번역할 문장을 제공해주세요.,llama2_13b
translation/techsci,31,다음 문장을 영어로 번역해 줄 수 있을까요? 장기 상근자가 수가 많은 것은 단체 업무의 전문성과 지속성이 안정화되는 요인으로 작용한다.,llama2_13b
translation/techsci,32,헤야페이는 중국 외교부 부상으로 불쾌한 감정을 내비쳤다. 그는 중국의 법률이 온실가스 감축 목표의 준수를 보장할 것이라고 말했다.,llama2_13b
translation/techsci,33,통상성이 무역 자유화 대책 이래 추진해온 산업 재편성 정책의 핵심은 중복하는 차종을 삭감함으로써 규모의 경제 효과를 발휘시키는 데 있었다.,llama2_13b
translation/techsci,34,"정보어 길이가 길어지거나 부호율이 낮아질 경우, 즉 부호어 길이가 길이질 경우, 그에 맞는 세그멘트의 개수를 결정하고 세그멘트를 실시하는 것이 시스템의 성능을 향상시킬 수 있습니다.",llama2_13b
translation/techsci,35,"지방 예산의 관리 효율성 제고를 위해서는 자주 재원의 개념 도입, 자치 단체 간의 재정 상황 분석이 가능한 재정 지표 설치, 회계 방식의 개혁을 도모하고 있다.",llama2_13b
translation/techsci,36,"단말기(110)가 새로운 서비스 제공업체에서 체크인을 수행하는 경우, 데이터 저장장치(140)는 새로운 지점에 대한 사용자 체크인 기록정보 및 서비스 제공업체 정보에 대한 데이터베이스를 업데이트할 수 있다.",llama2_13b
translation/techsci,37,중국의 관변학자들은 변증법적 역사유물론적 사관에 입각하여 발해사를 연구하고 있기 때문에 열린 사고를 갖기 어렵고 연구에 정치적 편향성을 갖고 있습니다.,llama2_13b
translation/techsci,38,"제주도에는 카지노가 8개소 위치해 있고, 서울시와 부산시는 각각 3개소씩 카지노가 위치해 있다. 이러한 카지노들은 레저세가 과세되지 않고 있다. 전국에는 총 17개의 카지노가 위치해 있다.",llama2_13b
translation/techsci,39,"안전관리는 또 다른 차원에서 네 가지 단계를 포함합니다. 안전평가, 관리조치에 대한 평가, 관리조치 집행 및 관리조치에 대한 감독과 심사가 포함됩니다.",llama2_13b
translation/techsci,40,"이에 본 연구는 AR 시장에서 광고, PR 전략 구축에 도움이 되길 바라며, 향후 활성화되어야 할 AR 시장 연구에 기초가 되길 기대한다.",llama2_13b
translation/techsci,41,다음 문장을 영어로 번역해 줄 수 있나요? FFF1의 시판중단은 BBB1그룹이 독자적으로 내린 결정으로 다른 제약사들이 FFF2로 제조된 살 빼는 약을 여전히 판매하고 있다고 BBB2가 전했다.,llama2_13b
translation/techsci,42,이 문장은 11번 그림에서 경사도 조정으로 인한 우기 기간인 2025년 7월과 건기 기간인 2025년 10월의 기저 유출량 변화를 보여줍니다.,llama2_13b
translation/techsci,43,"다음 문장을 영어로 번역해 줄 수 있나요? EPA는 관계자들이 또 애초의 우려와 달리 ""유출 이후 오염수가 빠르게 흐르기 때문에 강물을 마시는 동물의 건강에 중대한 문제를 일으키지는 않을 것""이라고 분석했다.",llama2_13b
translation/techsci,44,"르클레르의 계열사인 이 기업은 코트다모르 지방에 3천400명을 고용하고 있는 6개의 도축장 중 하나로, 이 도축장을 포함하고 있다고 밝혔다.",llama2_13b
translation/techsci,45,"다음 문장을 영어로 번역해 줄 수 있나요? 전통적인 관점에서의 빈곤과 비교해 볼 때, 사회적 장애 요소의 누적, 사회 구성원 간의 관계에서의 단절과 같은 동태적, 과정적, 다측면적인 성격을 좀 더 강조하는 개념이라고 이해할 수 있다.",llama2_13b
translation/techsci,46,영국 정부가 새 총리를 임명한 후에도 리스본 조약의 50조 프로젝트를 추진할 시간이 없을 수 있다는 장클로드 융커 EU 집행위원장의 경고가 있었다. 그는 캐머런 총리의 후임자가 프로젝트를 시작하기 위한 명확한 시간표를 정해야 한다고 말했다.,llama2_13b
translation/techsci,47,- 소비자의 실천 운동과 실천을 유도할 수 있는 보다 다양한 소비자 참여 모형을 도입해야 할 것이다. - 소비자의 실천 운동과 실천을 유도할 수 있는 다양한 소비자 참여 모델을 도입해야 한다.,llama2_13b
translation/techsci,48,본 논문은 비판적･규범적 성격을 지향하기 때문에 경험적 분석과는 다소 상이한 일련의 분석 단계로 구성된다.,llama2_13b
translation/techsci,49,당국은 전문가들과 함께 곧바로 복원 작업에 나선다고 덧붙였다.,llama2_13b
translation/techsci,50,그린란드의 인구는 2030년까지 인구 유입으로 인해 약 3% 증가할 것으로 예측됩니다.,llama2_13b
translation/techsci,51,이 연구는 초기 청소년의 사회적 배제 개념을 정확하게 반영하기 위해 퍼지 집합 이론을 사용하여 사회적 배제를 측정할 수 있었습니다.,llama2_13b
translation/techsci,52,"셰브론텍사코는 2010년에 전체 탄소배출의 3.5%를 차지했고 이어 엑손이 3.2%, 영국 석유가 2.5%가 그 뒤를 이었다.",llama2_13b
translation/techsci,53,지난해에는 인구가 2000년에 비해 160만 명 이상 증가했다. 러시아 정부의 출산 장려 정책이 인구 증가에 큰 영향을 미쳤다. 그러나 소장은 최근의 인구 증가가 대체로 수십 년 전의 요인에 따른 일시적인 현상이라고 주장했다.,llama2_13b
translation/techsci,54,다음 문장을 영어로 번역해 줄 수 있나요? 최근 코로나19 사태를 두고 유럽연합(EU)이나 북대서양조약기구(나토) 회원국간 지원이 미흡한 상황이라 러시아의 이러한 활동이 더욱 부각됐다.,llama2_13b
translation/techsci,55,독일어에서 영어로 번역: 사냥용 산탄총 등에 맞아 죽는 것을 방지할 수 있다는 점도 페인트볼총 이용의 장점으로 거론되고 있다.,llama2_13b
translation/techsci,56,중국 당국은 발굴을 검토 중인 측천무후의 건릉에서 탐측을 실시한 결과 능묘와 함께 하궁이라는 지하 궁전이 존재하며 이곳에 당나라 시기 최고의 보물이 함께 묻혀있는 것으로 나타났다고 밝혔다.,llama2_13b
translation/techsci,57,"번역 시작하기 전에, 원본 문장에서 누락된 단어들을 찾아야 합니다. 이 경우에는 두 단어인 ""보안 데이터 전송을 위한 기술들""과 ""상이한""이 누락되었습니다. 이러한 누락된 부분을 채우고 나면, AI는 다음과 같은 번역을 생성할 수 있습니다:  영어로 많은 다양한 기술들이 논의되었습니다. 이들 중 일부는 보안 데이터 전송에 예시된 첨부 다이어그램들과 플로우 차트들에 표시되었습니다.",llama2_13b
translation/techsci,58,"영어로 번역: 유럽 내 다른 나라에 비해 봉쇄 조치와 학교 폐쇄, 여행 제한 등을 늦게 시행했기 때문에 코로나19가 4월에 걷잡을 수 없이 확산되었습니다.",llama2_13b
translation/techsci,59,지난 1987년부터 2010년까지 몽골고원의 면적 1만 ㎡ 이상 호수 785개를 모니터링한 결과 208개(26.5%)가 완전히 말라붙어 없어진 것으로 확인되었다.,llama2_13b
translation/techsci,60,비상장 주식 평가 문제의 개선책으로 현행 상증세법상 규정된 BBB의 실효성을 평가하거나 해당 위원회의 개선안을 제언한 것이 있다.,llama2_13b
translation/techsci,61,"본 발명의 일 실시예에서의 제어부(180)는 더 나아가 가상의 필기 메모를 텍스트로 인식하고, 필기 메모를 저장하는데 있어서 인식한 텍스트 형태로 저장할 수 있다.",llama2_13b
translation/techsci,62,"두 팀 중 어느 하나의 팀을 기준으로 그 팀이 승리한 경우 1, 패배한 경우 0으로 표기될 수 있다.",llama2_13b
translation/techsci,63,방전 동안의 센싱 데이터는 충전 동안의 센싱 데이터에 비해 노이즈와 같은 고주파 성분을 가질 수 있습니다.,llama2_13b
translation/techsci,64,하지 미국 대한민국 국군 사령관은 한반도에서 소련과 민간 행정의 통합에 관한 회담을 제안했다.,llama2_13b
translation/techsci,65,"데이터 분석 결과, 우리나라와 중국과의 산업 연관 관계가 더 높아졌지만, 일본과는 더 감소했다.",llama2_13b
translation/techsci,66,2009년 카테고리 5 합의에 대한 내년 감축 목표는 유럽연합이 2020년까지 전 세계 온실가스 배출량의 20%를 절감하겠다는 것이었습니다. 그러나 2020년 파리 기후변화 총회에서 다른 국가들이 적절한 감축안을 제시하지 않는다면 EU가 새 감축 목표를 재검토할 수 있다는 조항이 포함돼 있어 감축 노력이 후퇴할 가능성도 있습니다.,llama2_13b
translation/techsci,67,이 문장을 영어로 번역하세요. 이와 같은 문헌은 경제 내에서 외자계 기업이 해외 충격을 국내로 전달하는 중요한 경로임에 초점을 맞추고 있다.,llama2_13b
translation/techsci,68,생존 위협을 받는 동물 가운데 포유류가 가장 심각한 상황에 직면해 있는 것으로 나타났다.,llama2_13b
translation/techsci,69,안녕하세요! 죄송합니다. 입력하신 내용을 이해하지 못했습니다. 문장을 번역하고 싶은 언어와 텍스트를 제공해 주시겠어요?,llama2_13b
translation/techsci,70,표 3에서 응답자들은 생물 다양성 감소의 주된 원인으로 환경 오염을 가장 많이 언급했습니다.,llama2_13b
translation/techsci,71,"해수면 상부 영역은 공기 대류에 영향을 받으며, 해수면 하부 영역은 해수 대류에 영향을 받을 수 있다.",llama2_13b
translation/techsci,72,"원래 계획된 20종의 계약 유형을 민법전에 규정하고자 하였으나 그중 매매와 교환, 위임, 임치, 보증계약 등 네 종의 계약형태만이 1992년에 완성되었고, 그 뒤를 이어 1993년 1월 1일 여행계약에 관한 규정이 받아들여졌다.",llama2_13b
translation/techsci,73,"성종대 영접도감이 스스로를 도감이라 일컬으면 1품 아문이 되므로 반드시 첩정으로 통지하고, 청이라 일컬으면 1품 아문이 아니므로 관자로 상통하게 되어 있다.",llama2_13b
translation/techsci,74,작성되는 메시지는 다양한 압력에 따라 기입되는 글자의 폰트나 굵기 또는 색 등이 변화되는 형태의 정보를 포함할 수 있습니다.,llama2_13b
translation/techsci,75,"2021년 기온 지표는 20세기 평균보다 높았으며, 온도는 0.96도 상승하여 역대 최고 기록을 세웠고, 해수면 상의 기온은 20세기 평균을 0.49도 웃돌았으며, 이는 사상 3번째로 높은 수치였습니다.",llama2_13b
translation/techsci,76,북극해 빙하가 녹으면 북극항로 운송의 기회는 더욱 확대된다.,llama2_13b
translation/techsci,77,"여기서 복기병을 병이 걸리지 않는 것과 즉발병의 사이로 본다면, 태양병으로부터 진행되는 과정이 일어나지 않아 곧바로 병이 나타나지 않고 잠복되었다고 해석할 수 있다.",llama2_13b
translation/techsci,78,중국 증시의 양대 지수인 선전성분지수도 8.45% 대폭락했습니다.,llama2_13b
translation/techsci,79,"다음 문장을 영어로 번역해 주세요. 그는 `탈 탄소, 친환경 에너지`인 수소가 보편화하는 수소 경제 사회를 서둘러 구축해 환경 오염과 지구 온난화에 적극적으로 대응하자고 제안했다.",llama2_13b
translation/techsci,80,신자유주의적 경제통합과 생산요소의 불균등적 이동은 경쟁력이 약한 지역에 경제사회적 부담을 가중시키고 있다.,llama2_13b
translation/techsci,81,"투명 디스플레이부(155)가 사용자를 향하는 방향이 전환되는 경우, 즉, 사용자가 투명 디스플레이부(155)의 제1 면(410)을 바라보는 경우, 제어부(180)는 콘텐츠를 다시 재생할 수 있다.",llama2_13b
translation/techsci,82,"이 문장은 영어로 번역되지 않아야 합니다. 이는 프랑스어 원문으로 작성된 것으로 보입니다. 그러나 영어 번역이 필요한 경우, 다음과 같이 번역할 수 있습니다: ""Accor CEO wants the new measure to give employees the flexibility to find a balance between work and caring for loved ones over the next 12 months.""",llama2_13b
translation/techsci,83,"다음 문장을 영어로 번역하는 AI 모델을 사용할 수 있습니다: ""비록 최근 APG에 옵서버 자격으로 가입했지만 ABE, IMF, 세계은행 등 주요 국제금융기구 가입에 대한 관심은 보이지 않고 있다.""",llama2_13b
translation/techsci,84,영국 정부의 두 번째 전세기 탑승자들은 켄츠 힐 콘퍼런스 센터에서 격리 중이다.,llama2_13b
translation/techsci,85,아스테어와 영화 재미있는 얼굴에서 공연한 오드리 헵번은 최근 인터뷰에서 아스테어와 한 번만 춤을 추고 싶다고 말했다. 그녀는 모든 여성들이 그녀의 전율을 경험하기를 원한다고 말했다.,llama2_13b
translation/techsci,86,다음 문장을 영어로 번역해 줄 수 있나요? 개인의 자산 축적 가능성 등은 경제적 활동을 고무하고 노동의 동기를 부여하여 경제 성장에 기여한다.,llama2_13b
translation/techsci,87,다음 문장을 영어로 번역해 줄 수 있을까요? 친환경적이고 공익적인 일을 하면서도 수익이 날 수 있음을 증명했다고 평가했다.,llama2_13b
translation/techsci,88,"로마는 교황 선출과 즉위식이 열리는 동안 숙박과 식당, 박물관 등에서 최대 5천500만 유로의 추가 관광 수익을 올릴 것으로 기대되고 있다. 로시올리 회장이 밝혔다.",llama2_13b
translation/techsci,89,74 부품의 상부 단부는 회로 보드(50)에 접촉 요소(80)를 포함하여 중앙 피스(12) 위에 놓일 수 있습니다.,llama2_13b
translation/techsci,90,"오는 12월 코펜하겐에서 열리는 유엔기후변화협약(UNFCCC) 당사국총회(COP 15)를 앞두고 개최된 기후변화정상회의에는 각국 정상급만 100여 명, 장관급까지 합하면 180여 개국 대표들이 참석했다.",llama2_13b
translation/techsci,91,"다음 문장을 영어로 번역해 줄 수 있는데, 질문에서 어떤 문장을 말하는지 명시하지 않았어요.",llama2_13b
translation/techsci,92,"다음 문장을 영어로 번역해 줄 수 있나요? 개도국-선진국의 이분법적 사고와 정책에 강하게 천착되어 있기는 하였으나, 이 시기는 기후변화 관련 국제 환경 규범이 중국에 뿌리내려, 환경 이슈가 중국 외교에 하나의 중요한 영역으로 자리매김하기 시작한 시점으로 볼 수 있다.",llama2_13b
translation/techsci,93,경제는 시간이 지남에 따라 변화에 따라 주기적으로 파동을 그리며 수축과 확장을 반복하면서 발전한다.,llama2_13b
translation/techsci,94,다음 문장을 영어로 번역해 줘. 서로 다른 서치 세션에서 관련 사용자들이 댓글을 다는 기록 간의 관계가 더 가까워질 수 있다.,llama2_13b
translation/techsci,95,"테이블 1170의 각 행은 활동 식별자, 가격 가중치, 시간 가중치 및 소스 가중치를 포함하는 활동 선호도를 나타냅니다.",llama2_13b
translation/techsci,96,이 문장을 영어로 번역할 수 없습니다.,llama2_13b
translation/techsci,97,"새로운 사실을 배우면서 우리의 마음은 항상 우리의 언어로 된 지식을 설명하려고 노력합니다. 그래서 우리는 이 문장을 다음과 같이 번역합니다: ""부모주의로 까지 명명된 우리나라 부모들의 자녀 교육열은 계층을 초월하지만, 영어 유치원-사립 초등학교-국제 중학교-자사고·특목고-명문대로 이어지는 학벌 경쟁에서의 차별적 우위 획득은 기본적으로 경제적인 뒷받침이 있어야 가능하다."" 이 번역은 우리의 언어로 된 지식을 설명하는 것을 목표로 합니다.",llama2_13b
translation/techsci,98,이번 아트페어에 참가한 BBB AAA 교수는 중국의 미술 애호가들이 한국 작품에 대해 상당히 관심을 보이고 있다면서 조금씩 거리를 좁히려는 노력이 필요한 시점이라고 말했다.,llama2_13b
translation/techsci,99,"방문자 단말(92)은 방문자가 사용하는 단말로서, PC, 노트북, 태블릿PC, 스마트폰, 이동단말 등 컴퓨팅 기능을 구비한 단말이다.",llama2_13b
translation/techsci,100,"다음 문장을 영어로 번역해 줄 수 있나요? 수년 전부터 경제난에 허덕이던 파키스탄의 현실을 고려할 때, 코로나19 퇴치에 국력을 더 집중하기 어렵다는 점을 시인한 것이다.",llama2_13b
translation/techsci,101,이 발명의 목적은 무선으로 전원을 공급받는 손목에 착용하는 장치를 만들어 전원 충전의 편리함을 제공하는 것입니다.,llama2_13b
translation/techsci,102,"다음 문장을 영어로 번역해 줄 수 있어요: ""BBB 회원 21명이 필자로 참여한 '차라리 아이를 굶겨라 2'의 서문은 먹거리 문제를 환경위기의 결과로 인식하는 회원들의 시각을 보여준다.""",llama2_13b
translation/techsci,103,"전환된 토글 기능이 꺼져 있을 때, 제어부(250)는 터치된 단어와 동일한 단어들을 텍스트에서 검색하고, 검색된 단어들의 강조 표시를 모두 해제한다.",llama2_13b
translation/techsci,104,"번역: 기존의 많은 연구에서 건강을 개인의 생물학적, 의료적 문제로 국한시켰던 한계와 문제점이 드러나면서, 건강의 근본적 원인으로서의 사회경제적 요인에 대한 관심이 증대되었다.",llama2_13b
translation/techsci,105,"컨트롤러는 적어도 하나의 터치 존과의 접촉에 응답하여, 적어도 하나의 조명 요소를 조명하고, 적어도 하나의 터치 존과의 접촉에 응답하여, 제어 신호를 출력하도록 구성된다.",llama2_13b
