task_name,index,result,model_name
ko_quiz_1,0,1,llama2_13b
ko_quiz_1,1,"'귀뜸'이라고 하면 1, '귀띔'이라고 하면 2입니다.",llama2_13b
ko_quiz_1,2,1,llama2_13b
ko_quiz_1,3,1,llama2_13b
ko_quiz_1,4,"'베갯잇을 눈물로 적시다.'에서 '베갯잇'이 올바른 말인 경우 2, '베갯잎'이 올바른 말인 경우 1로 응답합니다.",llama2_13b
ko_quiz_1,5,'뾰쪽뾰쪽'이 바른 말입니다.,llama2_13b
ko_quiz_1,6,1,llama2_13b
ko_quiz_1,7,1,llama2_13b
ko_quiz_1,8,"'껍질'이 옳은 말이라면 1, '껍데기'가 옳은 말이라면 2입니다.",llama2_13b
ko_quiz_1,9,1,llama2_13b
ko_quiz_1,10,"'구레나룻은 매력적이다.'라는 문장을 분석한 결과, '구레나룻'이 바른 말입니다. 따라서 정답은 1입니다.",llama2_13b
ko_quiz_1,11,1.,llama2_13b
ko_quiz_1,12,1,llama2_13b
ko_quiz_1,13,"'통째로'가 맞다면 1, '통채로'가 맞다면 2.",llama2_13b
ko_quiz_1,14,1,llama2_13b
ko_quiz_1,15,1,llama2_13b
ko_quiz_1,16,1,llama2_13b
ko_quiz_1,17,'가까이'가 맞습니다.,llama2_13b
ko_quiz_1,18,1,llama2_13b
ko_quiz_1,19,"'아는 대로 모두 말해.'에서 '아는 대로'가 바른 표현이라면 1, '아는 데로'가 바른 표현이라면 2라고 대답합니다.",llama2_13b
ko_quiz_1,20,날름이 맞는 표현입니다.,llama2_13b
ko_quiz_1,21,1.,llama2_13b
ko_quiz_1,22,1.,llama2_13b
ko_quiz_1,23,"'낚지 요리를 시켰다. '에서 '낚지'가 옳은 말이면 1, '낙지'가 옳은 말이면 2라고 대답합니다.",llama2_13b
ko_quiz_1,24,"'감기가 나아서 살 것 같다.'라는 문장에서 '감기가 나아서'가 올바른 말이라면 1, '감기가 낳아서'가 올바른 말이라면 2라고 대답하겠습니다.",llama2_13b
ko_quiz_1,25,"안치자가 올바른 표현이므로, 2라고 대답합니다.",llama2_13b
ko_quiz_1,26,"'메치기'가 맞는 말이라면 2, '매치기'가 맞는 말이라면 1",llama2_13b
ko_quiz_1,27,'붙박이장'이 바른 말이기 때문에 1을 답으로 드릴 수 있습니다.,llama2_13b
ko_quiz_1,28,정나미가 뚝 떨어진다.,llama2_13b
ko_quiz_1,29,1,llama2_13b
ko_quiz_1,30,1,llama2_13b
ko_quiz_1,31,"'눈 덮인 백두대간'에서 '덮인'이 맞다면 1, '덮힌'이 맞다면 2라고 대답합니다.",llama2_13b
ko_quiz_1,32,'발간 연도'가 맞습니다.,llama2_13b
ko_quiz_1,33,"'달디달다'가 맞습니다. 따라서, 답은 2입니다.",llama2_13b
ko_quiz_1,34,'애당초'가 올바른 맞춤법입니다.,llama2_13b
ko_quiz_1,35,"'걔 심술깨나 부리겠더라'라는 문장에서 '깨나'가 더 적절한 표현인 경우 1, '꽤나'가 더 적절한 표현인 경우 2를 반환합니다.",llama2_13b
ko_quiz_1,36,1.,llama2_13b
ko_quiz_1,37,"'첫새벽'과 '신새벽'은 모두 새벽의 시작을 나타내는 말이기 때문에 둘 다 맞는 표현입니다. 첫새벽은 새벽의 첫 시간을 나타내고, 신새벽은 새로운 새벽을 의미합니다. 따라서 답은 1과 2가 모두 맞는 것입니다.",llama2_13b
ko_quiz_1,38,"'사회에서 그 정도는 예삿일이다.'라는 문장에서 '예삿일'이 옳은 단어인지, '예사일'인지 알려주세요.",llama2_13b
ko_quiz_1,39,"'바통터치'가 맞다면 1을 답하고, '배턴터치'가 맞다면 2를 답합니다.",llama2_13b
ko_quiz_1,40,1,llama2_13b
ko_quiz_1,41,'스멀스멀'이 맞습니다.,llama2_13b
ko_quiz_1,42,1,llama2_13b
ko_quiz_1,43,1,llama2_13b
ko_quiz_1,44,'펀뜻'이라는 단어는 존재하지 않기 때문에 정확한 대답을 제공할 수 없습니다. 그러나 '언뜻'은 '지나가다가 접한 것 같은 기억이 있다'는 뜻입니다. 따라서 정답은 2입니다.,llama2_13b
ko_quiz_1,45,"'귀저기'가 올바른 말이면 1, '기저귀'가 올바른 말이면 2, '기저기'가 올바른 말이면 3입니다.",llama2_13b
ko_quiz_1,46,1,llama2_13b
ko_quiz_1,47,"'머리에 비녀를 꽂다'에서 '꽂다'가 바른 표현이고 '꼿다'는 바르지 않은 표현입니다. 따라서, 정답은 1입니다.",llama2_13b
ko_quiz_1,48,1,llama2_13b
