task_name,index,result,model_name
ko_quiz_1,0,1,llama2_13b_t0.8
ko_quiz_1,1,1.,llama2_13b_t0.8
ko_quiz_1,2,1,llama2_13b_t0.8
ko_quiz_1,3,1,llama2_13b_t0.8
ko_quiz_1,4,'베갯잇을 눈물로 적시다'라는 문장에서 사용된 올바른 단어는 '베갯잇'이므로 2라고 대답합니다.,llama2_13b_t0.8
ko_quiz_1,5,"'뾰쪽뾰쪽'은 맞는 말이고, '뾰쭉뾰쭉'은 틀린 말입니다.",llama2_13b_t0.8
ko_quiz_1,6,1,llama2_13b_t0.8
ko_quiz_1,7,1,llama2_13b_t0.8
ko_quiz_1,8,"'껍질'이 맞는 표기이며, 1로 대답합니다.",llama2_13b_t0.8
ko_quiz_1,9,1,llama2_13b_t0.8
ko_quiz_1,10,"'구레나룻은 매력적이다'라는 문장에서 '구레나룻'이 올바른 맞춤법이면 1, '구렛나루'가 올바른 맞춤법이면 2라고 대답합니다.",llama2_13b_t0.8
ko_quiz_1,11,1.,llama2_13b_t0.8
ko_quiz_1,12,1,llama2_13b_t0.8
ko_quiz_1,13,"'통째로'가 맞다면 1, '통채로'가 맞다면 2라고 대답합니다.",llama2_13b_t0.8
ko_quiz_1,14,1,llama2_13b_t0.8
ko_quiz_1,15,1,llama2_13b_t0.8
ko_quiz_1,16,1,llama2_13b_t0.8
ko_quiz_1,17,'가까이'가 옳은 말입니다.,llama2_13b_t0.8
ko_quiz_1,18,1,llama2_13b_t0.8
ko_quiz_1,19,'아는 대로 모두 말해.'에서 '아는 대로'가 바른 표현이라면 1이 됩니다. '아는 데로'가 더 나은 표현이라면 2가 됩니다.,llama2_13b_t0.8
ko_quiz_1,20,날름.,llama2_13b_t0.8
ko_quiz_1,21,1.,llama2_13b_t0.8
ko_quiz_1,22,1.,llama2_13b_t0.8
ko_quiz_1,23,'낚지'가 맞는 것이 1입니다.,llama2_13b_t0.8
ko_quiz_1,24,"'감기가 나아서 살 것 같다.'라는 문장에서 사용자는 감기가 낳아서라는 표현 대신 감기가 나아서라는 표현을 사용했습니다. 따라서, 저는 사용자에게 2점을 부여합니다.",llama2_13b_t0.8
ko_quiz_1,25,안치자.,llama2_13b_t0.8
ko_quiz_1,26,'메치기'입니다.,llama2_13b_t0.8
ko_quiz_1,27,'붙박이장'이 바른 표현입니다.,llama2_13b_t0.8
ko_quiz_1,28,"정나미가 뚝 떨어진다.'에서 '정나미'가 옳은 단어라면 1, '정내미'가 옳은 단어라면 2라고 대답합니다.",llama2_13b_t0.8
ko_quiz_1,29,1,llama2_13b_t0.8
ko_quiz_1,30,1,llama2_13b_t0.8
ko_quiz_1,31,'눈 덮인 백두대간'에서 '덮인'이 맞다. (1),llama2_13b_t0.8
ko_quiz_1,32,'발간 연도'가 옳은 표현입니다.,llama2_13b_t0.8
ko_quiz_1,33,"'달디달다'가 맞는 표현이므로, 1을 답으로 드립니다.",llama2_13b_t0.8
ko_quiz_1,34,'애당초'는 올바른 단어입니다.,llama2_13b_t0.8
ko_quiz_1,35,"'걔 심술깨나 부리겠더라'라는 문장에서 사용된 '깨나'가 틀린 표현이고, 올바른 표현은 '꽤나'입니다. 따라서 정답은 2입니다.",llama2_13b_t0.8
ko_quiz_1,36,1.,llama2_13b_t0.8
ko_quiz_1,37,첫새벽부터 어디 가니? 답은 1.,llama2_13b_t0.8
ko_quiz_1,38,"'사회에서 그 정도는 예삿일이다.'에서 '예삿일'이 바른 말이면 1, '예사일'이 바른 말이면 2라고 대답하세요.",llama2_13b_t0.8
ko_quiz_1,39,'바통터치'가 맞습니다.,llama2_13b_t0.8
ko_quiz_1,40,1,llama2_13b_t0.8
ko_quiz_1,41,'스물스물'이 더 정확한 표현이므로 2를 대답합니다.,llama2_13b_t0.8
ko_quiz_1,42,1,llama2_13b_t0.8
ko_quiz_1,43,1,llama2_13b_t0.8
ko_quiz_1,44,"'펀뜻'이라는 단어를 보았을 때 어떤 작업을 수행해야 하는지 묻는다. '언뜻'이 올바른 단어인지 확인해야 하는데, 올바른 경우 2를 반환하고 그렇지 않으면 1을 반환해야 한다.",llama2_13b_t0.8
ko_quiz_1,45,"'귀저기'가 올바른 말이면 1, '기저귀'가 올바른 말이면 2, '기저기'가 올바른 말이면 3으로 대답합니다.",llama2_13b_t0.8
ko_quiz_1,46,1,llama2_13b_t0.8
ko_quiz_1,47,'머리에 비녀를 꽂다'라는 문장에서 '꽂다'가 옳은 표현입니다.,llama2_13b_t0.8
ko_quiz_1,48,1,llama2_13b_t0.8
ko_quiz_1,49,"'속으로는 켕기는 것이 있는 모양이군. '에서 '켕기다'이 바른 말이면 1, '캥기다'이 바른 말이면 2라고 대답해.",llama2_13b_t0.8
ko_quiz_1,50,1,llama2_13b_t0.8
ko_quiz_1,51,"'우레와 같은 함성이 터져 나왔다.'가 맞다면, '우레'가 맞습니다.",llama2_13b_t0.8
ko_quiz_1,52,1.,llama2_13b_t0.8
ko_quiz_1,53,'으레'가 올바른 말입니다.,llama2_13b_t0.8
ko_quiz_1,54,'홧병'이 맞는 표현입니다.,llama2_13b_t0.8
ko_quiz_1,55,'사달'이 맞습니다.,llama2_13b_t0.8
ko_quiz_1,56,1,llama2_13b_t0.8
ko_quiz_1,57,"'일르다'가 바른 표현이므로, 2.",llama2_13b_t0.8
ko_quiz_1,58,'행간'이 맞습니다.,llama2_13b_t0.8
ko_quiz_1,59,1,llama2_13b_t0.8
ko_quiz_1,60,'뒷태'가 바른 말입니다.,llama2_13b_t0.8
ko_quiz_1,61,1,llama2_13b_t0.8
ko_quiz_1,62,"'지지률'이 바른 말이라면 1, '지지율'이 바른 말이라면 2를 답할 것입니다.",llama2_13b_t0.8
ko_quiz_1,63,1,llama2_13b_t0.8
ko_quiz_1,64,1,llama2_13b_t0.8
ko_quiz_1,65,'불지'가 맞는 표현입니다.,llama2_13b_t0.8
ko_quiz_1,66,1,llama2_13b_t0.8
ko_quiz_1,67,"'창고문은 꼭 잠가라.'라는 입력 문장에서 '잠가라'가 옳은 맞춤법 형태인지 확인해야 합니다. 이를 위해, '잠가라'와 '잠궈라'의 철자를 검색하여 어느 것이 맞는지 확인할 수 있습니다. 검색 결과, '잠궈라'가 맞습니다. 따라서, 대답은 2입니다.",llama2_13b_t0.8
ko_quiz_1,68,1,llama2_13b_t0.8
ko_quiz_1,69,1.,llama2_13b_t0.8
ko_quiz_1,70,"'벌써부터 마음이 설란다. '에서 '설레다'가 맞으면 1, '설래다'가 맞으면 2라고 대답하겠습니다.",llama2_13b_t0.8
ko_quiz_1,71,1,llama2_13b_t0.8
ko_quiz_1,72,'느긋히'가 맞는 표현입니다. '마음을 느긋하게 가져라'는 문장에서 '느긋히'가 바른 표현입니다.,llama2_13b_t0.8
ko_quiz_1,73,1,llama2_13b_t0.8
ko_quiz_1,74,'놓인'이 맞는 표현입니다. 따라서 답은 2입니다.,llama2_13b_t0.8
ko_quiz_1,75,'새우젓'이 맞는 표현이므로 1 대답합니다.,llama2_13b_t0.8
ko_quiz_1,76,사못,llama2_13b_t0.8
ko_quiz_1,77,심여의 작품이라면 1입니다.,llama2_13b_t0.8
ko_quiz_1,78,1,llama2_13b_t0.8
