task_name,index,result,model_name
summarization,1,"세상에 있는 사람들은 반드시 선친의 이름을 언급해야 할 때가 있었다. 아들의 행동은 반드시 선친의 평판에 영향을 미치며, 아들은 선친의 명예를 지킬 수 있는 방법 밖엔 없었다. 세운은 잡지사업을 시작한 것은 선친의 사업을 단순히 확장하고자 했기 때문이었다. 그러나 사업이 실패하면서 세운의 평판은 급격하게 변했다. 세운은 자신의 고난뿐만 아니라 선친의 사적까지 고려할 때, 자신의 괴로움은 더욱 심각했다. 세운은 주리와 월매 때문은 아니었지만, 그들에게는 신뢰할 곳을 잃은 것은 사실이었다. 저녁이 되고 세운은 마치 운명인 듯이 집을 떠났다. 오랜만에 월매를 만나기 위해 이층으로 올라간 세운은 그녀의 마음을 한 번 더 확인하고자 했다. 술을 마신 후에야 진실이 드러났다. ""어제 밤에는 용서해 줘야지 - 직업 때문에 그랬을 뿐이야, 버린 게 아니라고."" ""네가 이 회사에서 얼마나 많은 사람들을 포옹 시켰니?"" 세운은 월매의 볼을 다그쳐 문질렀다. 월매는 혼을 뽑히면서 몸이 휘청거리고 있었지만, 항복할 힘도 없었다.",gpt-3.5-turbo
summarization,2,"영국의 한 방송국은 1964년부터 매 7년마다 다양한 배경을 가진 7살 아이들을 추적하는 프로그램을 만들어왔다. 그들 중 하나는 청년 시절 정치에 관심을 보였으며, 다른 한 명은 어릴 적 보호 시설에서 자랐지만 가정을 이루며 행복을 찾았다. 또다른 한 사람은 노숙자 생활 후 지역 정치인으로 전환하였고, 그리고 마지막으로 그 중 한 명은 음악을 통해 스스로를 표현하고자 프로그램에 다시 나올 결심을 했다. 이제 56세인 이들이 달성하고 있을까, 다양한 성격과 꿈, 인생 계획을 가진 사람들의 삶을 살펴본다.",gpt-3.5-turbo
summarization,3,"밤에는 물이 넘치지 않아서 다행이었지만, 비는 계속 내리고 있었고 이런 상황에서는 얼마나 오랫동안 견딜 수 있을지 모르겠다. 그렇지만 물이 제대로 불기 시작하면 30분 정도면 충분히 대처할 수 있을 것이다. 하지만 짐작컨대 암구가 터지면 물이 다른 골로 흘러가기 때문에 그 시간까지는 급격한 증수가 없을 것이다.",gpt-3.5-turbo
summarization,4,새끼토막에 손을 들이밀며 택시를 찾던 덕쇠는 마침 순갑이를 만나기에 그와 함께 전주집으로 가 술을 마시게 되었다.,gpt-3.5-turbo
summarization,5,"정부는 102개 시설을 점검했고, 방역수칙을 준수하지 않은 10개소에 대해 5월 15일 시정명령을 내렸으며, 방역수칙을 다시 어기면 집합금지 명령을 내릴 예정이다. 이와 함께 현장점검과 함께 홍보를 실시하여 국민이 거리두기를 지속적으로 인지하고 이행할 수 있도록 지원하고 있다. 자가격리 대상자는 현재 36,311명으로, 이 중 35,502명은 자택에서 자가격리 중이며, 자가격리자 관리를 위한 앱은 93.1%가 설치되었다. 안심밴드를 착용한 사람은 47명으로, 현재 19명이 착용 중이다.",gpt-3.5-turbo
summarization,6,"조개더미로 만들어진 패총에서 중석기시대에서 신석기시대에 이르는 다양한 유물이 출토되었고, 유물들은 신석기시대 구분에 유용한 정보를 제공한다. 세석기도 중석기 시대가 있었음을 증명하는 중요한 유물이며, 동항리에서는 신석기시대 돌무지 시설과 사람뼈가 발견되었다. 이 조개더미와 가까운 곳에는 또 다른 많은 조개더미들이 발견되었다.",gpt-3.5-turbo
summarization,7,과거의 흑인 노예들이 먹던 페이 조아다는 브라질 대표 음식이 지금은 관광객들도 반드시 먹어보는 음식으로 자리 잡았다.,gpt-3.5-turbo
summarization,8,"류현진은 다저스와의 계약에서 매 시즌 170이닝을 던지면 보너스로 25만 달러를 받고, 추가 10이닝마다 25만 달러를 받기로 했다. 이번 시즌 200이닝을 투구하면 100만 달러의 보너스를 받을 수 있는데, 현재 추세로 보면 충분히 가능해 보인다. 이는 선발 투수의 투구 이닝이 승수나 평균자책점보다 가치가 크다는 것을 의미한다. 류현진은 한국프로야구가 배출한 최고의 좌완투수였으며, 메이저리그에서의 성공에 대한 의문도 사실이었다. 하지만 그는 매우 성공적인 경기를 펼치며 야구 외적으로도 큰 이익을 안겨 주었다.",gpt-3.5-turbo
summarization,9,"세월호인양추진단장직무대행 이철조는 플로팅 도크를 이용한 인양 방법에 대해 이야기하고, 김성찬 위원은 풍선을 이용하는 방법을 제안했다. 이철조는 플로팅 폰툰을 말하면서 작업의 쉬움을 강조하고, 김성찬은 작업 시 안전성을 우려해 다른 방법을 제안했다. 해양수산부장관 김영석은 경험과 실무에 대한 중요성을 강조하며, 인양 방법 변경을 함께 논의하고 현장의 의견을 최대한 고려했다는 의견을 전했다.",gpt-3.5-turbo
summarization,10,"벨기에 전 총리인 르테름의 특별 강연을 통해 민주적인 지속가능한 에너지 전환 정책에 대해 논의되었고, 화석연료 대신 비화석연료를 중심으로 에너지 문제를 바라보아야 한다는 주장이 나왔다.",gpt-3.5-turbo
summarization,11,"미국 대선 결과로 조 바이든 후보가 승리했지만, 도널드 트럼프 대통령은 패배를 인정하지 않고 미국 법원에 소송을 제기하며 혼란이 계속되고 있다. 조지아와 펜실베이니아는 재검표를 하며 결과의 확정이 늦춰질 가능성도 있다고 한다. 또한, 미국 헌법에 따라 선거인을 선출하는 권한은 각 주의회에 있기 때문에, 선거 결과가 불확실한 상황에서는 주의회가 독자적으로 선거인단을 정할 수 있을 수도 있다고 한다. 트럼프 대통령의 캠프는 여러 주에서 소송을 제기하고 있으며, 펜실베이니아 주 의회가 선거 결과를 무시하고 자체적으로 선거인단을 선출할 수 있다는 주장도 나온다.",gpt-3.5-turbo
summarization,12,폴란드 전쟁과 침략의 역사와 아픔을 지닌 폴란드는 쇼팽의 나라로서 삶의 이야기와 전쟁과 평화의 땅으로 여행을 시작한다.,gpt-3.5-turbo
summarization,13,"한국은 세계 세 번째로 구축한 4세대 방사광가속기를 이번 달 6월 8일부터 서비스하기 시작했습니다. 이 가속기는 빛의 세기와 도달시간을 정밀 제어하기 위해 올해 상반기에 8개 과제를 지원하며, 첫 번째로 한국-스웨덴 공동연구인 물 분자 구조 변화연구가 선정되었습니다. 포항가속기연구소의 이기봉 소장님께서는 기술적인 내용을 설명해주실 예정입니다.",gpt-3.5-turbo
summarization,14,"유럽연합은 이탈리아가 요청한 이탈리아 전파망원경 3기의 성능 개선과 초소형 3채널 수신기 도입을 위한 입찰을 발표했고, 천문연이 낙찰되어 계약을 완료했다. 해당 수신시스템은 이탈리아 국립천체물리연구소에 최대 22개월 이내 공급될 예정이며, KVN에 설치되어 블랙홀 관측에 사용될 것이다.",gpt-3.5-turbo
summarization,15,2017년 검사를 받은 탈북자 A씨의 증언은 더욱 실감이 난다. A씨는 북한에서 방사능에 노출되어 기형아가 태어난 사례를 언급하며 힘을 써서 탈북민을 도와달라고 호소했다. A씨는 통일부에서 관련 안내나 후속 조치가 없었으나 한국원자력의학원에서는 암 확률이 높아진다고 해서 자주 검사받도록 권유 받았다고 밝혔다.,gpt-3.5-turbo
summarization,16,"시라소니는 당대의 1인자였지만, 세월에 장사가 없고 조직에 버티지 못하는 한계를 인간은 가지고 있다. 반면 이정재는 천하제일의 장사였지만, 시라소니와의 갈등으로 인해 가혹한 린치를 당하게 되고, 이를 계기로 시라소니의 재기는 어려워진다.",gpt-3.5-turbo
summarization,17,"조남대는 선희와 함께 숙소 식당에서 아침을 먹고, 식당 종업원은 모두 가족으로 구성되어 있고 옆 테이블에는 한국인이 자전거 여행을 하고 있다는 이야기를 나누었다. 젊은이들은 해외여행 시 숙소 등에서 동행인을 구해 함께 여행하는 것을 선호하며, 선희와 함께 만달레이로 가기로 결정하여 호텔을 예약했다. 그러나 예약하는 동안 몇 가지 어려움을 겪으며 239.7달러의 비용을 지불하고 예약을 마쳤다. 마지막으로 e바이크를 대여해 처음 타보는데 연습을 하였다. 25일에 방콕으로 가기 위한 모든 준비를 마치고 숙소를 나와 연습을 하였다.",gpt-3.5-turbo
summarization,18,한국의 과학기술정보통신부는 2019 G7 정상회의에서 인공지능에 대한 글로벌 파트너십(GPAI) 협의체의 창립회원국으로 참여하기로 했다고 밝혔다. 이를 통해 과기정통부는 국제적 인공지능(AI) 논의를 선도하고 글로벌 인공지능(AI) 위상을 강화할 예정이다.,gpt-3.5-turbo
summarization,19,"저는 토론과 논의가 보장되며 다수결 원칙이 지켜진다면 의장의 직권상정 권한을 폐기할 의지가 있습니다. 국회폭력은 후진적이고 부끄러운 모습으로 선진국에서는 없습니다. 국회의 마지막 자존심을 지키기 위해 국회폭력에 엄정하게 대처하겠습니다. 민생과 서민을 위한 국회여야 여야가 되어야 합니다. 경제는 글로벌 경제 위기에서 회복하고 있지만, 서민이 체감하는 경제는 여전히 보잘 것 없습니다. 비정규직, 부동산, 세제개편, 일자리 창출 등 다양한 민생 문제가 존재하며, 특히 신종플루 대비에 만전을 다해야 합니다. 민생 문제를 해결하여 국민을 통합해야 합니다. 경제는 세계와 협력하지 않으면 버틸 수 없습니다. 한미FTA, 한EU FTA, 인도와의 CEPA 등 비준동의안은 신중히 대책을 마련하여 처리해야 합니다. 국회 모습에 대해 유감스럽게 생각하며, 국회의 문제를 국회에서 해결하지 못하고 헌재로 넘어갔다는 사실은 정말 부끄러운 일입니다. 국회의원들은 이에 대해 부끄러워해야 합니다.",gpt-3.5-turbo
summarization,20,"지난 1월 4일 오후 6시에 고려대 교우회 주최로 신년교례회가 열렸고, 예상보다 많은 교우들이 참석하였다. 공식행사는 6시부터 30분 동안 진행되었으며, 여러 명의 중요 인물들이 축하떡을 자르고 자선 행사도 있었다. 이번 신년교례회는 화끈한 자리로 변했고, 총장도 결심한대로 정년퇴임을 하게 되었다.",gpt-3.5-turbo
summarization,21,공정거래위원회는 케이씨씨 정몽진 회장이 대기업집단 지정을 위해 필요한 자료를 제출할 때 회장 본인이 소유한 회사와 친족이 보유한 납품업체를 고의로 누락한 행위를 적발하여 고발 조치하였다고 발표하였습니다. 이 미편입계열사와 관련된 친족들은 현재 주주나 임원으로 재직 중에 있습니다. 공정거래위원회는 이와 같은 법 위반행위에 대해 상당히 심각하게 여겨서 케이씨씨에게 대규모 기업집단 규제가 적용되지 않도록 외부 감시시스템을 피해 미편입계열사를 은폐하는 조치를 함으로써 위반행위의 중대성을 인정하였습니다.,gpt-3.5-turbo
summarization,22,"카와리즈(Khawarij)는 알리를 떠난 그룹으로, 현대적 평등사상을 주창하였지만 극단주의에 가까워 다른 신앙을 가진 사람들을 포용하지 않았고, 자신들의 기준에 맞지 않는 사람들은 철저히 거부하였다.",gpt-3.5-turbo
