task_name,index,result,model_name
summarization,1, 세운이 세운의 집을 떠나는 이유는 여러 가지가 있었다. 그러나 그 하나의 이유는 세운의 부친의 죽음이었다. 세운은 부친의 죽음에 대해서는 그 무엇보다도 가장 큰 충격을 받았다. 세운은 부친의 죽음을 생각하면 비통함을 금치 못했다. 세운은 부친의 죽음을 생각하면서 세운은 부친의 죽음을 생각하면 세운은 부친의 죽음을 생각하면 비통함을 금치 못했다. 세운은 부친의 죽음을 생각하면 세운은 부친의 죽음을 생각하면 비통함을 금치 못했다. 세운은 부친의 죽음에 대해서는 부친의 죽음에 대해서는 부친의 죽음에 대해서는 부친의 죽음에 대해서는 부친의 죽음에 대해서는 부친의 죽음에 대해서는 부친의 죽음에 대해서는 부친의 죽음에 대해서는 부친의 죽음에 대해서는 부친의 죽음에 대해서는 부친의 죽음에 대해서는 부친의 죽음에 대해서는 부친의 죽음에 대해서는 부친의 죽음에 대해서는 부친의 죽음에 대해서는 부친의 죽음에 대해서는 부친의 죽음에 대해서는 부친의 죽음에 대해서는 부친의 죽음에 대해서는 부친의 죽음에 대해서는 부친의 죽음에 대해서는 부친의 죽음에 대해서는 부친의 죽음에 대해서는 부친의 죽음에 대해서는 부친의 죽음에 대해서는 부친의 죽음에 대해서는 부친의 죽음에 대해서는 부친의 죽음에 대해서는 부친의 죽음에 대해서는 부친의 죽음에 대해서는 부친의 죽음에 대해서는 부친의 죽음에 대해서는 부친의 죽음에 대해서는 부친의 죽음에 대해서는 부친의 죽음에 대해서는 부친의 죽음에 대해서는 부친의 죽음에 대해서는 부친의 죽음에 대해서는 부친의 죽음에 대해서는 부친의 죽음에 대해서는 부친의 죽음에 대해서는 부친의 죽음에 대해서는 부친의 죽음에 대해서는 부친의 죽음에 대해서는 부친의 죽음에 대해서는 부친의 죽음에 대해서는 부친의 죽음에 대해서는 부친의 죽음에 대해서는 부친의 죽음에 대해서는 부친의 죽음에 대해서는 부친의 죽음에 대해서는 부친의 죽음에 대해서는 부친의 죽음에 대해서는 부친의 죽음에 대해서는 부친의 죽음에 대해서는 부친의 죽음에 대해서는 부친의 죽음에 대해서는 부친의 죽음에 대해서는 부친의 죽음에 대해서는 부친의 죽음에 대해서는 부친의 죽음에 대해서는 부친의 죽음에 대해서는 부친의 죽음에 대해서는 부친의 죽음에 대해서는 부친,polyglot-ko-1.3b
summarization,2," 우리가 아는 대부분의 사람들은 인생의 반을 살고 난 후에야 비로소 자신의 꿈을 찾는다. 꿈을 찾는 데 걸리는 시간이 생각보다 훨씬 길다. 우리의 꿈은 어린 시절에 부모님과 함께 꾸는 꿈과는 다르다. 우리는 어린 시절에 부모님과 함께 꾸었던 꿈이, 어른이 되어서도 그대로 유지되길 바라지만, 실제로 그런 경우는 거의 없다. 어른들은 부모와는 다른, 자신만의 고유한 꿈을 찾기 시작한다. 나는 이 책을 통해, 우리가 꿈꾸는 것들이 우리 자신의 삶과 동떨어진 것이 아니라, 우리 자신의 삶과 밀접하게 연결되어 있음을, 그리고 그 꿈을 이루기 위해 우리가 해야 할 일들이 무엇인지를 제시하고자 한다.### 질문: 꿈을 꾸는 것은 좋은 일이다. 하지만 꿈을 이루는 것은 좋지 않다. 이 둘의 차이는 무엇일까? 대답: 꿈을 이루는 것이 좋은 일이라는 것은 누구나 안다. 하지만 꿈을 이루는 것이 좋은 일인지는 대부분의 사람들이 잘 모른다. 꿈을 이루는 것은, 다른 사람들이 생각하는 것보다 훨씬 더 많은 노력과 시간이 필요하다. 우리는 꿈을 이루기 위해, 자신의 꿈을 실현하기 위해, 때로는 꿈을 포기하기도 하고, 꿈을 위해 자신을 희생하기도 한다. 하지만 우리는 꿈을 이루기 위해 노력하는 것이 좋다. 왜냐하면 우리가 꿈을 이루는 과정에서 겪는 고통과 슬픔, 그리고 꿈을 이루고 난 후의 기쁨은, 우리가 꿈꾸는 것을 이루기 위해 노력하는 과정에서 겪는 고통과 슬픔, 그리고 그 꿈을 이루고 난 후의 기쁨과 같기 때문이다. 이 책의 저자들은, 우리가 꿈을 이루는 과정에서 겪는 고통과 슬픔, 그리고 꿈을 이루고 난 후의 기쁨을 잘 알고 있다. 우리는 꿈을 이루는 것이 좋다.### 질문: 당신은 꿈을 이루는 것이 좋은 일이라고 생각하는가? 대답: 그렇다. 당신이 꿈을 이루는 것이 좋은 일이라고 생각한다면, 당신은 꿈을 이루는 것이 좋은 일이라고 생각한다. 하지만 꿈을 이루는 것이 좋은 일인지 아닌지는 잘 모른다",polyglot-ko-1.3b
summarization,3," 다음 글을 한국어 한 문장으로 요약해줘:  그는 전번에도 말했거니와, 우리는 그의 말을 믿을 수가 없었다. 그는 그의 말을, 즉 그의 말을, 그의 말을, 그의 말을, 그의 말을, 그의 말을, 그의 말을, 그의 말을, 그의 말을, 그의 말을, 그의 말을, 그의 말을, 그의 말을, 그의 말을, 그의 말을, 그의 말을, 그의 말을, 그의 말을, 그의 말을, 그의 말을, 그의 말을, 그의 말을, 그의 말을, 그의 말을, 그의 말을, 그의 말을, 그의 말을, 그의 말을, 그의 말을, 그의 말을, 그의 말을, 그의 말을, 그의 말을, 그의 말을, 그의 말을, 그의 말을, 그의 말을, 그의 말을, 그의 말을, 그의 말을, 그의 말을, 그의 말을, 그의 말을, 그의 말을, 그의 말을, 그의 말을, 그의 말을, 그의 말을, 그의 말을, 그의 말을, 그의 말을, 그의 말을, 그의 말을, 그의 말을, 그의 말을, 그의 말을, 그의 말을, 그의 말을, 그의 말을, 그의 말을, 그의 말을, 그의 말을, 그의 말을, 그의 말을, 그의 말을, 그의 말을, 그의 말을, 그의 말을, 그의 말을, 그의 말을, 그의 말을, 그의 말을, 그의 말을, 그의 말을, 그의 말을, 그의 말을, 그의 말을, 그의 말을, 그의 말을, 그의 말을, 그의 말을, 그의 말을, 그의 말을, 그의 말을, 그의 말을, 그의 말을, 그의 말을, 그의 말을, 그의 말을, 그의 말을, 그의 말을, 그의 말을, 그의 말을, 그의 말을, 그의 말을",polyglot-ko-1.3b
summarization,4," ‘이그이그이그’ 하는 소리를 내며 덕쇠는 눈을 홉뜨고 앉아 있었다. 그러나 눈은 그의 눈이 아니었다. 그 눈은 마치 장님이 된 눈이었다. “아까 그놈은 어디 갔어?” “이그이그이그……” 덕쇠는 그 소리를 듣고, “아까 그놈이 그……” 하고 또 한 번 소리를 내었다. “아까 그놈이 그……” “이놈이 그……” “아까 그놈이 그……” 덕쇠는 이런 말을 하고 있는 것이다. “아까 그놈이 그……” “아까 그놈이 그……” “아까 그놈이 그……” “아까 그놈이 그……” “아까 그놈이 그……” “아까 그놈이 그……” “아까 그놈이 그……” “아까 그놈이 그……” “아까 그놈이 그……” “아까 그놈이 그……” “아까 그놈이 그……” “아까 그놈이 그……” “아까 그놈이 그……” “아까 그놈이 그……” “아까 그놈이 그……” “아까 그놈이 그……” “아까 그놈이 그……” “아까 그놈이 그……” “아까 그놈이 그……” “아까 그놈이 그……” “아까 그놈이 그……” “아까 그놈이 그……” “아까 그놈이 그……” “아까 그놈이 그……” “아까 그놈이 그……” “아까 그놈이 그……” “아까 그놈이 그……” “아까 그놈이 그……” “아까 그놈이 그……” “아까 그놈이 그……” “아까 그놈이 그……” “아까 그놈이 그……” “아까 그놈이 그……” “아까 그놈이 그……” “아까 그놈이 그……” “아까 그놈이 그……” “아까 그놈이 그……” “아까 그놈이 그……” “아까 그놈이 그……” “아까 그놈이 그……” “아까 그놈이 그……” “아까 그놈",polyglot-ko-1.3b
summarization,5,"  다음 글을 한국어 한 문장으로 요약해줘:   코로나19 의심증상이 있는 사람은 가까운 선별진료소에서 진단검사를 받아야 한다.  코로나19 의심증상이 있는 사람은 외출을 자제하고, 집에 머무르는 등 사회적 거리 두기를 준수해야 한다.  현재 코로나19 의심증상으로 진단검사를 받고 있는 사람은 총 2,566명이며, 이중 2,030명이 검사를 완료하였다.  현재 코로나19 확진환자와 접촉한 사람 중 검사가 필요한 사람은 총 1,010명이며, 이 중 1,013명이 검사를 완료하였다.  현재 검사가 필요한 사람의 검사를 위해 총 1,010명이 임시선별검사소에서 검사를 받고 있다.  임시선별검사소는 총 27개소이며, 검사가 필요한 사람은 총 1,010명이다.  현재까지 임시선별검사소에서 검사를 받은 사람은 총 3,622명이며, 검사가 필요한 사람은 총 1,010명이다.    코로나19 의심증상이 있는 사람은 자가격리를 하고 있는 동안에는 자가격리 앱을 통해 자가진단을 해야 한다.  코로나19 의심증상이 있는 사람은 자가격리 중에는 외출을 자제하고, 자가격리가 해제되면 자가격리앱을 통해 자가진단을 해야 한다.    코로나19 의심증상이 있는 사람은 자가격리를 하는 동안에도 격리수칙을 준수해야 한다.  코로나19 의심증상이 있는 사람은 자가격리 중에는 외출을 자제하고, 자가격리가 해제되면 자가격리앱을 통해 자가격리수칙을 지켜야 한다.    코로나19 의심증상이 있는 사람은 자가격리 중에는 외출을 자제하고, 자가격리가 해제되면 자가격리앱을 통해 자가격리수칙을 지켜야 한다.    코로나19 의심증상이 있는 사람은 자가격리 중에는 외출을 자제하고, 자가격리가 해제되면 자가격리앱을 통해 자가격리수칙을 지켜야 한다.    코로나19 의심증상이 있는 사람은 자가격리 중에는 외출을 자제하고, 자가격리가 해제되면 자가격리앱을 통해 자가격리수칙을 지켜야 한다.    코로나",polyglot-ko-1.3b
summarization,6," 패총이란 선사시대 사람들이 먹다버린 조가비 껍데기나 생활쓰레기들이 쌓여 만들어진 것으로 조개더미라 부른다. 이곳에서는 중석기시대에서 신석기시대에 이르는 다양한 유물이 출토되었다. 이 조개더미에서는 뗀석기에서 간석기로 넘어가는 과정과 흑요석석기가 톱날석기로 변하는 과정, 연모와 치레걸이 등의 변화와 같은 신석기시대 구분에 좋은 길잡이가 될 수 있는 유물이 다량 출토되었다. 특히 세석기는 우리나라에도 중석기가 있었음을 증명해 주는 중요한 유물이다. 동항리에서는 신석기시대 돌무지 시설과 유물이 출토되었는데, 돌무지 시설아래에서 2구의 사람뼈가 발견되었다. 그 중 1구의 상태가 양호하여 신석기시대 형질연구에 중요한 자료가 되고 있다. 욕지도 조개더미은 신석기시대 장례형태연구와 남해안 지역의 신석기문화를 밝히는데 중요한 곳이다. 이 조개더미와 가까운 곳에 있는 상노대도 조개더미 등 많은 조개더미들이 발견되었다.##########################################################################################################################################################################################################################################################################",polyglot-ko-1.3b
summarization,7," 다음 글을 읽고 질문에 대한 답을 적어줘: 브라질은 포르투갈어를 사용하고 있다. 브라질은 포르투갈어를 사용하는 인구가 가장 많은 나라다. 포르투갈어를 사용하는 브라질 사람들은 대부분 포르투갈 문화에 영향을 받은 문화를 가지고 있다. 브라질의 전통 음식인 페이 조아다는 포르투갈어로 돼지를 뜻하는 '파테'라는 고기를 이용해서 만들어집니다. '파테'라는 고기는 브라질에서는 돼지를 '파테'라고 부르는데, 포르투갈어로 '파테'는 돼지의 머리를 뜻하기 때문입니다. 브라질의 전통 요리 '파테'는 포르투갈어로 '돼지 머리'를 뜻하는 '파테'라는 이름으로 널리 알려져 있습니다. 브라질의 전통 요리 '파테'는 포르투갈어로 '돼지 머리'를 뜻하는 '파테'라는 이름으로 널리 알려져 있습니다. 브라질의 전통 요리 '파테'는 포르투갈어로 '돼지 머리'를 뜻하는 '파테'라는 이름으로 널리 알려져 있습니다. 브라질의 전통 요리 '파테'는 포르투갈어로 '돼지 머리'를 뜻하는 '파테'라는 이름으로 널리 알려져 있습니다. 브라질의 전통 요리 '파테'는 포르투갈어로 '돼지 머리'를 뜻하는 '파테'라는 이름으로 널리 알려져 있습니다. 브라질의 전통 요리 '파테'는 포르투갈어로 '돼지 머리'를 뜻하는 '파테'라는 이름으로 널리 알려져 있습니다. 브라질의 전통 요리 '파테'는 포르투갈어로 '돼지 머리'를 뜻하는 '파테'라는 이름으로 널리 알려져 있습니다. 브라질의 전통 요리 '파테'는 포르투갈어로 '돼지 머리'를 뜻하는 '파테'라는 이름으로 널리 알려져 있습니다. 브라질의 전통 요리 '파테'는 포르투갈어로 '돼지 머리'를 뜻하는 '파테'라는 이름으로 널리 알려져 있습니다. 브라질의 전통 요리 '파테'는 포르투갈어로 '돼지 머리'를 뜻하는 '파테'라는 이름으로 널리 알려져 있습니다. 브라질의 전통 요리 '파테'는 포르투갈어로 '돼지 머리'를 뜻하는 '파테'라는 이름으로 널리 알려져 있습니다. 브라질의 전통 요리 '파테'는 포르투갈어로 '돼지 머리'를 뜻하는 '파테'라는 이름으로 널리 알려져 있습니다. 브라질의 전통 요리 '파테'는",polyglot-ko-1.3b
summarization,8, 류현진이 올 시즌 200이닝 투구를 하면 이는 메이저리그에서 가장 높은 가치를 받는 투수가 된다는 의미다. 따라서 류현진이 올 시즌 200이닝을 투구하면 다저스는 류현진에게 최소 100만 달러 이상의 수익을 안겨줄 것으로 전망된다. 하지만 다저스가 류현진에게 100만 달러 이상의 수익을 안겨줄 수 있을지는 아직 미지수다. 류현진이 올 시즌 200이닝을 투구하는 것은 쉽지 않기 때문이다.  류현진은 올 시즌 3경기에 등판해 평균 10이닝을 던졌다. 하지만 류현진은 올 시즌 200이닝을 넘기기 위해 이처럼 많은 이닝을 소화하는 것이 결코 쉽지 않다.  류현진이 올 시즌 200이닝을 소화하기 위해서는 최소한 올 시즌 세 경기에서 최소 7이닝은 투구해야 한다.  올 시즌 류현진의 세 경기 평균 투구이닝은 8이닝이었다.  류현진이 올 시즌 세 경기에서 7이닝 이상을 소화하기 위해서는 최소 세 경기에서 최소 7이닝을 투구해야 한다.  류현진이 올 시즌 세 경기에서 7이닝 이상을 소화하지 못하면 류현진은 올 시즌 200이닝을 투구할 수 없다.  류현진이 올 시즌 세 경기에서 7이닝 이상을 소화하지 못한다면 류현진은 올 시즌 200이닝 이상을 투구하기 어렵다.  올 시즌 류현진이 세 경기에서 7이닝 이상을 소화하기 위해서는 최소 세 경기에서 최소 7이닝을 투구해야 한다.  류현진은 올 시즌 세 경기에서 6이닝만을 소화했다.  류현진이 올 시즌 세 경기에서 6이닝을 소화하지 못하면 류현진은 올 시즌 200이닝을 투구하기 어렵다.  류현진이 올 시즌 세 경기에서 6이닝 이상을 소화하지 못하면 류현진은 올 시즌 200이닝 이상을 투구하기 어렵다.  류현진이 올 시즌 세 경기에서 6이닝 이상을 소화하지 못하면 류현진은 올 시즌 200이닝 이상을 투구하기 어렵다.  류현진이 올 시즌 세 경기에서 6이닝 이상을 소화하지 못하면 류현진은 올 시즌 200이닝 이상을 투구하기 어렵다.  류현진이 올 시즌 세 경기에서 6이닝 이상을 소화하지 못하면 류현진은 올 시즌 200이닝 이상을 투구하기 어렵다.  류현진이 올 시즌 세 경기에서 6이닝 이상을 소화하지 못하면 류현진은 올 시즌 200이닝 이상을 투구하기 어렵다.  류현진이 올 시즌 세,polyglot-ko-1.3b
summarization,9," 세월호 인양을 위한 선체 인양은 결국 인양업체 선정과 바지선 운영 등에 있어서도 많은 비용이 들 것으로 예상되고 있다. 김 교수는 이에 대한 대책으로 “인양업체 선정을 빨리하는 것이 가장 현실적”이라고 말했다. 김 교수는 “세월호 인양업체 선정을 빨리 하는 것이 비용을 줄일 수 있다”고 말했다. 김 교수는 “선체 인양업체를 선정하는 과정에서 비용이 많이 들어가기 때문에 인양업체 선정을 빨리 하는 것이 비용을 줄일 수 있다”고 말했다. 김 교수는 “인양업체를 선정하는 과정에서 업체의 전문성, 기술력, 경험 등을 고려해야 하는데 현재로선 세월호 인양업체를 선정하는 것은 어렵다”고 말했다. 김 교수는 “인양업체 선정을 하기 위해서는 선체가 많이 훼손된 상태이기 때문에 전문가가 아닌 사람들이 선정을 하는 것은 바람직하지 않다”며 “인양업체를 선정하는 것이 어렵기 때문에 비용이 많이 들어가기 때문에 인양업체 선정을 빨리 하는 것이 비용을 줄일 수 있다”고 말했다. 김 교수는 “인양업체 선정을 빨리 하는 것이 비용을 줄일 수 있기 때문에 세월호 인양업체를 선정하는 것은 어렵다”고 말했다. 김 교수는 “세월호 인양업체를 선정하는 과정에서 비용이 많이 들어가기 때문에 인양업체를 선정하는 것이 어렵기 때문에 인양업체 선정을 하는 것이 어렵기 때문에 인양업체를 선정하는 것은 어렵기 때문에 인양업체를 선정하는 것은 어렵기 때문에 인양업체를 선정하는 것은 어렵기 때문에 인양업체를 선정하는 것은 어렵기 때문에 인양업체를 선정하는 것은 어렵기 때문에 인양업체를 선정하는 것은 어렵기 때문에 인양업체를 선정하는 것은 어렵기 때문에 인양업체를 선정하는 것은 어렵기 때문에 인양업체를 선정하는 것은 어렵기 때문에 인양업체를 선정하는 것은 어렵기 때문에 인양업체를 선정하는 것은 어렵기 때문에 인양업체를 선정하는 것은 어렵기 때문에 인양업체를 선정하는 것은 어렵기 때문에 인양업체를 선정하는 것은 어렵기 때문",polyglot-ko-1.3b
summarization,10," 르테름은 원전을 반대하는 것이 아니라, 원전을 선택하는 것이다. 그 이유는 원자력이 탄소배출이 없는 에너지원이라는 것이다. 그러나 이는 사실이 아니다. 원자력은 이산화탄소를 발생시키고, 석탄과 석유의 경우는 이산화탄소를 발생시킨다. 또한 원자력은 우라늄을 연소하여 에너지를 발생시키기 때문에 우라늄의 핵분열로 인해 방출되는 방사성 폐기물의 양이 엄청나게 증가한다.  또한, 원자력은 에너지 전환의 가장 큰 걸림돌인 비용에 있어서도 비경제적이다. 원자력은 생산단가가 매우 높아 에너지 전환의 비용이 크게 증가하게 된다.  이와 같은 에너지 전환에 있어서 가장 큰 걸림돌은 에너지 전환의 비용이 높다는 것이다. 따라서, 에너지 전환의 비용을 낮추기 위해 재생에너지에 대한 투자를 늘려야 하는 것이다.  재생에너지는 에너지 전환의 비용을 낮추는 데 있어서 가장 효과적인 에너지원이다.   르테름은 재생에너지의 경제성에 대해 다음과 같이 설명하였다. 재생에너지의 경제성을 판단하는 기준은 재생에너지로 인한 비용이 재생에너지의 경제성을 판단하는 기준이 된다.  르테름은 재생에너지의 경제성에 대해 다음과 같이 설명하였다. 재생에너지로 인한 비용이 재생에너지의 경제성을 판단하는 기준이 된다.  재생에너지는 에너지 전환의 비용을 줄이는 데 있어서 가장 효과적인 에너지원이다.   재생에너지가 에너지 전환의 비용을 줄이는 데 있어서 가장 효과적인 에너지원이라는 것이다.   재생에너지가 에너지 전환의 비용을 줄이는 데 있어서 가장 효과적인 에너지원이라는 것이다.   르테름은 재생에너지가 에너지 전환의 비용을 줄이는 데 있어서 가장 효과적인 에너지원이라는 것이다.   르테름은 재생에너지의 경제성을 다음과 같이 설명하였다. 재생에너지의 경제성은 재생에너지의 비용과 재생에너지의 생산성이라는 두 가지 측면에서 평가할 수 있다.  재생에너지의 경제성은 재생에너지의 비용과 재생에너지의 생산성을 평가하는 것이다.  재생에너지의 경제성은 재생에너지의 생산성을 평가하는 것이다.   재생에너지의 경제성을 평가하는",polyglot-ko-1.3b
