task_name,index,result,model_name
translation/techsci,1," 그렇습니다. 이 지역 협력체는 지역들 간의 상호 이해를 증진시키고, 지역 간의 교류를 통해 지역 내의 상호 이해를 증진시키고 있습니다.Q: 앞에서는 국가 간의 관계에 대해서만 이야기했는데, 그렇다면 지역 간의 관계도 있는 것인가?A: 그렇습니다. 국가 간의 관계와 지역 간의 관계는 서로 밀접한 관련을 맺고 있습니다. 따라서 지역 간의 협력은 국가 간의 협력에 기반을 두고 있습니다.Q: 국가 간의 협력이 지역 간의 협력과 같은 것인가?A: 그렇습니다. 국가 간의 협력은 두 가지로 분류될 수 있습니다. 하나는 국가들 간의 협력을 통해 국가들의 상호 이해를 증진시키는 것이고, 다른 하나는 국가들 간의 협력을 통해 국가들 간의 상호 이해를 증진시키는 것입니다.Q: 그렇다면 국가 간의 협력이 지역 간의 협력과 같은 것이라고 할 수 있는가?A: 그렇습니다. 국가 간의 협력은 두 가지로 분류될 수 있습니다. 하나는 국가들 간의 협력을 통해 국가들 간의 상호 이해를 증진시키는 것이고, 다른 하나는 국가들 간의 협력을 통해 국가들 간의 상호 이해를 증진시키는 것입니다.Q: 국가 간의 협력이 지역 간의 협력과 같은 것이라고 할 수 있는가?A: 그렇습니다. 국가 간의 협력은 두 가지로 분류될 수 있습니다. 하나는 국가 간의 협력을 통해 국가들 간의 상호 이해를 증진시키는 것이고, 다른 하나는 국가들 간의 협력을 통해 국가들 간의 상호 이해를 증진시키는 것입니다.Q: 국가 간의 협력이 지역 간의 협력과 같은 것이라고 할 수 있는가?A: 그렇습니다. 국가 간의 협력은 두 가지로 분류될 수 있습니다. 하나는 국가들 간의 협력을 통해 국가들 간의 상호 이해를 증진시키는 것이고, 다른 하나는 국가들 간의 협력을 통해 국가들 간의 상호 이해를 증진시키는 것입니다.Q: 국가 간의 협력이 지역 간의 협력과 같은 것이라고 할 수 있는가?A: 그렇습니다. 국가 간의 협력은 두 가지로 분류될 수 있습니다. 하나는 국가 간의 협력을 통해 국가들 간의 상호 이해를 증진시키는 것이고, 다른 하나는",polyglot-ko-1.3b
translation/techsci,2, questions. *질문에 대한 답을 영어로 해 주세요. (questions에 대한 답은 영어로 적어주세요.) Q: What does the policy mean? A: What is the policy mean? (정책의 의미는 무엇인가?) Q: What are the chances of an invasion into Korea? A: What chances do you have to an invasion? (한국 침략의 가능성은 무엇인가?) Q: What chances do you have to an invasion? A: What chances do you have to an invasion? (한국 침략 가능성은 무엇인가?) Q: What chances do you have to an invasion? A: What chances do you have to an invasion? (한국 침략 가능성은 무엇인가?) Q: What chances do you have to an invasion? A: What chances do you have to an invasion? (한국 침략 가능성은 무엇인가?) Q: What chances do you have to an invasion? A: What chances do you have to an invasion? (한국 침략 가능성은 무엇인가?) Q: What chances do you have to an invasion? A: What chances do you have to an invasion? (한국 침략 가능성은 무엇인가?) Q: What chances do you have to an invasion? A: What chances do you have to an invasion? (한국 침략 가능성은 무엇인가?) Q: What chances do you have to an invasion? A: What chances do you have to an invasion? (한국 침략 가능성,polyglot-ko-1.3b
translation/techsci,3," 비디오 인코더(20)는 비디오 인코더(20)가 제1 계층에서 시그널링된 다수의 서브-DPB 파라미터들에 따라 비디오 데이터를 디코딩하도록 구성될 수도 있고, 비디오 인코더(20)는 제2 계층에서 시그널링된 다수의 서브-DPB 파라미터들에 따라 비디오 데이터를 디코딩하도록 구성될 수도 있다.",polyglot-ko-1.3b
translation/techsci,4," 출판사가 책을 출판하면, 출판한 출판사에 대한 후원을 하는 것이죠. 예를 들어, 한 중소 출판사가 책을 출판해서, 출판사 이름이 유명해졌습니다. 그러면 그 출판사는 출판한 책에 대한 홍보를 위해 서점에 책을 진열하는 것이죠.중소서점이 서점에 책을 진열하는 것은 서점이 책을 구매하는 독자에게 서점의 책을 홍보하는 것입니다. 이는 서점이 독자에게 책을 홍보하는 것입니다. 따라서 서점의 책을 구매하는 독자가 서점에 책을 진열하는 것은 서점이 책을 홍보하는 것이고, 서점이 책을 구매하는 독자에게 책을 홍보하는 것이고, 서점이 책을 구매하는 독자에게 책을 홍보하는 것이 됩니다.서점에 책을 진열하는 것은 서점이 책을 홍보하는 것입니다. 서점에 책을 진열하는 것은 서점이 책을 홍보하는 것입니다. 서점에 책을 진열하는 것은 서점이 책을 홍보하는 것입니다. 서점에 책을 진열하는 것은 서점이 책을 홍보하는 것입니다. 서점에 책을 진열하는 것은 서점이 책을 홍보하는 것입니다. 서점에 책을 진열하는 것은 서점이 책을 홍보하는 것입니다. 서점에 책을 진열하는 것은 서점이 책을 홍보하는 것입니다. 서점에 책을 진열하는 것은 서점이 책을 홍보하는 것입니다. 서점에 책을 진열하는 것은 서점이 책을 홍보하는 것입니다. 서점에 책을 진열하는 것은 서점이 책을 홍보하는 것입니다. 서점에 책을 진열하는 것은 서점이 책을 홍보하는 것입니다. 서점에 책을 진열하는 것은 서점이 책을 홍보하는 것입니다. 서점에 책을 진열하는 것은 서점이 책을 홍보하는 것입니다. 서점에 책을 진열하는 것은 서점이 책을 홍보하는 것입니다. 서점에 책을 진열하는 것은 서점이 책을 홍보하는 것입니다. 서점에 책을 진열하는 것은 서점이 책을 홍보하는 것입니다. 서점에 책을 진열하는 것은 서점이 책을 홍보하는 것입니다. 서점에 책을 진열하는 것은 서점이 책을 홍보하",polyglot-ko-1.3b
translation/techsci,5," 상기 오브젝트의 제1 오브젝트(242)가 상기 미리보기 이미지들(240, 242) 중 어느 오브젝트(242)에 대응되는 지를 판단하고, 상기 오브젝트가 상기 미리보기 이미지들(240, 242) 중 어느 오브젝트(242)에 대응되는 지를 판단하며, 상기 오브젝트가 상기 미리보기 이미지들(240, 242) 중 어느 오브젝트(242)에 대응되는 지를 판단하는 것을 포함할 수 있다.",polyglot-ko-1.3b
translation/techsci,6," 남로당의 AAA1과 AAA2, AAA3은 남로당의 핵심 인물이었고, 조선 로동당의 핵심 인물은 AAA4였다.질문: 조선 로동당이라는 당명은 언제부터 사용하기 시작했나? 답변: 조선 로동당이라는 당명은 1945년 8월 15일에 발표되었다. 질문: 조선 로동당이라는 당명의 의미는? 답변: 조선 로동당은 1945년 8월 15일에 창당되었다. 1945년 8월 15일에 조선 로동당이라는 명칭을 사용한 것은 조선 로동당이라는 당명의 의미를 조선 로동당이라는 당의 명칭에서 찾았기 때문이다. 1945년 8월 15일에 조선 로동당이라는 당명을 사용한 것은 조선 로동당이라는 당명의 의미를 조선 로동당이라는 당의 명칭에서 찾았기 때문이다.질문: 조선 로동당의 창당 시기는 언제인가? 답변: 조선 로동당은 1945년 8월 15일에 창당되었다. 1945년 8월 15일에 조선 로동당이라는 당명을 사용한 것은 조선 로동당이라는 당명의 의미를 조선 로동당이라는 당의 명칭에서 찾았기 때문이다. 1945년 8월 15일에 조선 로동당이라는 당명을 사용한 것은 조선 로동당이라는 당명의 의미를 조선 로동당이라는 당의 명칭에서 찾았기 때문이다.질문: 조선 로동당이라는 당의 명칭을 사용한 시기는 언제인가? 답변: 조선 로동당이라는 당명을 사용한 시기는 1945년 8월 15일이다. 1945년 8월 15일에 조선 로동당이라는 당명을 사용한 것은 조선 로동당이라는 당의 명칭에서 찾았기 때문이다. 1945년 8월 15일에 조선 로동당이라는 당명을 사용한 것은 조선 로동당이라는 당명의 의미를 조선 로동당이라는 당의 명칭에서 찾았기 때문이다.질문: 조선 로동당이라는 당의 명칭은 언제부터 사용하기 시작했나? 답변: 조선 로동당이라는 당의 명칭은 1945년 8월 15일에 창당되었다. 1945년 8월 15일에 조선 로동당이라는 당명을 사용",polyglot-ko-1.3b
translation/techsci,7," 사회적 변화가 일어났다는 것은 그 변화가 동시다발적이라는 것을 의미한다. 따라서 이는 동시적인 것이다. 즉, 사회적 변화는 동시적이다. 여기서 중요한 것은 이 변화가 사회적 변화를 촉발했다는 점이다. 이에 따라, 혁명이라는 것은 사회적 변화의 산물이다. 질문: 혁명은 그 이전에 발생했는가? 대답: 혁명은 이전에 발생한 적이 없다. 혁명은 사회적 변화에 따라 발생한다. 질문: 사회적 변화는 과거의 사회적 관계를 변화시켰는가? 대답: 혁명은 사회적 관계를 변화시켰다. 질문: 사회적 관계가 혁명을 촉발했는가? 대답: 그렇다. 사회적 관계가 혁명을 촉발했다. 질문: 사회적 관계가 혁명을 촉발했는가? 대답: 그렇다. 사회적 관계가 혁명을 촉발했다. 질문: 사회적 관계가 혁명을 촉발했는가? 대답: 그렇다. 사회적 관계가 혁명을 촉발했다. 질문: 사회적 관계가 혁명을 촉발했는가? 대답: 그렇다. 사회적 관계가 혁명을 촉발했다. 질문: 사회적 관계가 혁명을 촉발했는가? 대답: 그렇다. 사회적 관계가 혁명을 촉발했다. 질문: 사회적 관계가 혁명을 촉발했는가? 대답: 그렇다. 사회적 관계가 혁명을 촉발했다. 질문: 사회적 관계가 혁명을 촉발했는가? 대답: 그렇다. 사회적 관계가 혁명을 촉발했다. 질문: 사회적 관계가 혁명을 촉발했는가? 대답: 그렇다. 사회적 관계가 혁명을 촉발했다. 질문: 사회적 관계가 혁명을 촉발했는가? 대답: 그렇다. 사회적 관계가 혁명을 촉발했다. 질문: 사회적 관계가 혁명을 촉발했는가? 대답: 그렇다. 사회적 관계가 혁명을 촉발했다. 질문: 사회적 관계가 혁명을 촉발했는가? 대답: 그렇다. 사회적 관계가 혁명을 촉발했다. 질문: 사회적 관계가 혁명을 촉발했는가? 대답: 그렇다. 사회적 관계가 혁명을 촉발했다. 질문: 사회적 관계가 혁명을 촉발했는가? 대답: 그렇다. 사회적 관계가 혁명을 촉발했다. 질문: 사회적 관계가 혁명을 촉발했는가? 대답: 그렇다. 사회적 관계",polyglot-ko-1.3b
translation/techsci,8," 다음 문장을 영어로 번역해 줘. 이러한 갈등은 현 정부의 탈원전 선언과 이에 따라 단기적으로는 온실가스 저감을 위해 최적화된 전원 구성이 보다 어려워진 구조적 제약에 따라, 향후 보다 심화할 가능성이 높다고 할 수 있다. [질문] 다음은 질문과 관련된 질문입니다. 다음 중에서 질문에 대한 영어로 된 올바른 문장을 고르세요. How can I be sure of the probability that all the planets in the Universe are made up of not only the same set of classifications, but also all the sets of classifications that are used to calculate the probability of all the planets in the Universe. How can I be sure of the probability that all the planets in the Universe are made up of not only the same set of classifications, but also all the sets of classifications that are used to calculate the probability of all the planets in the Universe. [답변] 다음 중에서 질문에 대한 영어로 된 올바른 문장을 고르세요. How can I be sure of the probability that all the planets in the Universe are made up of not only the same set of classifications, but also all the sets of classifications that are used to calculate the probability of all the planets in the Universe. How can I be sure of the probability that all the planets in the Universe are made up of not only the same set of classifications, but also all the sets of classif",polyglot-ko-1.3b
translation/techsci,9, I was in a hurry to go to the police station. (나는 경찰서에 가려고 했다.)### 질문: 다음 문장을 영어로 번역해 줘. (나는 운동을 하러 체육관에 갔다.)### 답변: I was in a physical exercise class. (나는 체육 수업에 갔다.)### 질문: 다음 문장을 영어로 번역해 줘. (나는 차를 몰고 있었다.)### 답변: I was in a car. (나는 차를 몰고 있었다.)### 질문: 다음 문장을 영어로 번역해 줘. (나는 차를 운전하고 있었다.)### 답변: I was in a car. (나는 차를 운전하고 있었다.)### 질문: 다음 문장을 영어로 번역해 줘. (나는 차를 타고 있었다.)### 답변: I was in a car. (나는 차를 타고 있었다.)### 질문: 다음 문장을 영어로 번역해 줘. (나는 차를 몰고 있었다.)### 답변: I was in a car. (나는 차를 타고 있었다.)### 질문: 다음 문장을 영어로 번역해 줘. (나는 차를 운전하고 있었다.)### 답변: I was in a car. (나는 차를 타고 있었다.)### 질문: 다음 문장을 영어로 번역해 줘. (나는 차를 운전하고 있었다.)### 답변: I was in a car. (나는 차를 운전하고 있었다.)### 질문: 다음 문장을 영어로 번역해 줘. (나는 차를 운전하고 있었다.)### 답변: I was in a car. (나는 차를 운전하고 있었다.)### 질문: 다음 문장을 영어로 번역해 줘. (나는 차를 운전하고 있었다.)### 답변: I was in a car. (나는 차를 운전하고 있었다.)### 질문: 다음 문장을 영어로 번역해 줘. (나는 차,polyglot-ko-1.3b
translation/techsci,10," FDA는 지난 7월 1일, 국립암연구소(National Cancer Institute)의 경고를 무시했다. 이 연구소의 연구 결과에 따르면, CT 검사는 암 위험을 높일 수 있다.##############################################################################################################################################################################################################################################################################################################################################################################################################################################################################",polyglot-ko-1.3b
