task_name,index,prompt,answer,attribute
reasoning,1,"김병관 국회의원(성남분당갑)과 김태년 국회의원(성남수정), 박광온 국회의원(수원정), 정춘숙 국회의원(비례대표, 용인병(수지) 후보) 등 경기 남부권역 4명의 여당 국회의원은 오늘(28일) 지하철 3호선 시대(수서~판교~용인~수원)를 열기 위해 공동의 노력을 취하겠다고 발표했다. 이에 따라 지하철 3호선이 경기 남부권역을 지나가는 계획이 탄력을 받을 전망이다. 김병관 의원은 이들 국회의원과 공동입장문 발표를 통해 “제21대 국회의원 선거에서 「지하철 3호선 수서~판교~용인~수원 연장 추진 사업」을 공약으로 반영하고, 제21대 국회의원이 되면 상호협력을 통해 이를 적극 추진하겠다”고 밝혔다. 지하철 3호선 연장 방안은 교통포화 상태인 용인서울고속도로 주변을 비롯한 경기 남부지역 교통문제를 해소하기 위한 대책이다. 이와 관련 해당 국회의원들은 이미 박원순 서울시장과 면담을 통해 지하철 3호선 연장을 건의한바 있고, 각각의 지자체와 긴밀히 협의해 오고 있다. 김병관 의원도 지난 1월, 박원순 시장을 만나 서울시가 추진중인 수서차량기지 이전과 관련하여 연장 추진시 교통취약지역인 판교와 대장지구로의 연장을 건의했고 박시장도 시민의 교통편의를 위해 적극 협조하기로 한 바 있다. 오늘 공동입장문을 발표한 4명의 국회의원은 올해(2020년)말 결과가 나올 예정인 타당성조사 용역 이후 내년(2021년) 초 국토교통부의 제4차 국가철도망사업에 반영될 수 있도록 공동으로 최선의 노력을 다하겠다고 다짐하면서, 향후 서울시장과 국토교통부 장관 그리고 각각의 지자체장 등으로 구성된 논의테이블을 통해 긴밀한 협력관계를 구축하고, 시민들과 지속적으로 소통하며 지하철 3호선 시대가 가급적 빨리 실현될 수 있도록 최선의 노력을 다하겠다고 포부를 밝혔다. 이와 관련 김병관 의원은 “지하철 3호선 연장은 이미 경기도, 성남시, 용인시, 수원시에서도 적극적으로 검토하고 있고, 용인시의 경우 지하철 3호선을 연장할 경우 차량기지를 제공할 의사까지 표명한 만큼 4명의 여당 국회의원과 지자체들이 함께 머리를 맞대고 해결하면 수도권 남부 지역주민에게 대중교통 편의를 제공할 수 있다”고 강조했다. 이어 김 의원은 “교통문제는 시민의 삶의 질과 생활환경을 결정짓는 가장 중요한 요소인 만큼 만성적인 교통문제로 어려움을 겪고 있는 판교지역 주민들의 불편을 해소하기 위해 지하철 3호선 연장을 적극 추진하겠다”고 밝혔다. 질문: 김병관 의원과 박원순 시장이 지하철 3호선 연장 지역에 대해 협의한 시기는?",지난 1월,1
reasoning,2,"미국 미디어그룹 NBC유니버설에서 일하는 단드라 갈라자는 매일 새벽 4시 잠에서 깬다. 맨 처음 하는 것은 상사가 아침 비행기를 제대로 타는지 확인하거나 그가 좋아하는 땅콩 시리얼, 페퍼민트향 사탕 등의 간식거리를 챙기는 일이다. 출근길에 상사 옷차림을 점검하고, 하루 스케줄을 정리하고, 걸려오는 모든 전화를 받은 뒤 상사가 퇴근할 때까지 자리를 지킨다. 잠시도 상사에게서 눈을 떼지 않는 그의 직업은 에드워드 쉰들러 회장의 곁을 10년째 지키고 있는 수석비서. 갈라자는 “비서는 마치 자녀의 성공을 위해 이리 뛰고 저리 뛰는 엄마 같은 존재”라고 말한다.스마트폰이 최고경영자(CEO)들의 스케줄 관리를 대신 하는 시대에 오히려 ‘베테랑 비서’가 주목받고 있다. 이들이 하는 일은 상사를 위한 스케줄 관리에서 기밀 문서 보관, 애완동물의 건강관리, 기념일 선물 주문, 이혼 서류 작성에 이르기까지 끝이 없다. 마치 그림자처럼 경영인의 일상을 파고들어 영향력을 행사한다. 월스트리트저널(WSJ)은 최근 전문 비서의 중요성을 강조하는 새로운 네트워크 단체인 ‘CEO비서연합(EAO)’이 생겨날 만큼 비서들이 기업의 새로운 권력층으로 급부상하고 있다고 30일(현지시간) 보도했다. EAO의 회원 수는 현재 1000명이 넘는다.전문 비서의 세계에 대해 관심을 불러일으킨 주인공은 아니카 프라곳 전 페이스북 창업자 비서다. 그는 지난 3월까지 7년 이상 마크 저커버그 페이스북 CEO의 오른팔이었다. 48시간 전에 통보 받고 350명이 참석하는 이색파티 준비에서부터 지난해 저커버그와 프리실라 챈의 비밀 결혼식 준비를 도맡아 화제가 됐다. 당시 저커버그의 결혼식을 사전에 안 사람은 네 명뿐이었다.그는 저커버그의 비서이자 비즈니스 파트너였다. 정례 회의 준비는 물론 CEO가 말한 것을 임원들이 이해했는지 재차 확인하는 일도 그의 몫이었다. 저커버그가 즐겨 입는 후드티도 따라 입었다는 그는 눈빛만 봐도 저커버그가 뭘 원하는지 다 알았다는 게 후문이다. 프라곳은 “예전에 비서란 짧은 치마 입고 커피나 타고 시키는 일이나 하던 사람이었지만 요즘은 회의에 참석하고 상사를 대변한다”고 말했다. 프라곳 외에도 사진공유사이트 핀터레스트에서 CEO와 디자인책임자의 외교사절 역할을 하는 미셸 디지아코모, 닐트 소프트웨어의 트레이 스카파 등은 대표적인 베테랑 비서로 꼽힌다.프라곳의 연봉은 13만5000달러에 보너스 30%였다. 주식으로 받은 옵션까지 합하면 다른 임원들 못지않다. 멜바 던컨 던컨그룹 CEO는 연봉 7만5000~17만5000달러의 고위급 임원 비서만을 뽑았다. 국제 문제와 경제 흐름에 밝아 중대한 결정을 내릴 때 도움이 될 수 있는 비서를 원했기 때문이다. 많은 비서들이 경영학 석사학위 소지자거나 법대 졸업자였다. 비서가 말하는 뛰어난 비서의 자질은 뭘까. 베테랑 비서들은 “적극성과 신중한 태도”라고 입을 모은다. 10년간 리먼브러더스 전 CEO 피터 피터슨의 비서로 일했던 던컨은 “상사가 아침에 책을 들고 출근하면 저녁 퇴근길에 같은 책을 샀다”며 “그가 책 이야기를 할 것 같아서가 아니라 그의 관심사를 알아두기 위해서였다”고 말했다. 질문: 저커버그의 비밀 결혼식 준비의 책임을 맡은 인물은 누구인가?",아니카 프라곳,2
reasoning,3,"2000년대 초·중반 집값 급등을 주도한 ‘버블 세븐 지역’ 아파트의 경매 낙찰가율(낙찰가를 감정가로 나눈 비율)이 지난달 상승세로 돌아섰다. 8일 부동산 경매정보업체인 부동산태인에 따르면 지난 1월 버블세븐 지역(강남3구·목동·분당·평촌·용인)에서 경매 처분된 아파트 580채의 낙찰가율은 73.51%로 집계됐다. 이는 전달의 72.89%(581채)에 비해 0.62%포인트 오른 수준이다. 낙찰가율이 상승세로 전환한 것은 작년 10월(74.5%) 이후 석 달 만이다. 낙찰가 총액도 지난해 12월 791억2185만원에서 지난달에는 862억1549만원으로 70억원 가까이 늘었다.낙찰가율 증가폭이 가장 큰 곳은 목동이었다. 목동 아파트 낙찰가율은 지난해 12월 71.29%에서 지난달 76.87%로 5.58%포인트 뛰었다.평촌 낙찰가율도 같은 기간 75.03%에서 79.31%로 4.28%포인트 올랐다. 용인 낙찰가율은 70.65%에서 74.35%로 3.7%포인트 상승했다.반면 강남 3구와 분당의 낙찰가율은 내림세를 보였다. 강남은 같은 기간 72.81%에서 71.93%로 0.88%포인트 내렸고, 분당은 75.89%에서 75.32%로 0.57%포인트 하락했다.버블 세븐 지역의 입찰경쟁률도 높아졌다. 1월 입찰경쟁률은 4.98 대 1로, 지난해 12월(4.37 대 1)에 견줘 0.61 늘었다. 입찰 경쟁률은 버블 세븐 전 지역에서 높아졌다. 목동 입찰경쟁률은 지난해 12월 1 대 1에서 지난달 5.2 대 1로 높아졌다. 평촌도 같은 기간 4.68 대 1에서 6 대 1로 뛰었다. 강남 3구는 3.98 대 1에서 5.16 대 1로 상승했다.부동산태인의 정대홍 팀장은 “낙찰가율이 작년 같은 기간에 비해서는 여전히 3.5%포인트 낮다”며 “부동산시장이 회복세로 돌아섰다고 단정짓기 어려운 만큼 실수요 위주로 접근하는 것이 바람직하다”고 설명했다. 질문: 버블 세븐 중 지난 달 경매 낙찰가율이 가장 높은 지역은?",평촌,1
reasoning,4,"관여도는 경영학에서 소비자 행동론의 개념 중 하나며, 특정 상황에 있어 자극에 의해 유발되어 지각된 개인적인 중요성이나 관심도의 수준을 뜻한다. 관여는 사람, 대상, 상황이 변수이며, 수식으로 설명하자면 (F(x)=관여의 수치 x=사람, 대상, 상황)으로 나타낼 수 있다.  소비자들이 느끼는 관여도의 수준으로서는, 지속적 관여와 상황적 관여가 있다.  ;지속적 관여 제품에 개인적 관련성이 높은 경우, 수단 목적 사슬에서의 속성을 결과와 가치로 연결시킨다. 예를 들어 Hi-Fi 매니아들은 스테레오에 지속적 관여를 보인다.  ;상황적 관여 전기 주전자에 관심도 없는 사람이 뉴스에서 전기 주전자에 의한 사망자 발생을 본다면, 갑자기 높은 관여도를 갖게되며, 이는 전기주전자를 구입하는 행동에 고관여를 갖게한다. 결과적으로 마케팅 관리자는 주어진 상황에서 지속적 관여와 상황적 관여를 적절하게 마케팅 요소로 쓸 필요가 있다.  관여도의 결정 요인으로는  ;개인적 요인 욕구와 동기가 활성화 되지 않으면 관여도가 존재하지 않으며, 제품이나 서비스가 자아를 높여줄 때 관여도는 높아진다.  ;제품요인 욕구와 가치를 만족시키는 제품에 높게 나타나며, 선택 대안 사이에 차이가 많이 있다고 여길수록 관여도는 증대된다. 또한 구매와 사용에 있어서 지각된 위험(전기주전자로 인한 사망자 사례)이 있다면 제품과 상표에 대한 관여도가 높아진다.  ;상황적 요인 지속적 관여도와 대비되게, 일정한 상황에서 관여도는 변동의 가능성이 있는데, 예를 들면 친한 교수님에게 선물할 트레이닝복은 내가 구매할 때의 관여도보다 높은 관여수준을 갖게할 것이다. 하지만 이런 상황적 요인은 일회적인 것으로서, 교수님에게 선물이 끝나면 관여도는 평상시 자신의 관여도로 돌아가게 한다. 질문: 소비자 행동론은 어떤 학문에 포함된 이론인가요?",경영학,1
reasoning,5,"이윤석 롯데마트 수산물 MD(상품기획자)는 지난 17일 부랴부랴 경남 거제에 출장을 갔다. 올해 첫 적조 경보가 발령된 거제와 통영 등 남해안 일대 양식장을 방문해 피해 상황을 파악하기 위해서다. 이 MD는 “선선해지는 9월부터 수요가 본격적으로 늘어나는 우럭과 참돔을 비롯해 어류 수십만 마리가 출하를 앞두고 폐사했다”며 “정확한 피해 상황이 집계되진 않았지만 수산물 가격이 적잖이 뛸 것으로 우려된다”고 말했다.추석(9월27일)을 한 달여 앞두고 식탁 물가에 비상이 걸렸다. 가뭄에 채소값이 고공행진 중인 가운데 적조 여파로 주요 어류가 떼죽음을 당하면서 수산물값까지 급등할 조짐을 보이고 있다.상(上)급 품질의 주요 채소 가격(가락시장 도매 기준)은 1년 만에 최대 70%가량 치솟았다. 배추얼갈이(1.5㎏)는 8월(1~18일) 평균 가격이 2433원으로 전년 동기 대비 71% 상승했다. 부추(500g)는 1070원에서 1764원으로 64.9% 뛰었다. 미나리(4㎏)와 시금치(4㎏)도 각각 8883원, 2만2828원에서 1만2454원, 2만9330원으로 1년 전 대비 40.2%, 28.5%씩 올랐다. 7월 가격과 비교하면 배추얼갈이와 부추 가격 상승률은 각각 176.4%, 126.6%에 달한다. 이들 채소값이 급등한 것은 가뭄과 고온으로 영양분을 제대로 공급받지 못하거나 타버려 수확이 예년만 못했기 때문이란 분석이다.수산물 가격도 오름세다. 참조기(10㎏)는 지난해 9만2000원에서 이달 10만5512원으로 14.7% 올랐다. 같은 기간 가자미(8㎏)는 2만7480원에서 2만8976원으로 5.4% 상승했다. 채소 대비 가격 상승 폭은 작지만 올해 내내 안정세를 보인 수산물 가격이 오르기 시작한 데다 적조라는 악재가 발생해 업계가 주목하고 있다.경상남도는 이날 거제 가두리양식장에서 참돔과 돌돔, 우럭 등이 집단폐사했다고 밝혔다. 정확한 피해 규모는 집계 중이지만 최소 수만, 최대 수십만 마리가 떼죽음을 당한 것으로 알려졌다. 남해군 서면 가두리양식장 2어가는 감성돔 31만마리를 긴급 방류했다. 적조 피해를 입기 전 양식 어류를 방류하면 정부가 피해를 보상해주는 제도가 있다. 이로 인해 공급이 급감한 참돔, 돌돔, 우럭 등의 가격이 20~30%가량 뛸 것이라는 관측이 나온다.이 MD는 “출하를 앞두고 공급량이 급감한 수산물뿐 아니라 대체재로 수요가 분산되면서 다른 수산물 가격도 동반 상승할 것으로 보인다”며 “최대한 물량을 많이 확보하는 데 주력하고 있다”고 말했다. 질문: 참돔의 kg 당 가격은?",9만2000원,3
reasoning,6,"정태성 CJ E&M 영화사업 부문 대표는 이익 규모가 음악업체 등에 비해 상대적으로 작은 데 대해 “국내 최대 영화사로서 위험이 큰 기획과 개발에 투자를 많이 하다 보니 손실도 많이 보기 때문”이라고 설명했다. 흥행에 참패한 강제규 감독의 전쟁 대작 ‘마이웨이’ 등이 그런 경우다. 그는 “이처럼 위험을 감수하는 프로젝트나 글로벌 시장에 도전하는 노력은 알려지지 않은 채 ‘유통을 독과점한 콘텐츠 기업’이라는 부정적인 이미지가 있는 데는 아쉬운 점이 많다”고 지적했다. 그는 또 CJ가 지난 18년간 영화사업을 하면서 충무로에 ‘회계시스템의 투명성’을 확립시키는 데 기여했다고 평가했다. “과거 충무로에는 모든 회계처리를 간이영수증을 통해 주먹구구식으로 하다 보니 비용이 많이 새나가면서 제작비가 늘어났어요. CJ가 ‘영화 제작예산 운영가이드’란 매뉴얼을 도입해 비용관리를 하고, 순익이 발생했을 때 제작사 수익분배금을 약속된 기일에 정산해 그다음 달 말일까지 지급하라는 항목을 계약서에 명시하자 이후 다른 투자사들도 따라왔습니다.” 질문: 충무로의 회계처리를 바로잡는데 큰 역할을 한 곳은?",CJ,1
reasoning,7,"“60세까지 ‘시카고’ 무대에 오르고 싶어요.”한국 뮤지컬의 ‘자존심’이자 ‘간판’인 배우 최정원(45)이 2~3년 전부터 뮤지컬 ‘시카고’를 언급할 때마다 빼놓지 않고 하는 말이다. 극 중 나이 많은 ‘마마’ 역이라면 그럴 수도 있겠다고 싶었다. 최근 서울 신도림동 디큐브아트센터에서 만난 최정원은 손사래를 쳤다.“당연히 지금 하고 있는 ‘벨마 켈리’ 역으로죠. ‘마마’는 100세까지 할 수 있을 것 같고요. 하하.”‘시카고’는 살인을 저지르고 감옥에 들어온 두 여죄수 벨마와 록시가 주인공인 ‘투톱’ 뮤지컬이다. 록시가 섹시하면서도 사랑스럽다면, 벨마는 섹시하면서도 강한 힘을 뿜어낸다. 뮤지컬 명장면으로 꼽히는 ‘올 댓 재즈’ 삼각 군무의 꼭짓점에서 춤을 이끈다. 영화 ‘시카고’에서 캐서린 제타 존스가 맡았던 역이다.“벨마는 많이 하면 할수록 더 잘할 수 있는 역인 것 같아요. 60세 때쯤 제가 표현하는 벨마가 지금보다 멋지지 않을까요.”최정원은 ‘시카고’ 한국 공연을 대표한다. 열 번의 제작 공연에서 늘 주인공으로 무대에 섰다. 2000년 한국 초연에선 록시였고, 2007년부터는 벨마였다. ‘대체 불가능한 벨마’라는 찬사를 받았다. 내달 28일까지 디큐브아트센터에서 계속되는 올해 공연에서도 벨마로 매회 무대에 선다.이번 시즌 ‘벨마 최정원’은 작년과는 또 다르다. 훨씬 더 역동적이고 활력이 넘친다. 벨마가 록시에게 듀엣을 결성하자며 꾀는 장면. 최정원은 손 짚고 옆돌기와 다리를 머리 위로 차올리는 ‘킥’ 등 고난도 동작을 몇 번이나 되풀이하며 노래를 부른다. 객석에서 환호와 탄성이 터져 나온다.“공연의 연출과 안무가 바뀌면서 벨마의 춤동작이 달라졌어요. 작년엔 이 장면에서 우아한 발레 포즈를 취했죠. 제가 원래 텀블링을 잘해서 두 번 연속 돌 수도 있어요. 60세가 돼도 자신 있어요. 하하.”10여년간 해온 만큼 작품에 대한 이해와 깊이도 남달랐다. ‘시카고’는 춤과 노래, 촌극이 어우러지는 미국 버라이어티 무대쇼인 보드빌 형식으로 드라마를 완성해 나가는 독특한 작품이다. 최정원은 “형식이나 풍자와 해학이 가득한 내용이나 우리의 마당놀이와 비슷하다”고 말한다. 이제껏 들어본 적 없는 참신한 분석이다.“‘마당’이 펼쳐지면 별다른 세트나 의상 없이 배우는 연기와 춤과 노래로 관객을 웃기고 사로잡아야 합니다. 배우의 노력과 열정, 역량이 무대에서 그대로 드러나요. 뮤지컬 배우의 모든 것을 온전히 보여줄 수 있어요. 제가 이 작품을 좋아하고 앞으로도 계속 하고 싶은 이유입니다.”최정원은 1989년 데뷔 이후 ‘출산 공백’을 제외하고는 줄곧 무대에 섰다. 20여년간 정상 자리를 지키고 있다. 20~30대나 40대 중반인 지금이나 외모와 목소리가 한결같다. ‘비결’을 물었다.“체력과 건강 관리는 기본이고요. 뻔한 소리 같지만 무엇보다 장인 정신을 가지고 제 일을 즐기기 때문이 아닐까요. 공연 마지막에서 록시와 함께 ‘살고 싶은 인생 찾아 원하는 대로 살아요’로 시작되는 노래를 불러요. 행복도 꿈도 열정도 누구한테서 빼앗아 오는 것이 아니라 내 안에서 찾는다는 메시지를 담고 있죠. 이어지는 커튼콜에서 매번 울컥해요. 정말 좋고 행복해서요.” 질문: 시카고'에서 벨마와 록시의 죄명은 무엇인가?",살인,1
reasoning,8,"규슈 등 일본의 일부 지역에 일어난 집중호우의 여파로 인해 일본과 지리적으로 가까운 부산광역시를 중심으로 폭우가 쏟아지면서 이 일대의 토사가 쏟아지는 것을 필두로 지하차도가 침수됨에 따라 통행이 전면적으로 중단되는 것 외에도 저지대의 피해가 큰 것으로 보였다. 그러나 부산광역시에서의 집중호우가 심한 자치구 및 자치군은 남구가 132 mm로 가장 많이 쏟아진 것으로 보였고, 벡스코 주변 도로 등 몇몇 도로가 폭우에 의해 침수되는 피해가 집중되어 있었다. 그 뒤로 대전광역시, 세종특별자치시, 충청남도, 전라남도,전라북도 지역에 비가 내리기 시작하였다. 그러나 7월 12일에는 부안군 위도에 172 mm의 강수량을 기록하였던 것으로 나와 있어, 전라북도 전역에 걸쳐 호우 특보가 내려진 상태이다. 이후에는 대전의 갑천, 광주의 황룡강에도 홍수주의보가 발령되고, 대전의 코스모스아파트 주변도 물바다로 변했으며, 주차하게 되어 있었던 차량까지 침수 피해를 입었던 것으로 보인다. 그 뒤로 남부지방에 내린 집중 호우로 인해 큰 피해를 입었으며, 통영시에서는 국도 제14호선의 산 비탈면까지 무너지면서 상수관이 파손돼 4시간 동안 6,400톤의 흙탕물이 주택가를 덮치는 등 마을을 중심으로 피해를 입었고, 이날 통영시에 내린 비는 7월 12일에서 14일 사이에 걸쳐 184.6 mm, 시간당 최대 25.1 mm의 강우량을 기록하였다. 7월 15일부터 21일까지 잠시 소강상태에 이른 것으로 보인다. 질문: 전국에서 비가 가장 많이 온 곳은?",부산광역시,3
reasoning,9,"정부가 공공부문 개혁을 위해 공무원의 소극적 행정 처리에 대한 징계를 강화하고 있지만 공무원들의 복지부동 행태는 여전한 것으로 나타났다.감사원은 24일 ‘소극적 업무처리 점검 감사’를 통해 총 31건의 소극행정을 적발하고 공무원 12명에 대한 징계를 요구했다고 밝혔다. 경남 창녕군은 2014년 민원인에게서 단독주택 건축신고 신청을 받고 ‘주변 경관과 조화를 이루지 못한다’ 등의 타당하지 않은 이유를 들어 세 차례 허가를 거절했다. 민원인은 건축신고를 하면서 환경영향평가 등 각종 용역비로 3억4559만원을 지출해야 했다.2012년 1월 울산 울주군청에 이혼 서류를 낸 A씨는 군청이 서류 제출을 제대로 확인하지 않아 2년11개월이 지난 2014년 말 이혼신고를 마칠 수 있었다. 충북 옥천군은 단독주택을 신축하려는 민원인에게 관계 법령에도 없는 포장도로 개설을 요구했다가 적발당했다. 경북 의성군에서 도시개발사업 보상업무를 담당하는 공무원 2명은 지난 5월 서류를 제대로 확인하지 않아 보상 대상이 아닌 가건물 4채에 3억2000만원의 보상금을 지급했다가 감사원에 적발됐다.경북 칠곡군 공무원 2명은 2013년 주택 부지에 불법 옹벽이 있다는 사실을 알고도 별다른 보강 검토를 하지 않은 채 주차장 부지 건축허가를 내줬다. 준공 이후 옹벽이 세 차례 붕괴했고, 인근 주민은 매번 대피해야 했다고 감사원은 지적했다. 질문: 이혼 서류가 승인을 위해 통상 소요되는 기간은 얼마인가?",2년11개월,3
reasoning,10,"국내 기업이 ‘한류 콘텐츠’를 중국 동영상 포털들에 제공해 클릭 수에 따라 광고수익을 나누는 사업모델이 등장했다. 중국 포털들이 한국 콘텐츠를 헐값에 구입해 광고수익을 독식하는 구조에서 벗어난 첫 사례여서 주목된다. 또 중국 포털에서 한류 1인 방송을 하는 다중채널네트워크(MCN)사업을 시작하고, 이와 연계한 일반 상품을 중국인이 쇼핑할 수 있는 사업도 올 연말께 시작할 것이란 전망이 나온다. 해외 MCN사업자들이 한국으로 진입하는 흐름과 반대로 한국 사업자가 중국 MCN시장에 직접 진출하는 것이어서 주목받고 있다.배우 배용준 씨가 대주주인 연예기획사 키이스트의 자회사인 콘텐츠N 정지호 대표는 23일 “국내 연예계 소식을 매주 금요일 오후 8시부터 40분씩 소개하는 프로그램 ‘한라이즈싱(韓來之星)’ 시즌1을 지난 7월부터 소후TV, 유쿠 투도우, 아이치이 등 중국 세 개 동영상 사이트에 제공한 데 이어 시즌2도 다음달 2일부터 내보낼 예정”이라고 말했다. 정 대표는 “세 개 포털이 같은 시간에 방송한 뒤 수익을 절반씩 나누기로 계약했다”며 “국내 콘텐츠 사업자가 중국 포털들과 광고 수익을 나누는 계약 조건은 처음”이라고 말했다.콘텐츠의 독점 공급을 요구해온 중국 포털들이 이 같은 조건을 수용한 것은 한류스타 김수현 때문이다. ‘한라이즈싱’의 하이라이트는 15분간 한류 스타들과 독점 인터뷰하는 코너다. 그동안 EXID, 아이유, 지창욱, 주원, 비, 이준기, 공효진 등을 소개했다. 특히 3회와 4회째에 김수현 인터뷰가 두 차례 나오면서 독점을 요구하던 포털들이 콘텐츠N의 이익 배분 요구를 수용했다.한라이즈싱은 전혀 홍보를 하지 않은 상태에서 지난 11일까지 약 1300만뷰를 기록하며 시즌1이 끝났다. 콘텐츠N 측은 현지 대행사를 선정해 소셜네트워크서비스(SNS) 등으로 홍보를 본격화, 1억뷰를 달성한다는 목표다.콘텐츠N은 또 중국 포털들과 한라이즈싱 외에 다른 콘텐츠를 지속적으로 방영할 수 있는 채널도 개설하고 스마트폰으로 볼 수 있는 2~3분짜리 1인 방송을 하는 MCN사업도 시작하기로 했다. 단순 콘텐츠만 내보내는 것이 아니라 콘텐츠와 관련한 일반 상품을 판매하는 쇼핑사업도 병행하기로 했다. 가령 한국 연예인이 다이어트나 화장하는 방법을 소개하고, e커머스 시스템과 연동해 관련 화장품과 식품 등을 중국인에게 판매하는 사업 모델이다.벤처투자회사 벤처포트는 콘텐츠N의 사업 전망이 밝다고 보고 최근 5억원을 투자했다. 정 대표는 “중국 포털들에 채널을 열어 한국에서 콘텐츠를 직접 올리고 관련 상품을 판매할 수 있게 됐다”며 “콘텐츠 수익을 키울 뿐 아니라 일반 상품에서도 이익을 얻는 사업 모델을 창출할 것”이라고 말했다.이와 비슷한 사업을 한·중 합작업체 칸타라글로벌도 내년 1월부터 시작한다. 올 들어 K팝 공연을 중국 큐큐닷컴에 생중계하고 있는 이 업체는 중국 차이나텔레콤 인터넷TV(IPTV)에 한류 채널을 열기로 하고 양해각서를 최근 체결했다. 무료 동영상 스트리밍업체인 미국 유튜브에 이어 프랑스의 데일리모션이 국내 진입을 추진하는 것과 반대로 한국 1인 방송이 중국에 직접 진출하는 것이다. 질문: 중국 포털이 국내 콘텐츠 사업자와 수익을 분배하는 계약의 계기가 된 연예인은 누구인가?",김수현,2
