task_name,index,model_name,prompt,output,score
summarization,2,sample_model,"다음 글을 한국어 한 문장으로 요약해줘: ""기다리던 새해가 밝았네요.   올해 제가 드디어 아빠가 됩니다.  "" 국내에서 처음으로 '남의 팔'을 이식받은 손진욱(39) 씨의 2020년은 특별하다.   지난해부터 기다리던 그의 2세가 오는 8월 태어나기 때문이다.   장애인으로 살던 그가 팔 이식 수술 후 결혼에 골인했고, 이어 행복한 가정을 꾸려 새해 아빠가 된다.    손씨는 2018년 가을 지인의 소개로 만나 교제해 온 여자친구와 지난해 6월 대구에서 부부의 연을 맺었다.   이후 운수업, 서비스업 등 평범한 30대 직장인으로 생활해왔다.   그는 ""장애가 있던 시절에는 직장 다니고, 아이 키우는 평범한 부부를 볼 때 제일 부러웠다""며""올해는 아빠가 되는 꿈을 이루는 해""라고 말했다.    손씨는“팔 이식 수술을 받기 위해 병원에 입원한 2017년 1월(수술은 2월)이 첫 번째 새 인생을 시작한 해라면 지난해 결혼이 두 번째 인생, 2020년은 2세가 태어나는 올해는 세 번째 새로운 인생""이라고 했다.     그는 지난 2015년 공장에서 일하다 사고로 왼쪽 팔을 잃었다.   의수(義手)를 끼고 생활하다 2017년 2월 대구 W병원과 영남대병원에서 뼈와 신경·근육·혈관 등이 포함된 다른 사람 팔을 이식받았다.    새해가 그에게 특별한 이유는 하나 더 있다.   수술한 팔이 점점 더 정상인의 팔에 가까워지고 있어서다.   희망과 행복이라는 말의 뜻을 이젠 이해하겠다는 손씨는 “수술 3년 차를 맞으면서 ‘남의 팔’이 이젠 진짜 내 팔이 된 것 같다”고 했다.   그는 수술 초기에는 팔과 손이 저리고 시려지는 고통을 겪었다.   컴퓨터나 스마트폰 자판을 두드리는 것 같은 정교한 움직임은 어려웠다.   “왼쪽 팔이 달렸지만, 내 것이 아니라 남의 것이구나”하는 생각이 들 정도였다고 한다.    수술 몇 달이 지나면서 그의 몸은 조금씩 남의 팔을 받아들였다.   5개 손가락 모두 움직일 수 있게 되고 손에 힘을 줄 수 있었다.   야구공을 쥐고 던지거나 다른 사람과 손을 맞잡고 흔들며 악수도 할 수 있었다.   손에 신경이 살아나면서 뜨거움과 차가움을 느끼고, 차량 운전과 양치질, 머리 감기 같은 일상생활을 자유롭게 할 수 있게 됐다.   손에 땀도 났다.   이 덕분에 2017년 7월 대구 삼성라이온즈파크에서 열린 프로야구 경기 때는 시구를 했다.   당시 팔 이식 수술 성공 사례로 그의 시구는 국내외에 화제가 됐다.    지금은 정상인과 비슷한 수준으로 손과 팔에 힘을 낼 수 있다고 한다.  ",새해에 아빠가 됩니다.   올해 내가 드디어 아빠가 됩니다.,0.6440489292144775
summarization,3,sample_model,"다음 글을 한국어 한 문장으로 요약해줘:  김정은 국무위원장이 지난달 28일부터 31일까지 열린 노동당 중앙위원회 전원회의 보고에서 “곧 머지않아 조선민주주의인민공화국이 보유하게 될 새로운 전략무기를 목격하게 될 것”이라고 말했다고 조선중앙통신이 1일 전했다.   통일부는 이날 논평에서 “이(새 전략무기 공개)를 행동으로 옮길 경우 비핵화 협상과 한반도 평화정착 노력에 도움이 되지 않는다”고 우려했다.   그렇다면 김 위원장이 언급한 새로운 전략무기는 과연 무엇일까.      전략무기는 핵무기나 핵탄두를 장거리로 투사하는 무기를 뜻한다.   전문가들은 북한의 새 전략무기를 크게 3가지로 예상한다.    ①신형 전략잠수함= 정부 소식통은 “군 당국이 제일 먼저 떠올린 북한의 새 전략무기는 신형 전략잠수함”이라고 전했다.   전략잠수함은 핵탄두를 단 잠수함발사탄도미사일(SLBM)을 싣고 다닌다.   북한은 SLBM을 ‘수중전략탄도탄’이라고 부른다.   권용수 전 국방대 교수는 “전략잠수함과 SLBM은 탐지가 어렵기 때문에 미국이 경계한다”며 “북한이 전략잠수함에서 SLBM을 발사하면 미국은 큰 충격을 받을 것”이라고 예상했다.     북한은 이미 전략잠수함과 SLBM을 보유하고 있다.   2016년 8월 24일 북한의 고래급 잠수함(2000t급)이 SLBM인 북극성-1형을 성공적으로 발사했다.   이어 지난해 10월 2일엔 북극성-1형보다 더 멀리 날아가는 북극성-3형을 수중 바지선에서 쐈다.     문근식 한국국방안보포럼 대외협력국장은 “1발의 SLBM만 갖고 다니는 고래급은 SLBM 시험발사 전용”이라면서 ”북한은 고래급보다 더 커 여러 발의 SLBM을 탑재하는 전략잠수함이 필요하다“고 설명했다.    북한의 관영 매체는 지난해 7월 23일 신포 조선소에서 김 위원장이 신형 잠수함을 둘러보는 사진을 공개했다.   사진 속 잠수함은 3000t은 넘어 보인다.   군 관계자는 “크기와 모양이 함교에 3발의 SLBM을 넣는 옛 소련의 골프급과 닮았다”고 말했다.     한 정부 소식통은 “김정은 위원장이 조만간 신포 조선소에서 신형 전략잠수함 진수식을 직접 열 것이란 첩보가 있다”면서 “북한은 상황에 따라 신형 전략잠수함 진수식→SLBM 발사→실전 배치 선언 등 여러 단계로 나눠 대응할 수도 있다”고 말했다.    ②다탄두=다탄두 미사일은 탄두부에 복수의 재진입체(RV)가 있다.   미사일이 우주에서 여러 개의 재진입체로 분리하면, 각각의 재진입체가 대기권으로 진입한다.  ",김정은 국무위원장이 지난달 28일부터 31일까지 열린 노동당 중앙위원회 전원,0.7215604782104492
summarization,4,sample_model,"다음 글을 한국어 한 문장으로 요약해줘:  신 의원은 ""총선에 제가 다시 도전한다는 의사표시로 예비후보를 등록했다""고 말했다.   다른 예비후보자 2명은 경기 의왕시 내손로 건물에 선거사무소를 차리고 현수막을 내걸었다.   신 의원 사무소도 같은 건물에 있다.   신 의원은 ""저만 현수막이 없으면 이상할 것 아닌가.   사람들이 (제가 나오지 않는다고) 오해할 수도 있어서 현수막을 걸었다""고 말했다.    천정배 대안신당 의원도 지역구 광주 서을에서 예비후보 등록을 마쳤다.   천 의원은 양향자 민주당 전 최고위원 등 여당 소속 출마자들의 거센 도전을 받고 있다.   천 의원은 ""연초에 배우자가 인사를 다닐 때 (예비후보 등록 전에 선거운동을 했다고) 선거법상 시비를 (상대후보가) 걸 가능성이 있어서 미리 등록한 것""이라고 말했다.   한국당 비례대표인 윤종필 의원은 김병관 민주당 의원의 지역구인 경기 성남 분당갑에 출사표를 던졌다.   윤 의원은 2017년부터 이 지역에서 활동해왔고 현재 한국당 성남 분당갑 당협위원장을 맡고 있다.   선거운동에 일찍 돌입해 본선에서 상대 당 현역 의원을 꺾겠다는 의지로 보인다.   '서울 강남·PK 험지 정면돌파'부산에 지역구를 둔 민주당 현역 의원 3명도 나란히 예비후보 명단에 이름을 올렸다.   초선인 전재수(부산 북-강서갑), 박재호(부산 남을), 최인호(부산 사하갑) 의원 등이다.   이들 셋은 ‘조국 사태’ 이후 PK(부산·경남) 민심이 여당에 호의적이진 않다고 보고 있다.   서둘러 움직이지 않으면 안 된다는 분위기가 읽혔다고 한다.   박재호 의원은 ""우리처럼 '적지'에 있는 의원들은 무조건 예비후보를 등록하는 게 순서인 것 같다""며 ""지난해 6월 지방선거에 비하면 부산이 어렵다 보니 서둘러 선거모드에 돌입한 측면도 있다""고 했다.   전재수 의원은 ""현역 의원이 선거기간에 누릴 수 있는 몇 가지 기득권이 있는데 나는 거기에 기대지 않겠다는 의지가 있었다""고 말했다.   민주당 비례대표인 박경미 의원은 민주당 험지인 서울 서초을에 예비후보 등록을 마치고 출사표를 던졌다.   이곳은 박성중 한국당 의원이 현역으로 있다.   박경미 의원은 ""얼마 전 한 유권자가 전화를 걸어와 '민주당에서 다른 분들이 예비후보 현수막을 내걸었던데 혹시 의원님이 밀리신 거냐'고 물었다""면서 ""그런 얘기를 들으니 경각심이 들기도 해서 지난달 30일 예비후보로 등록했다""고 말했다.   김효성 기자 kim.  hyoseong@joongang.  ",신민 의원은 총선 출마 의사를 표시하고 예비후보를 등록했습니다,0.7624413371086121
summarization,5,sample_model,"다음 글을 한국어 한 문장으로 요약해줘: 스웨덴에서는 지갑을 몸에 지니지 않아도 일상생활에 불편을 겪지 않는 이들이 있다.   엄지와 검지 사이의 손등 표면에 마이크로칩을 심은 수천명의 사람들이다.   물건을 살 때, 음식값을 지불할 때 또는 열차에서 검표를 받을 때 디지털 리더기에 손등을 대면 자동으로 결제된다.   칩에 각종 결제 정보가 담겨 있어 현금은 물론 신용카드·스마트폰도 필요 없다는 얘기다.   스웨덴은 이처럼 ‘현금 없는 사회’(Cashless Society)의 선두를 달리는 국가다.   하지만 디지털 사용에 제한이 있는 취약계층의 현금 사용이 어려워지면서, 현금을 지키려는 이들의 반격(fightback)이 시작되고 있다고 텔레그래프가 보도했다.   핀테크 발전으로 빠르게 현금 없는 사회로 다가가는 한국에 시사하는 바가 적지 않다.   1일 텔레그래프·데일리메일·파이낸셜타임즈 등 주요 외신에 따르면 ‘2023년 현금 없는 사회’를 목표로 세운 스웨덴에서는 소매점이 현금 결제를 거부할 수 있고, 대중교통의 현금 결제를 중단했으며, 성당·교회 헌금이나 길거리 구걸도 각종 모바일 결제로 이뤄진다.   스웨덴의 현금 사용률은 1.  4%(2016년 기준)에 불과하고, 전체 1600개 은행 지점 가운데 900곳은 현금을 아예 취급하지 않고 있다.   하지만 현금 이외에 다른 지불 수단을 쓰기 어려운 고령층·저소득층은 경제활동에 제약을 받는 부작용이 나타나고 있다.   빈곤층이나 중고등학생은 기초 자본과 신용이 부족해 신용카드 등을 만들 수 없다.   간편 결제에 이용하는 스마트폰 등 디지털 기기의 구매도 쉽지 않다.   노인들은 모바일 결제 같은 디지털 방식의 결제 시스템에 익숙하지 않다.   스웨덴 연금생활자협회에 따르면 14만명의 고령층이 여전히 현금만을 사용하고 있으며, 100만명 이상은 현금통용이 어려워지는 것에 불편을 겪고 있다 특히 시골 지역은 통신 시스템이 제대로 갖추어져 있지 않은 곳이 많다.   현금 없는 사회의 진전에 따라 디지털 금융 격차가 심화할 수 있다는 얘기다.   소비자단체 ‘위치?’의 제니 로스는 “스웨덴이 빠르게 디지털 경제로 전환하면서 수백만명의 사람들이 현금 사용 권한을 잃고, 일상생활에서 고통을 겪고 있다”고 짚었다.   이는 비단 취약계층만의 얘기가 아니다.   쿵칼호텔 등 유명 호텔에서는 현금만 가지고 있는 투숙객이 바에서 결제하지 못해 불편을 호소하는 경우가 잦다.   유럽의회 부의장을 역임한 얀 앤더슨(73)은 “스웨덴 남서부 헬싱보리에서 돈을 찾으려 했더니, 64㎞나 떨어진 말뫼로 가라 했다”며 “현금자동입출금기도 계속 사라지고 있다”라고 말했다.  ",스웨덴에서는 현금을 몸에 지니지 않아도 일상생활에 불편을,0.8213643431663513
summarization,6,sample_model,"다음 글을 한국어 한 문장으로 요약해줘: 2020년 도쿄올림픽의 해다.   올림픽 메달의 산실 진천선수촌의 열기도 뜨겁다.   지난 연말 선수촌 벨로드롬에서 만난 한국 사이클 여자 장거리 간판 나아름(30)도 구슬땀을 흘리고 있었다.   특히 나아름은 올림픽 이후 사이클 본고장인 유럽 진출을 노린다.   올림픽에서 좋은 성적을 거둬야 할 중요한 이유다.   나아름은 지난 10년간 한국 사이클 여자 장거리에서 독주했다.   2009년 3관왕을 시작으로 전국체전에서만 40개가 넘는 금메달을 따냈다.   아시아권에서도 기량은 독보적이었다.   2018 자카르타-팔렘방 아시안게임에서 한국의 유일한 4관왕(여자 개인도로·도로독주·단체추발·매디슨)이었다.   그해 봄 발가락을 다쳐 두 달을 쉬고도 거둔 성과다.   나아름은 ""'이렇게도 할 수 있구나'란 생각을 했다.   열심히 준비했더니 좋은 결과가 나왔다""고 웃었다.    나아름은 지난해 새로운 도전에 나섰다.   이탈리아 사이클 여자프로팀 알레-치폴리니에 입단했다.   세계 정상급 팀이다.   나아름은 “전부터 유럽에서 뛰고 싶은 꿈이 있었다.   그런데 (알레-치폴리니) 팀 관계자가 ‘계약한 팀 있냐’며 인스타그램 DM(다이렉트 메시지)으로 연락해왔다.   처음엔 장난인 줄 알았다”고 소개했다.   한국 선수가 유럽 팀과 계약한 건 처음이다.   2000년대 초반 한국 축구 선수들이 유럽 무대에 뛰어든 것과 비견될 만하다.  유럽에서 사이클 도로 경기의 인기는 대단하다.   ‘투르 드 프랑스’, ‘지로 디탈리아’ 등 인기 대회에 출전하는 스타 선수는 연봉과 광고 수입 등으로 연간 수십억원을 번다.   여자 종목 인기는 남자보다 조금 덜해도 간판급 선수는 억대 연봉을 받는다.   나아름은 ""팀에서 태극기가 들어간 유니폼을 준비해줘 기뻤다""고 했다.   그는 ""음식은 가리지 않는 편이라 잘 적응했다.   다만 휴식이 없어 체력적으로 힘들었다""고 했다.   막상 시작했지만 쉽지 않았다.   소속팀 상주시청, 이탈리아 알레-치폴리니 팀, 국가대표팀까지 세 가지 일정을 동시에 소화해야 했다.   두 차례 유럽에 건너가 10여개 대회에 출전했다.   한 달에 한 번 정도 출전하는 국내 일정에 비해 엄청난 강행군이다.   그 와중에도 유럽 데뷔전에서 13위에 오르고, 전국체전에선 3관왕을 차지했다.   지난해 월드컵 3차 대회에선 이주미(32), 강현경(25), 장수지(23)와 함께 사상 처음으로 단체추발 메달(3위)을 땄다.  ",2020년 도쿄 올림픽 사이클 경기에서 한국 여자 사이클 선수들은 메달을 목표,0.7074353098869324
summarization,7,sample_model,"다음 글을 한국어 한 문장으로 요약해줘:  핵은 손에 든 채 제재는 해제해 달라는 북한식 셈법은 핵확산금지조약(NPT)에 정면 배치된다.   트럼프의 국내 정치 계산에 특히 맞지 않는 거래다.   그는 3차례 김정은을 만나고 군사 훈련을 축소한 것만으로도 북한의 그간 행동에 충분한 대가라고 생각한다.   제재 해제를 위해서는 우라늄 농축 금지와 이를 사찰·검증하는 장치에 합의하라는 것이다.   이미 제조한 핵무기는 언젠가 폐기한다는 원칙에만 우선 합의하자고 한다.   논리적으로는 접점이 불가능한 것은 아니다.   그러나 김정은은 언제 바뀔지 모르는 미국의 정치, 특히 트럼프를 믿고 한번 내놓으면 되돌릴 수 없는 사찰·검증 카드를 먼저 던지는 모험을 하지 않으려 한다.   트럼프는 2018년 4월 귀가 솔깃해서 ‘북핵 폐기 재개발 외교’에 착수했다.   그러나 실상을 알고 나서는 기대를 접어가고 있다.   김정은에게는 작은 명분이라도 주어서 상황 악화를 막아보려 할 것이다.   재개발 외교의 현장은 방위비 분담과 무기 판매로 옮기는 중이다.   중국은 어떤가.   김정은은 2018년부터 계기마다 시진핑을 찾았다.   중국의 참여는 북한 문제의 관건이다.   그런데 지난해 미국이 중국 봉쇄를 겨냥한 인도·태평양 전략을 내놓았다.   미·중 무역 전쟁의 파장과 함께 중국이 한반도 문제를 두고 미국과 타협할 여지는 더욱 축소되고 있다.   중국은 러시아와 함께 지난달 유엔 안보리 대북 제재를 해제하자는 결의안을 제출했다.   남북 철도·도로 연결도 허락하자는 것이다.   여차하면 대북 추가 제재를 들고나올 미국에 대해 미리 맞불을 놓았다.   지난해 6월 시진핑이 평양을 방문해 “조선의 합리적 안보 우려와 발전의 관심사를 해소할 수 있도록 힘이 닿는 한 도울 것”이라고 공개 약속한 것과 맥이 닿아 있다.    베이징-도쿄 악수하면 서울 작아져 중국과 러시아는 또 북·미 협상에 맥이 빠지는 것을 보고 2008년 말 이래 사장 상태에 있는 6자회담을 들고 나왔다.   미국은 물론 북한도 달가워하지 않을 제안이다.   하지만 6자회담 재개 시도는 어느 정도 동력을 유지할 가능성이 있다.   일본은 자신이 소외된 상태에서 한반도 정세가 질적으로 변화할 가능성을 늘 경계한다.   그래서 평창올림픽 이후 전개된 드라마를 주시했다.   그러나 우려할 만큼 판이 바뀔 가능성이 없다는 것을 감지했다.   만약 한반도 정세에 지각 변동이 일었다면 지금의 한·일 관계도 달리 전개되었을 것이다.  ",이 글에서는 북한이 핵을 보유하고 제재 해제를 요구하는,0.6956431269645691
summarization,8,sample_model,"다음 글을 한국어 한 문장으로 요약해줘:  이처럼 소비자의 외식 트렌드는 시시각각 변하고, 변화에 맞게 신메뉴가 개발되고 신사업이 떴다가 사라지는 현상은 반복된다.   소비자의 외식 소비형태의 데이터 못지않게 향후 어떤 트렌드로 소비자가 외식을 선택해 나갈 것인가를 예측하지 않고서는 치열한 정글의 늪에서 살아남을 수 없다.    지난 11월 28일 농림식품부 주관으로 양재동 서울 AT 센터에서는 2020년 떠오르는 외식경향 발표가 있었다.   그 세미나에서 2020년 외식경향 핵심 키워드로 그린 오션(Green Ocean) 시장의 부각, 바이 미 포 미(Buy me-For me) 소비경향, 멀티 스트리밍(Multi Streaming) 소비, 편리미엄 외식의 확대를 선정했다.    그린오션은 채식전문 식당인 비건(Vegan)레스토랑, 식물성고기 메뉴, 일회용 플라스틱 제품의 근절 등 친환경 요소로 가치를 부여해 새로운 부가가치를 창출하고자 하는 시장을 의미한다.    Buy me-For me는 나만의 개성 있는 만족과 즐거운 경험을 중요시하는 밀레니얼 세대를 중심으로 퍼지고 있는 나를 위한 소비 경향을 말한다.   이 세대는 내가 사고자 하는 제품 혹은 식당이 다소 비싸더라도 자신의 감성적인 욕구를 충족시켜 줄 수 있다면 과감히 선택하는 속성을 가지고 있기 때문에 이들을 겨냥한 한정 메뉴의 개발 등을 접목해 볼 수 있다.   멀티 스트리밍 소비형태는 유튜브, 인스타그램, 페이스북 등 다양한 사회관계망 채널을 통해 외식소비 감성을 자극하고 유도하는 콘텐츠 중심 마케팅 활동을 의미한다.   스마트폰이 대중화된 이후 매년 급신장하고 있고, 외식업계에서도 이를 적극적으로 활용해 젊은 층 고객 확보에 주력하고 있다.   편리미엄은 현재 27%를 넘어서고 있는 1인 가구를 겨냥한 편리함과 프리미엄을 함께 추구하는 현대 사회의 소비성향을 말한다.   가정대용식 상품의 고급화, 프리미엄 음식 포장과 배달메뉴의 개발, 집에서 와인과 함께 고급 레스토랑의 분위기를 느끼며 한 끼 식사를 즐길 수 있는 프리미엄 밀 키트(Meal kit) 제품의 등장 등이 예상된다.    끝으로 현재 전국적으로 확산되고 있는 공유주방 사업은 침체하고, 오히려 작은 공간에서 다양한 메뉴를 아웃소싱 제품으로 단순화시켜 가정과 직장으로 신속히 배달하는 공유메뉴 사업이 부각되리라 여겨진다.    이제까지 고객의 접근성이 높은 좋은 입지에 제대로 된 투자를 해 고객을 유치하던 외식시장은 편리함과 가치를 추구하는 밀레니얼 세대의 등장으로 점차 사라지고, 적은 투자로 가심비 높은 메뉴를 개성 있게 제공하는 외식공간이 그 자리를 차지하게 될 것이다.  ","이 글은 소비자의 외식 트렌드가 급격하게 변화하는 가운데,",0.6606651544570923
summarization,9,sample_model,"다음 글을 한국어 한 문장으로 요약해줘: “안철수 전 대표가 그분들을 만날 계획은 현재로썬 전혀 없습니다.  ” 2일 안철수 전 국민의당 대표의 정계 복귀 소식이 전해진 직후 안 전 대표 측 인사는 “귀국 후 황교안 자유한국당 대표, 유승민 전 바른미래당 대표와 만날 가능성이 있느냐”는 질문에 이렇게 답했다.    이 인사는 보수통합보다는 독자 세력화를 통해 4월 총선에 뛰어들 가능성에 더 무게를 뒀다.   안 전 대표 귀국 시점에 대해선 “설 명절인 1월 24일 전에는 들어올 것 같다”며 “총선 준비가 시급한 만큼 안철수계 의원들도 하루라도 빨리 (안 전 대표가) 오길 바라고 있다“고 전했다.      ◇독자 세력화 가능성= 안 전 대표는 이날 오전 페이스북에 올린 글을 통해 “이제 돌아가서 어떻게 정치를 바꾸어야 할지, 어떻게 대한민국이 미래로 가야 하는지에 대해 상의 드리겠다”고 밝혔다.   그러면서 “외로운 길일지라도 저를 불러주셨던 국민의 마음을 소중히 돼 새기면서 가야 할 길을 가겠다”고 밝혔다.    정치권은 ‘외로운 길 일지라도’라는 대목에 주목하며 현재 민주당-한국당 양당에 편입하지는 않을 것이란 전망이 많다.   이날 안 전 대표는 기존 정치권에 대해 “이념에 찌든 착취 세력”, “낡은 정치와 기득권” 등으로 표현했다.   안 전 대표 측은 중앙일보와의 통회에서 “옳은 길이면 그 길이 힘들고 외롭더라도 가겠다는 게 오늘 메시지의 핵심”이라고 했다.   가능성이 높은 시나리오는 바른미래당 안철수계 현역 의원과 원외 위원장 등을 중심으로 독자 세력화를 하는 거다.   안철수계 현역은 권은희 의원(광주 광산을)과 비례대표인 이태규 ㆍ이동섭ㆍ김수민ㆍ김중로ㆍ신용현ㆍ김삼화 등이다.   이들 중 일부는 이날 모처에 모여 안 전 대표를 중심으로 향후 어떻게 움직일지에 대해 논의했다.       ◇중도보수 통합= 또 다른 시나리오는 바른미래당으로 컴백해 당을 '접수'하는 방식이다.   이를 구심점으로 중도, 보수진영을 아우르는 ‘통합설’도 제기된다.     바른미래당 공동창업주였던 유승민 의원은 이미 신당 창당에 나섰다.   남은 건 손학규계와 호남계다.   손학규 바른미래당 대표는 이날 안 전 의원의 정계 복귀에 “적극 환영한다”며 “안 전 대표가 요구하는 바를 최대한 들어주겠다”고 말했다.   다만 손 대표는 ""안 전 대표가 돌아와 당권을 요구할 땐 대표직을 내려놓을 생각이 있느냐""는 질문에는 “지금 단계에서 가정해서 답할 부분은 아니다”라며 “안 전 대표가 돌아오면 대화를 해 보겠다”고 했다.  ",안철수 전 국민의당 대표는 2019년 1월 24일 정계 복귀를,0.6792101263999939
summarization,10,sample_model,"다음 글을 한국어 한 문장으로 요약해줘:   해외여행이 자유화되고 국민 소득이 뛰면서 참치캔의 위상에도 변화가 생겼다.   동원은 살코기 캔 이외에 야채참치, 고추참치 등 다양한 맛을 더한 참치캔을 개발해 선보이기 시작했다.   더는 ‘고급식품’ 반열엔 끼진 못했지만, 편의식품이라는 자리를 차지해 단단히 지키고 있다.     90년대 학생 도시락 반찬으로 주목 90년대 이후 참치캔은 도시락 반찬으로 인기를 누렸다.   고학력 사회로 접어들며 맞벌이 부부가 등장하기 시작했고, 참치캔은 엄마에게는 준비하기 간편하면서 학생은 좋아하는 도시락 반찬이었다.   여행, 바캉스 등 여가 활동도 늘어나 참치캔을 비롯한 편의식품 시장은 계속 성장했다.   도시락 반찬이나 여행 필수품으로 참치가 빠지지 않았다.   하지만 2000년대 들어 갖가지 편의식품이 등장하면서 굳건했던 동원 참치캔의 입지도 위협을 받기 시작했다.    워낙 간편식이 많이 나왔고 통조림은 몸에 나쁘다는 인식도 위기를 부추겼다.   중고등학교 급식 시행으로 도시락 반찬 수요도 줄었다.   위기를 헤쳐나가기 위해 동원F&B는 참치를 건강식품으로 부각했다.   참치는 고단백 저지방 수산물로 칼슘, DHA, EPA, 단백질, 오메가6, 비타민 등 인체에 유익한 영양성분이 들어있다는 점을 강조했다.   또 임산부, 수유 여성, 어린이 등은 영양이 풍부한 참치캔을 일주일에 230~340g씩 꾸준히 먹으라는 권고안을 소개하는 노력도 했다.    펭수와 협업, 제2의 전성기 누릴까 ‘통조림’ ‘간편식’ 이미지를 희석하는 것도 과제였다.   끈기 있는 마케팅에 힘입어 2003년 2000억을 넘어서면서부터 정체를 겪고 있던 연간 매출액이 지난 2011년 처음 3000억을 돌파했다.  동원참치는 지난해 화제의 펭귄, 펭수 때문에 뜨거운 브랜드가 됐다.   펭수는 EBS 연습생 신분으로 유튜브 채널 ‘자이언트 펭TV’에서 활약하고 있는데, 남극에서 온 펭귄인 펭수는 참치 마니아로 유명하다.   펭수는 지난 9월 동원참치 CF를 패러디한 헌정 영상을 유튜브 채널에 공개하기도 했으며, 최근 구독자 100만 명 돌파 기념 방송에서는 스튜디오에 대형 참치캔을 방송 내내 비치해두기도 했다.   ‘펭수야 참치길만 걷자’라는 문장은 펭수 팬클럽인 ‘펭클럽’의 대표적인 응원 문구다.   동원F&B 관계자는 “동원참치와 펭수의 콜라보를 촉구하는 펭클럽의 문의가 쇄도했다”며 “펭수에게 제대로 된 ‘동원참치길’을 만들어주기 위해 꼼꼼하게 협업을 준비했다”고 말했다.  ",이 글에서는 한국에서 참치캔의 위상이 어떻게 변화했는지 설명,0.7246650457382202
summarization,11,sample_model,"다음 글을 한국어 한 문장으로 요약해줘: “시간과 재원만 낭비하는 상황이 반복되면서 자칫 중구난방의 해가 될까 두렵다.  ”이헌재 전 경제부총리의 새해 전망은 엄혹했다.   '위기 해결사'로 불리는 그조차도 걱정이 해법보다 앞서는 듯했다.   이 전 부총리는 ""반등의 계기를 찾지 못한 채 2019년이 지나 가버렸다""며 ""올해는 더 어려워질 수도 있다""고 말했다.   정부 경제 정책에 대한 쓴소리도 했다.   재정 지출을 늘렸지만 일자리, 소비, 투자가 늘어나지 않은 데 대해 ""타겟팅이 잘못됐다""고 꼬집었다.   구조적 문제와 4차 산업 혁명 등이 얽힌 복합적 위기인데 단순 경기 변동으로 인식한데 따른 결과라는 지적이다.   국민에게 희망을 주지 못하는 정치·사회적 상황에 대한 답답함도 토로했다.   그는 ""문재인 정부는 깜깜절벽이고 야당은 더 답답하다""고 일갈했다.   민간 싱크탱크인 여시재는 2일 이런 내용의 이 전 부총리(여시재 이사장) 인터뷰를 전했다.   전문은 여시재 홈페이지(yeosijae.  org)에서 볼 수 있다.   다음은 일문일답 요약.    “재정확장, 고용·소비·투자 자극 못 해” 지난해 경제를 평가한다면.   전망했던 것보다 더 나빴던 것 같다.   변화에 대한 준비도 별로 눈에 띄지 않았다.   정부의 정책 또한 적절하지 못했다.   낮아진 잠재성장률만큼도 성장하지 못했다는 건 심각하다.    올해 전망은.  올해도 어려울 것이라 본다.   더 어려워질 수도 있다.   (지난해에 이어) 올해도 비상배낭을 준비해두라고 부탁드리고 싶다.   재정지출이 고용과 소비·투자를 보장하지 않고 그 추세선도 내려가고 있다.   연말 실물 지표가 몇 가지 호전되는 조짐이지만, 더 중요한 것은 경제의 토대다.    “단기적 경기변동 아닌 구조적 전환, 재정도 '방향' 있어야”정부 경제 정책에 대해 논란이 많다기본적으로 큰 방향이 잘못됐다.   재정 확대 타게팅이 잘못됐다고 생각한다.   내부의 구조적 전환에는 눈을 감고, 단순히 경기 변동적 현상으로 (위기를) 인식한 데 따른 것이다.   무엇보다 기업의 투자를 자극하지 못했다.   재정 확장이 문제라는 의미인가.   그렇다기보다 재정 지출은 늘었지만, 쓸모가 없다는 의미다.   경기변동과 구조변환이 중첩돼있는데 이에 대한 체계 없이 재정지출을 늘리다 보니 공적인 부담만 늘었다.   미스타게팅(mistargeting)이다.   올해 예산도 기존 정책의 연장 선상에서 짜인 것이기 때문에 더 어려워질 수 있다고 얘기하는 것이다.  ",이 전 부총리는 인터뷰에서 2019년에 경제가 반등하지 못한 것,0.7444251775741577
