task_name,index,model_name,prompt,output,score
number_3,1,gemini-pro,1분의 2을 수로 바꾸어서 출력해줘,0.5,0
number_3,2,gemini-pro,1분의 3을 수로 바꾸어서 출력해줘,0.3333333333333333,0
number_3,3,gemini-pro,1분의 4을 수로 바꾸어서 출력해줘,**0.25**,0
number_3,4,gemini-pro,1분의 5을 수로 바꾸어서 출력해줘,0.2,0
number_3,5,gemini-pro,1분의 6을 수로 바꾸어서 출력해줘,0.166666666667,0
number_3,6,gemini-pro,1분의 7을 수로 바꾸어서 출력해줘,0.142857,0
number_3,7,gemini-pro,1분의 8을 수로 바꾸어서 출력해줘,0.125,0
number_3,8,gemini-pro,1분의 9을 수로 바꾸어서 출력해줘,0.111111111,0
number_3,9,gemini-pro,2분의 1을 수로 바꾸어서 출력해줘,0.5,0
number_3,10,gemini-pro,2분의 3을 수로 바꾸어서 출력해줘,0.6666666666666666,0
number_3,11,gemini-pro,2분의 4을 수로 바꾸어서 출력해줘,0.5,0
number_3,12,gemini-pro,2분의 5을 수로 바꾸어서 출력해줘,0.4,0
number_3,13,gemini-pro,2분의 6을 수로 바꾸어서 출력해줘,0.33,0
number_3,14,gemini-pro,2분의 7을 수로 바꾸어서 출력해줘,0.2857142857142857,0
number_3,15,gemini-pro,2분의 8을 수로 바꾸어서 출력해줘,0.25,0
number_3,16,gemini-pro,2분의 9을 수로 바꾸어서 출력해줘,0.6666666666666666,0
number_3,17,gemini-pro,3분의 1을 수로 바꾸어서 출력해줘,0.33,0
number_3,18,gemini-pro,3분의 2을 수로 바꾸어서 출력해줘,0.6666666666666666,0
number_3,19,gemini-pro,3분의 4을 수로 바꾸어서 출력해줘,0.75,0
number_3,20,gemini-pro,3분의 5을 수로 바꾸어서 출력해줘,0.6,0
number_3,21,gemini-pro,3분의 6을 수로 바꾸어서 출력해줘,0.5,0
number_3,22,gemini-pro,3분의 7을 수로 바꾸어서 출력해줘,0.4285714285714286,0
number_3,23,gemini-pro,3분의 8을 수로 바꾸어서 출력해줘,0.375,0
number_3,24,gemini-pro,3분의 9을 수로 바꾸어서 출력해줘,0.333333333333,0
number_3,25,gemini-pro,4분의 1을 수로 바꾸어서 출력해줘,0.25,0
number_3,26,gemini-pro,4분의 2을 수로 바꾸어서 출력해줘,0.5,0
number_3,27,gemini-pro,4분의 3을 수로 바꾸어서 출력해줘,0.75,0
number_3,28,gemini-pro,4분의 5을 수로 바꾸어서 출력해줘,0.8,0
number_3,29,gemini-pro,4분의 6을 수로 바꾸어서 출력해줘,0.6667,0
number_3,30,gemini-pro,4분의 7을 수로 바꾸어서 출력해줘,0.571428571429,0
number_3,31,gemini-pro,4분의 8을 수로 바꾸어서 출력해줘,0.5,0
number_3,32,gemini-pro,4분의 9을 수로 바꾸어서 출력해줘,0.25,0
number_3,33,gemini-pro,5분의 1을 수로 바꾸어서 출력해줘,0.2,0
number_3,34,gemini-pro,5분의 2을 수로 바꾸어서 출력해줘,0.4,0
number_3,35,gemini-pro,5분의 3을 수로 바꾸어서 출력해줘,0.6,0
number_3,36,gemini-pro,5분의 4을 수로 바꾸어서 출력해줘,0.8,0
number_3,37,gemini-pro,5분의 6을 수로 바꾸어서 출력해줘,0.83333,0
number_3,38,gemini-pro,5분의 7을 수로 바꾸어서 출력해줘,0.71429,0
number_3,39,gemini-pro,5분의 8을 수로 바꾸어서 출력해줘,0.625,0
number_3,40,gemini-pro,5분의 9을 수로 바꾸어서 출력해줘,0.5555555...,0
number_3,41,gemini-pro,6분의 1을 수로 바꾸어서 출력해줘,0.166666,0
number_3,42,gemini-pro,6분의 2을 수로 바꾸어서 출력해줘,0.333333,0
number_3,43,gemini-pro,6분의 3을 수로 바꾸어서 출력해줘,0.5,0
number_3,44,gemini-pro,6분의 4을 수로 바꾸어서 출력해줘,0.6666666666666666,0
number_3,45,gemini-pro,6분의 5을 수로 바꾸어서 출력해줘,1.2,0
number_3,46,gemini-pro,6분의 7을 수로 바꾸어서 출력해줘,0.857143,0
number_3,47,gemini-pro,6분의 8을 수로 바꾸어서 출력해줘,0.75,0
number_3,48,gemini-pro,6분의 9을 수로 바꾸어서 출력해줘,0.6,0
number_3,49,gemini-pro,7분의 1을 수로 바꾸어서 출력해줘,0.142857,0
number_3,50,gemini-pro,7분의 2을 수로 바꾸어서 출력해줘,0.8571428571428571,0
number_3,51,gemini-pro,7분의 3을 수로 바꾸어서 출력해줘,0.71428571,0
number_3,52,gemini-pro,7분의 4을 수로 바꾸어서 출력해줘,0.5714285714,0
number_3,53,gemini-pro,7분의 5을 수로 바꾸어서 출력해줘,0.85714285714,0
number_3,54,gemini-pro,7분의 6을 수로 바꾸어서 출력해줘,1.1428571428571428,0
number_3,55,gemini-pro,7분의 8을 수로 바꾸어서 출력해줘,0.875,0
number_3,56,gemini-pro,7분의 9을 수로 바꾸어서 출력해줘,0.8571428571428571,0
number_3,57,gemini-pro,8분의 1을 수로 바꾸어서 출력해줘,"수로 바꾸어서 출력할 때는 12.5로 소수점 두 자리로 출력해야 합니다. 
0.125",0
number_3,58,gemini-pro,8분의 2을 수로 바꾸어서 출력해줘,0.25,0
number_3,59,gemini-pro,8분의 3을 수로 바꾸어서 출력해줘,0.375,0
number_3,60,gemini-pro,8분의 4을 수로 바꾸어서 출력해줘,0.5,0
number_3,61,gemini-pro,8분의 5을 수로 바꾸어서 출력해줘,0.625,0
number_3,62,gemini-pro,8분의 6을 수로 바꾸어서 출력해줘,0.75,0
number_3,63,gemini-pro,8분의 7을 수로 바꾸어서 출력해줘,1.14285714286,0
number_3,64,gemini-pro,8분의 9을 수로 바꾸어서 출력해줘,0.8888888888888888,0
