task_name,index,model_name,prompt,output,score
translation/techsci,1,gemini-pro,다음 문장을 영어로 번역해 줘. 정부 또는 특정 행위자의 이익을 대변하는 협력체가 아닌 지역들 간 전방위적인 교류 및 협력 강화를 통해 아시아와 유럽 지역의 상호 이해를 증진하는 지역 협력체라고 할 수 있는 것이다.,"A regional cooperative body that can enhance mutual understanding between Asia and Europe through all-dimensional exchanges and cooperation among regions, rather than a cooperative body representing the interests of governments or particular actors.",26.41240248440852
translation/techsci,2,gemini-pro,"다음 문장을 영어로 번역해 줘. 역이야말로 식민지인의 시간과 일상은 물론 정신까지 통제할 수 있는 가장 기본적인 장치로서, 식민지 경영상 활용도가 대단히 큰 까닭이다.","That's why the prison, where the colonizers could control the time, daily lives, and even minds of the colonized, was such a fundamental mechanism for managing colonies.",6.757878745244754
translation/techsci,3,gemini-pro,다음 문장을 영어로 번역해 줘. 비디오 인코더(20)는 서브-DPB 파라미터들이 다수의 서브-계층들에 대해 시그널링될 수도 있다는 것을 표시하기 위해 플래그를 제2 값으로 설정할 수도 있다.,The video encoder (20) may also set the flag to the second value to signal that sub-DPB parameters may be signalled for a plurality of sub-layers.,31.040711939584156
translation/techsci,4,gemini-pro,다음 문장을 영어로 번역해 줘. 중소서점이 중소 출판사를 후원해 새롭고 특색 있는 책을 출판하도록 돕는다는 겁니다.,Small bookstores sponsor small publishing companies to help publish new and distinctive books.,11.325857976105244
translation/techsci,5,gemini-pro,"다음 문장을 영어로 번역해 줘. 상기 미리보기 이미지들에 해당하는 상기 오브젝트에 대한 드래그 또는 호버링(232)인 상기 사전 실행 컨트롤 제스처에 대응하여, 상기 제어부(110)는 상기 미리보기 이미지들(240, 242, 244)을 전개할 수 있다.","In response to the aforementioned pre-execution control gesture, which is a drag or hovering (232) over the aforementioned object corresponding to the aforementioned preview images, the control portion (110) may expand the preview images (240, 242, 244).",33.417809685514484
translation/techsci,6,gemini-pro,"다음 문장을 영어로 번역해 줘. 조선 로동당 창당 당시 당무 전반을 총괄하는 당 비서직이 신설되었고, 제1비서에 고려인 AAA1, 제2비서에 남로당의 AAA2, 제3비서에 남로당의 AAA3이 선출되었다.","When the Workers' Party of Korea was founded, the posts of party secretaries were newly created to oversee all the party affairs, and AAA1, who was Korean, was designated as the First Secretary, AAA2 from the South Korean Labor Party as the Second Secretary, and AAA3 from the South Korean Labor Party as the Third Secretary.",18.68030179919485
translation/techsci,7,gemini-pro,"다음 문장을 영어로 번역해 줘. 사회 전반적으로 급격하고 동시다발적인 변화가 발생하면서 모든 정치 및 사회 세력의 해방(emancipation), 즉 대중의 정치참여가 촉발되었다.","Emancipation of all political and social forces, or mass political participation, has been triggered in societies where abrupt and simultaneous changes have taken place in the whole society.",25.254894486288165
translation/techsci,8,gemini-pro,"다음 문장을 영어로 번역해 줘. 이러한 갈등은 현 정부의 탈원전 선언과 이에 따라 단기적으로는 온실가스 저감을 위해 최적화된 전원 구성이 보다 어려워진 구조적 제약에 따라, 향후 보다 심화할 가능성이 높다고 할 수 있다.","Such a conflict might likely be intensified in the future due to constraints dictated by this current government’s nuclear phase-out declaration, which structurally makes an electricity mix optimized for short-term GHG reduction more difficult.",9.759732470219959
translation/techsci,9,gemini-pro,다음 문장을 영어로 번역해 줘. 이집트 경찰은 최루가스를 쏘며 시위대를 해산했고 시위 참가자 중 23명을 체포했다.,Egyptian police fired tear gas to disperse protesters and arrested 23 participants in the demonstration.,14.247788801610149
translation/techsci,10,gemini-pro,다음 문장을 영어로 번역해 줘. 결장암 검사에 사용되는 컴퓨터 단층촬영(CT)의 위험성에 대한 정부 전문가들의 경고를 미국 식품의약국(FDA)이 무시한 것으로 드러났다고 BBB 인터넷판이 28일 보도했다.,"FDA Overruled Government Expert Warnings of CT Scan Radiation Dangers Used in Colon Cancer Screenings, Says BBB report, 28",0.9082863705226532
translation/techsci,11,gemini-pro,"다음 문장을 영어로 번역해 줘. 이어 ""우리는 매 순간 상황을 감시하고 있으며 데이터를 분석하고 있다""며 ""WHO는 만일 그 증거들이 뒷받침된다면 코로나19를 팬데믹이라고 표현하는 데 주저하지 않을 것""이라고 알렸다.","We’re monitoring the situation every hour and analyzing the data, WHO said, adding that it wouldn’t hesitate to characterize the coronavirus outbreak as a pandemic if the evidence supported it.",15.227260025365172
translation/techsci,12,gemini-pro,다음 문장을 영어로 번역해 줘. 기능 모드의 항목 리스트(340)는 홈 화면(310)과 관련되어 휴대 단말기에서 수행될 수 있는 기능 모드로의 진입을 안내하기 위한 리스트일 수 있다.,The items list (340) of function mode can be a list for guiding an entry to the function mode that can be executed in the mobile terminal in association with the home screen (310).,21.49235391588809
translation/techsci,13,gemini-pro,"다음 문장을 영어로 번역해 줘. 이는 일 예일 뿐, 캐퍼빌리티에 관한 정보에는 단말(920)에서 지원하는 코덱에 관한 정보가 포함될 수도 있다.",This is just one example; the information about capabilities may also include information about codecs supported by the terminal (920).,15.306882399696512
translation/techsci,14,gemini-pro,다음 문장을 영어로 번역해 줘. 일부 실시형태에 있어서는 모바일 디바이스(100)의 후면으로부터의 호버 모션의 깊이 또는 높이가 줌 인-줌 아웃 인자로서 역할을 할 수 있다.,"In some embodiments, the depth or height of the hover motion from the back of the mobile device (100) can serve as a zoom in-zoom out factor.",58.0071841854459
translation/techsci,15,gemini-pro,다음 문장을 영어로 번역해 줘. 국제협약 가운데 가장 많은 196개국이 가입한 것은 아동 문제에 관해서는 나라마다 이견이 없다는 뜻이다.,"The most widely adopted of all international conventions – ratified by 196 States – the Convention on the Rights of the Child is based on the idea that all children, everywhere, are entitled to the same rights, without discrimination.",3.236535997754842
