task_name,index,model_name,prompt,output,score
summarization,1,gpt-3.5-turbo,다음 글을 한국어 한 문장으로 요약해줘:  세상 사람이 세운을 말할 때에는 반드시 선친의 이름을 들었다. 늘 선친의 공에 비겨서 아들의 하는 일이 판단되었다. 아들의 하는 일은 선친의 공을 한층 빛내거나 그렇지 않으면 욕되게 하는 두 가지 길밖에 없다. 세운이 잡지사업을 생각한 것은 선친의 사업에 한 가지를 더하고자 함이었음은 물론이다. 사업을 처음 시작할 때에는 세상은 부전자전의 공덕이라고 찬양하면서 세운의 뜻을 한없이 칭찬하던 것이 한 번 실패하게 될 때 인심의 표변은 손바닥을 번기는 것보다도 빨랐다. 요사이의 세운의 처신은 온전히 선친의 이름을 그르치고 욕되게 함에 지나지 않은 셈이었다. 자기 한 몸의 번민뿐만이 아니라 선천의 사적까지를 들어서 생각할 때 세운의 괴롬은 뼈를 가는 지경이었다. 향나무의 운명은 선친의 운명만이 아니라 세운 자신에게 보내는 암시나 너무도 컸던 것이다. 주리와 월매가 반드시 원인은 아니었다. 그러나 그들에게서 발붙일 곳을 완전히 잃은 것은 사실이었다. 오후는 되어서 세운은 또─그것이 마치 운명인 듯이 집을 나섰다. 마지막이 될는지도 모르는 향나무를 다시 더 바라보기도 싫어서 부랴부랴 대문을 나섰다. 요정 이층에 올라 완전히 하루의 화대를 달고 오래간만에 월매를 부른 것은 물론 애착도 미련도 아니었다. 다만 그의 마음을 한 번 더 낚구어 보자는 것이었다. 술이 웬만큼 돈 후에야 비로소 피차에 말이 있었다. “간밤 일 용서해 주시겠죠─직업이 시키는 노릇이지 진정이야 설마 버렸겠어요.” “요 가살이 같으니 그 수로 몇 놈이나 녹여 냈니.” 세운은 놈팽이가 누구냐고는 묻지도 않고 다짜고짜로 월매의 볼을 부리나케 갈겼다. 월매는 혼을 뽑히우고 한편으로 몸이 쓰러지는 지경이면서도 한마디 항력도 없었다. ,"세상에 있는 사람들은 반드시 선친의 이름을 언급해야 할 때가 있었다. 아들의 행동은 반드시 선친의 평판에 영향을 미치며, 아들은 선친의 명예를 지킬 수 있는 방법 밖엔 없었다. 세운은 잡지사업을 시작한 것은 선친의 사업을 단순히 확장하고자 했기 때문이었다. 그러나 사업이 실패하면서 세운의 평판은 급격하게 변했다. 세운은 자신의 고난뿐만 아니라 선친의 사적까지 고려할 때, 자신의 괴로움은 더욱 심각했다. 세운은 주리와 월매 때문은 아니었지만, 그들에게는 신뢰할 곳을 잃은 것은 사실이었다. 저녁이 되고 세운은 마치 운명인 듯이 집을 떠났다. 오랜만에 월매를 만나기 위해 이층으로 올라간 세운은 그녀의 마음을 한 번 더 확인하고자 했다. 술을 마신 후에야 진실이 드러났다. ""어제 밤에는 용서해 줘야지 - 직업 때문에 그랬을 뿐이야, 버린 게 아니라고."" ""네가 이 회사에서 얼마나 많은 사람들을 포옹 시켰니?"" 세운은 월매의 볼을 다그쳐 문질렀다. 월매는 혼을 뽑히면서 몸이 휘청거리고 있었지만, 항복할 힘도 없었다.",0.6699063181877136
summarization,2,gpt-3.5-turbo,"다음 글을 한국어 한 문장으로 요약해줘: 1964년, 영국의 한 방송국은 전국에서 다양한 배경을 가진 7살짜리 아이들을 모아, 7년마다 그 아이들을 만나며 각자의 삶을 추적했다. 인생을 충분히 즐긴 후에 결혼하겠다던 수는 24살이라는 이른 나이에 결혼을 했다가 35살에 싱글 맘이 됐고, 런던의 어린이 보호 시설에서 자란 폴은 자신감 부족으로 어려움을 겪었지만 그런 그를 이해해 주는 아내와 함께 행복한 가정을 이뤘다. 청년 시절에 무심코 정치에 대한 뜻을 내비쳤던 닐은 수년 동안 노숙자 생활을 했지만, 스스로의 예상을 뒤엎고 지역 정치인으로 변신했으며, 언론의 관심이 부담스러워 28세 이후로 이 프로그램에서 빠졌던 피터는 자신의 밴드와 음악을 알리기 위해 다시 출연을 결정했다. 49년 전, 천진난만한 얼굴로 꿈을 이야기했던 어린 아이들은 56살이 된 지금, 그 꿈을 이뤘을까? 다양한 환경에서 태어난, 저마다 다른 성격과 꿈과 인생의 계획을 가진 사람들의 삶의 궤적을 따라가 본다.","영국의 한 방송국은 1964년부터 매 7년마다 다양한 배경을 가진 7살 아이들을 추적하는 프로그램을 만들어왔다. 그들 중 하나는 청년 시절 정치에 관심을 보였으며, 다른 한 명은 어릴 적 보호 시설에서 자랐지만 가정을 이루며 행복을 찾았다. 또다른 한 사람은 노숙자 생활 후 지역 정치인으로 전환하였고, 그리고 마지막으로 그 중 한 명은 음악을 통해 스스로를 표현하고자 프로그램에 다시 나올 결심을 했다. 이제 56세인 이들이 달성하고 있을까, 다양한 성격과 꿈, 인생 계획을 가진 사람들의 삶을 살펴본다.",0.6582788228988647
summarization,3,gpt-3.5-turbo,"다음 글을 한국어 한 문장으로 요약해줘:  밤을 그리하여 이럭저럭 무사히 밝히고 나니, 자칫 오밤중에 그 사나운 물이 와 르르 달려들고 보았으면 어떻게 갈망을 했을 것인고 하여, 새삼스럽게 정신이 나 간 것 같았다. 제풀 그렇게 무사했으니, 헛되이 지키며 수고한 보람이 없은 셈이나, 무릇 그 수고를 하고 혹은 정성을 들이고 한 보람이 없은 것이 도리어 생광이요 다행일 적도 더러는 이렇듯 없지가 않은 것이, 비컨댄 맥주에 탄 쓴 맛처럼, 인간 살기 의 역시 한 맛이 아니런가 싶었다. 아무려나 밤은 그런 대로 무사히 넘겼다지만 비는 종시 악수로 내리고 조금도 뜸하는 기미가 없고 꼭 한 대중이었다. 그런 깐으로 하면, 전번이나 전전번의 경 과에 비추어, 여지껏 물이 넘치지 않고 있다는 것이 오히려 수상쩍은 일이었다. 매양 그러므로 밤 동안이 어떻게 해서 면급이 되었을 따름이지, 즉 파국이 시간 적으로 다소간 천추가 되었을 따름이지, 혹여 그것이 해소가 된 것은 아닐 터이 었다. 바야흐로 시방 각 일각 닥쳐오며 있는지도 몰랐다. 시방 이 시각쯤, 그 절 정일는지도 몰랐다. 아깟 번 다섯시 반에 정각하여 나가 보았을 때, 목척 한 자로부터 두 자 가량이 남기는 남았었다. 그렇지만 물이 제대로 불기로 들면, 다직 목척이나 한두 자 같은 것은 문제도 되지 않았다. 30분이면 족했다. 기적은 있을 바가 만무하고, 짐작컨대 노적봉 아래 커브에서 히끼꼬미선의 철둑 이 암구(暗溝)가 터졌을 게 십상이었다. 거기가 터지면(전번에도 그랬지만) 어느 한도의 물은 그리로 해서 딴 골로 돌아 빠지게 마련인즉, 그 한도가 차기까지의 시간 동안은 급격한 증수가 없을 수도 있었다. ","밤에는 물이 넘치지 않아서 다행이었지만, 비는 계속 내리고 있었고 이런 상황에서는 얼마나 오랫동안 견딜 수 있을지 모르겠다. 그렇지만 물이 제대로 불기 시작하면 30분 정도면 충분히 대처할 수 있을 것이다. 하지만 짐작컨대 암구가 터지면 물이 다른 골로 흘러가기 때문에 그 시간까지는 급격한 증수가 없을 것이다.",0.7207549810409546
summarization,4,gpt-3.5-turbo,"다음 글을 한국어 한 문장으로 요약해줘:  ‘축 처지면 아까 해보듯이 귀가 울고 눈이 쏟아지려고 하고 코가 맹맹하 고 얼굴이 터지려고 하고 숨이 막혀서 대롱대롱 발버둥을 치고 혀를 기다랗 게 빼물고……’ 여기까지 생각하다가 그는 저도 모르게 “이그!” 소리를 내면서 상을 찌푸리고 몸서리를 친다. 마침 윙 소리가 나면서 손 구부렁이 같은 왕벌 한 마리가 뜽 날아들어 우 툴두툴한 참나무 우듬지에 앉는다. 이어 구멍에서 꼭 같은 놈 한 마리가 날 아 나간다. “벌 때미(때문에)못 올라가겄구만!” 덕쇠는 혼자 두런거리면서 다른 나무를 찾는다. 그러나 만만한 놈은 그리 없고, 있어도 모두 흠이 있다. “제미헐 것! 죽을래두 죽을 수가 있어야지!” 덕쇠는 마침내 골을 내어가지고 산에서 내려왔다. 산 밑에서 헐떡거리며 찾아다니는 순갑이를 만났다. “야 이 잡것아 ! 너 그럴 종(줄) 알었다 !” 순갑이는 덕쇠를 보기가 무섭게 이런 지천을 하면서 아직도 덕쇠가 손에 들고 있는 새끼토막에다가 눈을 흘긴다. 순갑이는 엊그제 덕쇠가 몸에 돈 백 원을 지녔을 때와 달라 도루 전처럼‘해라’를 하고 욕을 하며 흉허물 없 이 한다. 덕쇠는 히죽이 웃으면서 저도 새끼토막을 내려다본다. “그까짓 일루 목을 매달어 죽어 ? 왜 죽을라구 히여 ?” “히히, 그냥 그럴라구 히여 부았지, 이 사람아야 죽을라 닝개 못 죽겄 데……” “죽구 못 죽구 간에 무엇 때미 죽을라구 히여? 죽으면 죽는 놈만 원통허 지.” “그렇지만 하두 일이 허망허구 또……” “허망허구 걱정된다구 죽어 ? 야 이 자식아 그런 개 같은 소리 그만히여 두구 가자, 아까 그놈 삼 원허구 또 내가 개평 얻은 놈 일 원허구, 내가 받 어 두었으 닝개루 가서 술이나 실컷 먹자. 이놈으루 술 먹구 늑신취허구 나 서 그 돈 백 원으루 술 다 사 먹은 셈만 치면 그만 아니냐?” 덕쇠는 듣고 보니 미상불 그럴 듯했다. 아무튼 사 원 어치를 식전해장부터 둘이서 먹고 나면 취할 것은 취할 것이니, 그러면 돈 백 원으로 술을 다 사 먹은 셈 대고 잊어버리고 그러고 뒷일은…… 그것이 좀 딱하기는 하지만 그 래도 별수가 없는 것…… 이렇게(마음을 돌리지 아니한다고 해도 별수가 없기야 하지만) 덕쇠는 그 런 대로 단념을 하고 순갑이와 같이 전주집으로 가서 돈 사 원을 몽땅 맡겨 놓고 마치 돈 구십 원을 다 물어버린 분풀이 나 하는 듯이 술을 들이켰다. ",새끼토막에 손을 들이밀며 택시를 찾던 덕쇠는 마침 순갑이를 만나기에 그와 함께 전주집으로 가 술을 마시게 되었다.,0.7723441123962402
summarization,5,gpt-3.5-turbo,"다음 글을 한국어 한 문장으로 요약해줘:   지금까지 102개 시설을 점검하고, 방역수칙을 미준수한 10개소에 대해서는 5월 15일 시정명령을 내렸으며, 재점검을 통해 방역수칙 미이행 사례가 다시 적발될 경우 집합금지 명령을 발령할 예정이다.  정부는 현장점검과 함께 긴급재난문자 72회, TV자막방송 6회, 사회관계망서비스(SNS) 홍보 587회를 실시하여 국민이 생활 속 거리 두기 원칙을 지속 인지하고 이행할 수 있도록 홍보도 지속 추진하였다.   코로나19 감염 예방을 위한 마스크 착용 강조 등 안내 홍보  중앙재난안전대책본부는 국민 개개인이 방역 주체라는 인식을 갖고 생활 속 거리 두기 지침 등 방역수칙을 충실히 이행해 주시기를 바란다고 강조했다.    손 씻기와 기침 예절 마스크 착용 사람 간 거리 두기 사람 간 거리 두기 매일 2번 이상 환기와 주기적 소독 등 생활 속 거리 두기 기본 수칙  5월 16일 18시 기준, 3,137명이 신규 자가격리 대상자로 등록되고 3,174명이 해제되어 확진자 접촉하거나 해외에서 입국한 후 자가격리 중인 사람은 총 36,311명이다.   이 중 자택에서 자가격리 중인 격리자는 35,502명이며, 자택 격리자의 관리를 위해 필요한 ‘자가격리자 안전관리 앱’은 93.1% 설치되었다.  어제(5월 16일)는 무단이탈자 1명이 핸드폰 수리를 위해 이탈한 사례가 유선을 통해 확인되어 안심밴드를 착용하여 관리를 강화하기로 하였다.   지금까지 안심밴드 착용한 사람은 총 47명이며, 이 중 28명은 자가격리가 해제되어 현재 19명이 안심밴드를 착용하고 있다. ","정부는 102개 시설을 점검했고, 방역수칙을 준수하지 않은 10개소에 대해 5월 15일 시정명령을 내렸으며, 방역수칙을 다시 어기면 집합금지 명령을 내릴 예정이다. 이와 함께 현장점검과 함께 홍보를 실시하여 국민이 거리두기를 지속적으로 인지하고 이행할 수 있도록 지원하고 있다. 자가격리 대상자는 현재 36,311명으로, 이 중 35,502명은 자택에서 자가격리 중이며, 자가격리자 관리를 위한 앱은 93.1%가 설치되었다. 안심밴드를 착용한 사람은 47명으로, 현재 19명이 착용 중이다.",0.720838189125061
summarization,6,gpt-3.5-turbo,"다음 글을 한국어 한 문장으로 요약해줘: 패총이란 선사시대 사람들이 먹다버린 조가비 껍데기나 생활쓰레기들이 쌓여 만들어진 것으로 조개더미라 부른다. 이곳에서는 중석기시대에서 신석기시대에 이르는 다양한 유물이 출토되었다. 이 조개더미에서는 뗀석기에서 간석기로 넘어가는 과정과 흑요석석기가 톱날석기로 변하는 과정, 연모와 치레걸이 등의 변화와 같은 신석기시대 구분에 좋은 길잡이가 될 수 있는 유물이 다량 출토되었다. 특히 세석기는 우리나라에도 중석기가 있었음을 증명해 주는 중요한 유물이다. 동항리에서는 신석기시대 돌무지 시설과 유물이 출토되었는데, 돌무지 시설아래에서 2구의 사람뼈가 발견되었다. 그 중 1구의 상태가 양호하여 신석기시대 형질연구에 중요한 자료가 되고 있다. 욕지도 조개더미은 신석기시대 장례형태연구와 남해안 지역의 신석기문화를 밝히는데 중요한 곳이다. 이 조개더미와 가까운 곳에 있는 상노대도 조개더미 등 많은 조개더미들이 발견되었다.","조개더미로 만들어진 패총에서 중석기시대에서 신석기시대에 이르는 다양한 유물이 출토되었고, 유물들은 신석기시대 구분에 유용한 정보를 제공한다. 세석기도 중석기 시대가 있었음을 증명하는 중요한 유물이며, 동항리에서는 신석기시대 돌무지 시설과 사람뼈가 발견되었다. 이 조개더미와 가까운 곳에는 또 다른 많은 조개더미들이 발견되었다.",0.7504361271858215
summarization,7,gpt-3.5-turbo,"다음 글을 한국어 한 문장으로 요약해줘: 과거 브라질의 흑인 노예들이 먹던 음식이 이제는 관광객이 반드시 먹어보는브라질 대표 음식으로 자리 잡은 것이다. 딱 보기에는 뭔가 투박해 보이는 페이 조아다. 되지고기나 소고기를 주로 하는 스튜의 일종으로 여기에 햄과 베이컨, 채소 등 다양한 재료를 넣어서 검은콩과 함께 끓여 먹는 음식이다. 페이 조아다는 브라질의 대표적인 요리입니다. 브라질 음식은 지역마다. 특색이 있지만 페이 조아다는 전국 어디에서나 맛볼 수 있는 음식이에요. 전해져 내려오는 이야기에 의하면 페이 조아다는 노예제도가 있던 시대부터 있었던 음식이라고 합니다. 먹을 것이 부족한 노예들이 백인들이 요리하고 버린 재료를 가지고 만들어 먹기 시작하면서 비롯된 페이 조아다는 이 땅의 슬픔 역사가 담겨 있다. 많은 예술가들이 시와 음악을 바친 리우의 해변을 찾았다.",과거의 흑인 노예들이 먹던 페이 조아다는 브라질 대표 음식이 지금은 관광객들도 반드시 먹어보는 음식으로 자리 잡았다.,0.8543682098388672
summarization,8,gpt-3.5-turbo,다음 글을 한국어 한 문장으로 요약해줘:  류현진은 당초 다저스와 계약할 때 연간 170이닝을 던지면 25만 달러를 우선 보너스로 받고 이후 10이닝이 추가될 때마다 25만 달러를 받기로 했다. 류현진이 올 시즌 200이닝을 투구하면 기존 연봉(65억원) 외에 보너스로만 100만 달러(한화 약 11억원)를 챙길 수 있는데 지금 추세라면 충분히 가능해 보인다. 선발투수의 투구이닝은 이처럼 승수나 평균자책점보다 우선시되며 그만큼 가치가 크다는 것을 의미한다.  류현진은 한국프로야구가 배출한 최고의 좌완투수였다. 하지만 시즌 개막 전만 해도 ‘류현진이 과연 메이저리그에서 통할까’라는 의문이 있었던 것 또한 사실이다. 미국 내 일부 언론은 ‘메이저리그 경험이 전무한 류현진에게 연봉과 이적료 포함 6년 총액 670억원에 달하는 고액을 투자한 다저스가 곧 후회하게 될 것’이란 악평마저 내놓았다.  하지만 이는 기우에 지나지 않았다. 류현진은 시즌 개막 첫 달부터 그가 속한 내셔널리그 ‘이달의 선수’ 후보에 오를 정도로 두각을 나타내며 ‘류현진 광풍(Jin-sanity)’을 몰고 왔다. 그리고 이는 ‘류현진 티켓파워’로 이어졌다.  류현진의 소속팀 LA 다저스가 기록한 올 시즌 전반기 평균 관중 수는 4만3091명으로 메이저리그 전체 30개 구단 중 1위를 차지했다. 특히 류현진이 아홉 번 등판했던 전반기 홈경기 평균 관중 수는 4만8966명으로 다저스의 에이스 클레이튼 커쇼(4만5000명)보다 더 많았다. 이 때문에 미국 현지 언론은 “다저스가 이미 입장수익만으로도 류현진의 올 시즌 연봉을 회수했으며 중계권료와 광고수익 등을 합하면 다저스의 투자는 대성공을 거두었다”고 보도할 만큼 류현진은 야구 외적으로도 소속팀에 큰 이익을 안겨 주고 있다. ,"류현진은 다저스와의 계약에서 매 시즌 170이닝을 던지면 보너스로 25만 달러를 받고, 추가 10이닝마다 25만 달러를 받기로 했다. 이번 시즌 200이닝을 투구하면 100만 달러의 보너스를 받을 수 있는데, 현재 추세로 보면 충분히 가능해 보인다. 이는 선발 투수의 투구 이닝이 승수나 평균자책점보다 가치가 크다는 것을 의미한다. 류현진은 한국프로야구가 배출한 최고의 좌완투수였으며, 메이저리그에서의 성공에 대한 의문도 사실이었다. 하지만 그는 매우 성공적인 경기를 펼치며 야구 외적으로도 큰 이익을 안겨 주었다.",0.6733930706977844
summarization,9,gpt-3.5-turbo,"다음 글을 한국어 한 문장으로 요약해줘: 세월호인양추진단장직무대행 이철조] ""예 플로팅 도크……"" 김성찬 위원] ""아니 말고 양쪽에 풍선 띄우는 것……"" 세월호인양추진단장직무대행 이철조] ""아 폰툰(pontoon) 말씀이시지요?"" 김성찬 위원] ""플로팅 폰툰 이런 부분하고 같이 다 했어야 되는데 자꾸만 어떻게 의사 결정이 될진 모르지만 최상의 방법으로 하지 않고 저는 아주 이론적으로 한다.  플로팅 풍선 그것을 같이 하면 작업하는 게 참 쉬워요. 그것 다는 것 어렵지 않습니다. 지금도 선미 들기를 하다 보면 선체가 찌그러져 가지고 선체가 찢어질 수 있어요 잭킹바지를 하더라도. 잭킹바지를 가지고 조금씩 유압으로 좍좍 올려도 좌우지간 장력이 선체에 미치잖아요. 아마 연골에다가 걸쳐 가지고 한다는데 그 연골도 지금 불안할 수도 있어요. 왜냐하면 가장 안전하게 할 수 있는 보조수단을 같이 동원하고 해야지 지금 이렇게 하다가 나중에 올리다가 또 어디 찢어지면 어떻게 할 거예요?  그래서 다시 한번 저에게 이 이야기를 하는 사람이 많아요. 제 주변에 구조 전문가들도 많고 또 그때 작업했던 사람들이 ‘이렇게 하면 안 됩니다’라고 저한테 자꾸 이야기해요. 그래서 제가 ‘내 소관이 아니다. 잘하고 있다’ 이야기하였지만 이론가보다 실무경험가를 다시 한번 해서 이 부분을 스터디 한번 해서 하면 좋겠다는 걸 제안드립니다."" 해양수산부장관 김영석] ""위원님 제가 몇 가지 말씀을 드리면 위원님 말씀이 역시 경륜과 경험이 중요한 것이 맞다는 것은 전적으로 또 공감을 하고요.  이번에 인양 방법 변경을 하는 것에 대하여 우리나라의 삼성중공업 등 아주 현장에서 하고 있는 최고 실무책임자들이 다 참여를 하고 학계나 기존에 인양에 관련된 분들 다 참석해서 아무튼 현재 10월 이전에 인양을 했으면 기존에 크레인이나 플로팅 도크도 어베일러블(available) 했었으나 11월 접어들면서 작년보다도 지금 약 40%가 기상이 더 안 좋은 상황입니다. 이 상황에서는 도저히 불가능하고 기존의 방식으로 한다면 내년 봄이나 되어야 가능하기 때문에 다시 인양 작업을 할 수 있기 때문에 동절기에도 계속해서 최대한 기간을 단축하려면 지금 반잠수식 선박과 잭킹바지를 동원하는 방법이 훨씬 우월하다는 데 거의 참여한 모든 사람이 다 동의를 해서 이 점에 대해서는 아무튼 앞으로도 이 방법에 대해서도 동적영향 분석을 해 봤고 그리고 지금 새로운 방식에 대해서 잠정적인 개략 시뮬레이션은 마쳤습니다. 이제 새로운 본 시뮬레이션은 지금 계속 상세설계가 진행이 되고 있다는 것을 말씀드리면서 앞으로도 위원님과 현장의 경륜이 많은 분들을 최대한 더 자문을 구해 가면서 좀 더 확실하게 진행을 할 수 있도록 하겠습니다."" ","세월호인양추진단장직무대행 이철조는 플로팅 도크를 이용한 인양 방법에 대해 이야기하고, 김성찬 위원은 풍선을 이용하는 방법을 제안했다. 이철조는 플로팅 폰툰을 말하면서 작업의 쉬움을 강조하고, 김성찬은 작업 시 안전성을 우려해 다른 방법을 제안했다. 해양수산부장관 김영석은 경험과 실무에 대한 중요성을 강조하며, 인양 방법 변경을 함께 논의하고 현장의 의견을 최대한 고려했다는 의견을 전했다.",0.695368230342865
summarization,10,gpt-3.5-turbo,"다음 글을 한국어 한 문장으로 요약해줘: 이번 강연회에서는 이브 르테름 전 벨기에 총리의 강연 이후 박진 국회미래연구원장의 사회로 패널 토론이 이어졌다. 르테름의 총리 재임 기간 동안 벨기에는 유럽 연합(EU) 의장국으로서 유럽의 에너지 전환시대의 중심에 있었던 르테름 전 벨기에 총리의 특별 강연을 통해 지속가능한 에너지 전환 정책의 민주적 수립과정을 논의하였다.  ■ 특별 강연 요약 르테름 전 총리는 “Energy Policy and Democracy”라는 제목으로 특별 강연을 하였다. 에너지는 곧 인간의 진화의 과정이었고 모든 문명과 사회의 필수적 요소임을 전제하였다. 1965년 이후 4배로 증가한 에너지 소비량에 대응하기 위해 지속개발목표(Sustainable Development Goals) 7번에서 “지불가능하고 신뢰할 수 있고 현대적인 에너지에 대한 접근”을 강조하고 이를 달성하기 위해서 현재 도전과제인 불충분한 접근성, 불평등, 건강에의 영향, 기후변화, 자연자원의 고갈, 생물다양성 위협, 효율, 안전, 분배, 취약성 증가 등에 대해 설명하였다.  이러한 맥락에서 재생에너지 대 화석연료의 문제를 거론하였다. 이 문제에 있어서는 CO2 배출의 감소가 중심이 되어야 하고 이를 위해 2030년까지 온실가스를 55% 줄여야 한다는 IPCC의 목표를 언급하였다. 따라서 에너지 문제를 바라보는 관점은 화석연료 대 비화석연료가 되어야 한다고 주장하였다. 스웨덴의 경우, 1980년도에 원전에 대한 반대에서 2019년에는 환경을 위해서 원전을 선택해야 한다는 상반된 주장이 나타난 사례를 소개하였다. ","벨기에 전 총리인 르테름의 특별 강연을 통해 민주적인 지속가능한 에너지 전환 정책에 대해 논의되었고, 화석연료 대신 비화석연료를 중심으로 에너지 문제를 바라보아야 한다는 주장이 나왔다.",0.7918737530708313
