task_name,index,model_name,prompt,output,score
translation/techsci,1,gpt-3.5-turbo,다음 문장을 영어로 번역해 줘. 정부 또는 특정 행위자의 이익을 대변하는 협력체가 아닌 지역들 간 전방위적인 교류 및 협력 강화를 통해 아시아와 유럽 지역의 상호 이해를 증진하는 지역 협력체라고 할 수 있는 것이다.,"It can be referred to as a regional cooperation organization that enhances mutual understanding between the Asian and European regions through comprehensive exchange and cooperation among localities, rather than representing the interests of the government or specific actors.",21.815637927097683
translation/techsci,2,gpt-3.5-turbo,"다음 문장을 영어로 번역해 줘. 역이야말로 식민지인의 시간과 일상은 물론 정신까지 통제할 수 있는 가장 기본적인 장치로서, 식민지 경영상 활용도가 대단히 큰 까닭이다.","Translation: It is precisely because the colony can control not only the time and daily life but also the mind, that colonization management finds great utility as the most fundamental device.",17.10145668852757
translation/techsci,3,gpt-3.5-turbo,다음 문장을 영어로 번역해 줘. 비디오 인코더(20)는 서브-DPB 파라미터들이 다수의 서브-계층들에 대해 시그널링될 수도 있다는 것을 표시하기 위해 플래그를 제2 값으로 설정할 수도 있다.,"To indicate that the sub-DPB parameters of multiple sub-layers can also be signaled, the video encoder (20) can set a flag to a second value.",20.597454627182632
translation/techsci,4,gpt-3.5-turbo,다음 문장을 영어로 번역해 줘. 중소서점이 중소 출판사를 후원해 새롭고 특색 있는 책을 출판하도록 돕는다는 겁니다.,The small bookstore helps support small publishing houses to publish new and distinctive books.,18.30296168671469
translation/techsci,5,gpt-3.5-turbo,"다음 문장을 영어로 번역해 줘. 상기 미리보기 이미지들에 해당하는 상기 오브젝트에 대한 드래그 또는 호버링(232)인 상기 사전 실행 컨트롤 제스처에 대응하여, 상기 제어부(110)는 상기 미리보기 이미지들(240, 242, 244)을 전개할 수 있다.","The control unit (110) can expand the preview images (240, 242, 244) in response to dragging or hovering (232) on the objects corresponding to the preview thumbnail images.",26.352230043195885
translation/techsci,6,gpt-3.5-turbo,"다음 문장을 영어로 번역해 줘. 조선 로동당 창당 당시 당무 전반을 총괄하는 당 비서직이 신설되었고, 제1비서에 고려인 AAA1, 제2비서에 남로당의 AAA2, 제3비서에 남로당의 AAA3이 선출되었다.","Please translate the following sentence into English: ""At the time of the establishment of the Korean Workers' Party, the position of Party Secretary, which oversees all aspects of the party's affairs, was newly created, and AAA1 from the Koryo-in was elected as the First Secretary, AAA2 from the Nampo Democratic Party was elected as the Second Secretary, and AAA3 from the Nampo Democratic Party was elected as the Third Secretary.""",8.4984690285813
translation/techsci,7,gpt-3.5-turbo,"다음 문장을 영어로 번역해 줘. 사회 전반적으로 급격하고 동시다발적인 변화가 발생하면서 모든 정치 및 사회 세력의 해방(emancipation), 즉 대중의 정치참여가 촉발되었다.","With rapid and simultaneous changes occurring throughout society, the emancipation, or liberation, of all political and social forces has been triggered, leading to mass political participation.",23.126168909998388
translation/techsci,8,gpt-3.5-turbo,"다음 문장을 영어로 번역해 줘. 이러한 갈등은 현 정부의 탈원전 선언과 이에 따라 단기적으로는 온실가스 저감을 위해 최적화된 전원 구성이 보다 어려워진 구조적 제약에 따라, 향후 보다 심화할 가능성이 높다고 할 수 있다.","This conflict can be expected to intensify in the future due to the structural constraints that make it more difficult to optimize power composition for greenhouse gas reduction, following the current government's declaration of nuclear phase-out.",21.67255208683917
translation/techsci,9,gpt-3.5-turbo,다음 문장을 영어로 번역해 줘. 이집트 경찰은 최루가스를 쏘며 시위대를 해산했고 시위 참가자 중 23명을 체포했다.,Egyptian police dispersed the protesters by firing tear gas and arrested 23 of the participants.,32.37722713145643
translation/techsci,10,gpt-3.5-turbo,다음 문장을 영어로 번역해 줘. 결장암 검사에 사용되는 컴퓨터 단층촬영(CT)의 위험성에 대한 정부 전문가들의 경고를 미국 식품의약국(FDA)이 무시한 것으로 드러났다고 BBB 인터넷판이 28일 보도했다.,"According to BBB Internet Pan, it has been reported on the 28th that the US Food and Drug Administration (FDA) ignored warnings from government experts about the risks of computerized tomography (CT) used for pancreatic cancer screening.",45.84694865262842
translation/techsci,11,gpt-3.5-turbo,"다음 문장을 영어로 번역해 줘. 이어 ""우리는 매 순간 상황을 감시하고 있으며 데이터를 분석하고 있다""며 ""WHO는 만일 그 증거들이 뒷받침된다면 코로나19를 팬데믹이라고 표현하는 데 주저하지 않을 것""이라고 알렸다.","Translate the following sentence into English: ""우리는 매 순간 상황을 감시하고 있으며 데이터를 분석하고 있다."" Also, ""WHO는 만일 그 증거들이 뒷받침된다면 코로나19를 팬데믹이라고 표현하는 데 주저하지 않을 것""이라고 알렸다.

""We are constantly monitoring the situation and analyzing the data."" WHO has announced that they will not hesitate to label COVID-19 as a pandemic if the evidence supports it.",2.4371431437250504
translation/techsci,12,gpt-3.5-turbo,다음 문장을 영어로 번역해 줘. 기능 모드의 항목 리스트(340)는 홈 화면(310)과 관련되어 휴대 단말기에서 수행될 수 있는 기능 모드로의 진입을 안내하기 위한 리스트일 수 있다.,The items in the function mode list (340) can be a list to guide the entry into the function mode that can be performed on a mobile device related to the home screen (310).,16.60292888279447
translation/techsci,13,gpt-3.5-turbo,"다음 문장을 영어로 번역해 줘. 이는 일 예일 뿐, 캐퍼빌리티에 관한 정보에는 단말(920)에서 지원하는 코덱에 관한 정보가 포함될 수도 있다.","Please translate the following sentence into English: 이는 일 예일 뿐, 캐퍼빌리티에 관한 정보에는 단말(920)에서 지원하는 코덱에 관한 정보가 포함될 수도 있다.

This includes information about codecs supported by the terminal (920) as well as information about capabilities.",1.8196871111910016
translation/techsci,14,gpt-3.5-turbo,다음 문장을 영어로 번역해 줘. 일부 실시형태에 있어서는 모바일 디바이스(100)의 후면으로부터의 호버 모션의 깊이 또는 높이가 줌 인-줌 아웃 인자로서 역할을 할 수 있다.,"In some implement forms, the depth or height of the hover motion from the rear of a mobile device (100) can serve as a factor for zoom in-zoom out.",35.807955105531136
translation/techsci,15,gpt-3.5-turbo,다음 문장을 영어로 번역해 줘. 국제협약 가운데 가장 많은 196개국이 가입한 것은 아동 문제에 관해서는 나라마다 이견이 없다는 뜻이다.,The fact that the largest number of 196 countries have signed international agreements means that there are no differences of opinion among countries regarding child issues.,24.262691033230013
translation/techsci,16,gpt-3.5-turbo,"다음 문장을 영어로 번역해 줘. 신 규약은 당 건설의 기본 원칙으로 유일 사상 체계 확립, 유일적 영도 체계 강화, 당과 인민 대중의 혼연일체, 그리고 당 건설에서의 계승성 보장을 제시하였다.","The new regulations presented the establishment of a unified ideological system as the fundamental principle of the party's construction, the reinforcement of a unique leadership system, the unity of the party and the people, and the guarantee of continuity in party construction.",18.096286076756705
