task_name,index,model_name,prompt,output,score
translation/techsci,1,ko_vicuna_7b,다음 문장을 영어로 번역해 줘. 정부 또는 특정 행위자의 이익을 대변하는 협력체가 아닌 지역들 간 전방위적인 교류 및 협력 강화를 통해 아시아와 유럽 지역의 상호 이해를 증진하는 지역 협력체라고 할 수 있는 것이다., 아시아와 유럽 지역 간의 교류와 협력을 강화하는 지역 협력 단체를 만들어 정부 또는 특정 행위자의 이익을 대변하는 협력체가 아닌 것이다.,0.7706971346340552
translation/techsci,2,ko_vicuna_7b,"다음 문장을 영어로 번역해 줘. 역이야말로 식민지인의 시간과 일상은 물론 정신까지 통제할 수 있는 가장 기본적인 장치로서, 식민지 경영상 활용도가 대단히 큰 까닭이다."," 식민지 인간의 시간과 일상은 물론 정신까지 통제할 수 있는 가장 기본적인 장치로서, 식민지 경영에 활용할 수 있는 크고 강력한 까닭이다.",1.3643952159913204
translation/techsci,3,ko_vicuna_7b,다음 문장을 영어로 번역해 줘. 비디오 인코더(20)는 서브-DPB 파라미터들이 다수의 서브-계층들에 대해 시그널링될 수도 있다는 것을 표시하기 위해 플래그를 제2 값으로 설정할 수도 있다.," 번역된 문장은 다음과 같습니다. 비디오 인코더(20)는 서브-DPB 파라미터의 여러 하위 레이어에 대해 시그널링될 수도 있으며, 이를 표시하기 위해 플래그를 제2 값으로 설정할 수도 있습니다.",1.4262733286728257
translation/techsci,4,ko_vicuna_7b,다음 문장을 영어로 번역해 줘. 중소서점이 중소 출판사를 후원해 새롭고 특색 있는 책을 출판하도록 돕는다는 겁니다., 중소소점은 중소 출판사를 지원하여 새롭고 특별한 책을 출판하도록 돕습니다.,2.302876686963141
translation/techsci,5,ko_vicuna_7b,"다음 문장을 영어로 번역해 줘. 상기 미리보기 이미지들에 해당하는 상기 오브젝트에 대한 드래그 또는 호버링(232)인 상기 사전 실행 컨트롤 제스처에 대응하여, 상기 제어부(110)는 상기 미리보기 이미지들(240, 242, 244)을 전개할 수 있다."," 번역된 문장입니다: 미리보기 이미지를 보면서 미리보기 이미지를 드래그하거나 접어서 액세스할 수 있는 미리보기 이미지 목록을 표시하는 미리보기 이미지 라이브러리에 대한 미리보기 이미지 목록(240, 242, 244)을 전개할 수 있습니다.",6.909093008275754
translation/techsci,6,ko_vicuna_7b,"다음 문장을 영어로 번역해 줘. 조선 로동당 창당 당시 당무 전반을 총괄하는 당 비서직이 신설되었고, 제1비서에 고려인 AAA1, 제2비서에 남로당의 AAA2, 제3비서에 남로당의 AAA3이 선출되었다."," 조선 로동당 창당 당시 조직 당무 부서는 조선 로동당 창당 당시 조직 당무 부서를 감독했습니다. 조직 당무 부서는 제1비서에 고려인 AAA1, 제2비서에 고려인 AAA2, 제3비서에 고려인 AAA3으로 구성되었습니다.",0.7697071305070338
translation/techsci,7,ko_vicuna_7b,"다음 문장을 영어로 번역해 줘. 사회 전반적으로 급격하고 동시다발적인 변화가 발생하면서 모든 정치 및 사회 세력의 해방(emancipation), 즉 대중의 정치참여가 촉발되었다."," 사회 전반적으로 급격하고 동시다발적인 변화가 발생하면서 모든 정치 및 사회 세력의 해방, 즉 대중의 정치참여가 촉발되었습니다.",1.2404298611265816
translation/techsci,8,ko_vicuna_7b,"다음 문장을 영어로 번역해 줘. 이러한 갈등은 현 정부의 탈원전 선언과 이에 따라 단기적으로는 온실가스 저감을 위해 최적화된 전원 구성이 보다 어려워진 구조적 제약에 따라, 향후 보다 심화할 가능성이 높다고 할 수 있다.", 이러한 갈등은 현 정부의 탈원전 선언과 이에 따라 전원 구성이 구조적 제약에 따라 보다 어려워지고 향후 보다 심화될 가능성이 높다는 점에서 발생한 것으로 볼 수 있습니다.,0.7394149753586048
translation/techsci,9,ko_vicuna_7b,다음 문장을 영어로 번역해 줘. 이집트 경찰은 최루가스를 쏘며 시위대를 해산했고 시위 참가자 중 23명을 체포했다., 이집트 경찰은 시위대를 해산하고 23명의 참가자를 체포했다.,3.3495035708457803
translation/techsci,10,ko_vicuna_7b,다음 문장을 영어로 번역해 줘. 결장암 검사에 사용되는 컴퓨터 단층촬영(CT)의 위험성에 대한 정부 전문가들의 경고를 미국 식품의약국(FDA)이 무시한 것으로 드러났다고 BBB 인터넷판이 28일 보도했다., 미국 식품의약국(FDA)은 결장암 검사에 사용되는 컴퓨터 단층촬영(CT) 스캔에 대해 여러 가지 우려를 제기했습니다. 이러한 우려의 예로는 촬영 중 건강 위험에 대한 우려와 결장암 진단에 대한 신뢰성 부족에 대한 우려가 있습니다. 또한 미국 식품의약국(FDA)은 촬영 중 흡연자 및 간 질환 환자의 상태에 대한 부적절한 치료로 이어지는 것에 대한 우려도 제기했습니다. 이 기관은 또한 결장암 진단에 촬영이 최선의 선택이 아닌 경우 의료 서비스 제공자가 촬영을 결정할 때 적절한 기준이 없는 경우가 많다고 지적했습니다. 또한 미국 식품의약국(FDA)은 촬영 중 암이 감지되지 않았을 때 촬영에 의존하여 결장암 진단을 하는 경우의 위험성에 대해서도 우려를 제기했습니다.,2.2577141044342093
translation/techsci,11,ko_vicuna_7b,"다음 문장을 영어로 번역해 줘. 이어 ""우리는 매 순간 상황을 감시하고 있으며 데이터를 분석하고 있다""며 ""WHO는 만일 그 증거들이 뒷받침된다면 코로나19를 팬데믹이라고 표현하는 데 주저하지 않을 것""이라고 알렸다."," 질문에 답하기. 이어 ""우리는 매 순간 상황을 감시하고 있으며 데이터를 분석하고 있다""며 ""WHO는 만일 그 증거들이 뒷받침된다면 코로나19를 팬데믹이라고 표현하는 데 주저하지 않을 것""이라고 알렸다. 이어 ""우리는 매 순간 상황을 감시하고 있으며 데이터를 분석하고 있다""며 ""WHO는 만일 그 증거들이 뒷받침된다면 코로나19를 팬데믹이라고 표현하는 데 주저하지 않을 것""이라고 알렸다.",0.7567143835953722
translation/techsci,12,ko_vicuna_7b,다음 문장을 영어로 번역해 줘. 기능 모드의 항목 리스트(340)는 홈 화면(310)과 관련되어 휴대 단말기에서 수행될 수 있는 기능 모드로의 진입을 안내하기 위한 리스트일 수 있다., 항목 목록(340)은 홈 화면(310)에 표시되어 휴대 단말기의 기능 모드로의 진입을 안내하는 데 사용할 수 있습니다.,1.3092977432801425
translation/techsci,13,ko_vicuna_7b,"다음 문장을 영어로 번역해 줘. 이는 일 예일 뿐, 캐퍼빌리티에 관한 정보에는 단말(920)에서 지원하는 코덱에 관한 정보가 포함될 수도 있다."," 캐퍼빌리티는 특정 사회 집단을 위한 경제적 또는 사회적 기회를 창출하는 것으로 볼 수 있습 prep 대학 캠퍼스에서 시간을 최대한 활용하고자 하는 학생과 학부모. 캐퍼빌리티는 일반적으로 커리어 전망을 개선하고, 개인적 및 전문적 네트워크를 형성하고, 더 많은 시간을 최대한 활용할 수 있도록 설계된 일련의 활동과 이벤트에 참여하도록 장려하는 프로그램입니다. 캐퍼빌리티에는 캐스팅 대회, 캐퍼반 클럽, 업계 전문가 및 업계 리더와의 미팅, 업계 행사 및 컨퍼런스 참석 등이 포함될 수 있습니다. 캐퍼빌리티에서 활동참여하는 학생과 학부모는 캐퍼반 커뮤니티의 일원이 되어 캐퍼빌리티 활동에 참여하고 서로 교류하며 캐퍼빌리티 기회를 위해 노력할 수 있는 기회를 갖게 됩니다. 캐퍼빌리티 프로그램은 캐퍼빌리티의 목적과 목표에 부합하는 방식으로 실행되어야 하며, 학생과 학부모 모두의 참여와 참여를 장려해야 합니다.",0.3672211821316083
