task_name,index,model_name,prompt,output,score
translation/techsci,1,llama2_13b,다음 문장을 영어로 번역해 줘. 정부 또는 특정 행위자의 이익을 대변하는 협력체가 아닌 지역들 간 전방위적인 교류 및 협력 강화를 통해 아시아와 유럽 지역의 상호 이해를 증진하는 지역 협력체라고 할 수 있는 것이다.,"지역 협력체라고 할 수 있는 것은 다음과 같습니다. 정부 또는 특정 행위자의 이익을 대변하는 협력체가 아닌, 지역들 간의 전방위적인 교류 및 협력 강화를 통해 아시아와 유럽 지역의 상호 이해를 증진하는 지역 협력체입니다.",1.1201498639003256
translation/techsci,2,llama2_13b,"다음 문장을 영어로 번역해 줘. 역이야말로 식민지인의 시간과 일상은 물론 정신까지 통제할 수 있는 가장 기본적인 장치로서, 식민지 경영상 활용도가 대단히 큰 까닭이다.","역이야말로 식민지인의 시간과 일상은 물론 정신까지 통제할 수 있는 가장 기본적인 장치로서, 식민지 경영상 활용도가 대단히 큰 까닭이다.",1.3136337099095308
translation/techsci,3,llama2_13b,다음 문장을 영어로 번역해 줘. 비디오 인코더(20)는 서브-DPB 파라미터들이 다수의 서브-계층들에 대해 시그널링될 수도 있다는 것을 표시하기 위해 플래그를 제2 값으로 설정할 수도 있다.,비디오 인코더(20)는 서브-DPB 파라미터들이 다수의 서브-계층들에 대해 시그널링될 수도 있다는 것을 표시하기 위해 플래그를 제2 값으로 설정할 수도 있다.,1.8709718017288024
translation/techsci,4,llama2_13b,다음 문장을 영어로 번역해 줘. 중소서점이 중소 출판사를 후원해 새롭고 특색 있는 책을 출판하도록 돕는다는 겁니다.,중소 서점이 중소 출판사를 후원하여 새롭고 독창적인 책을 출판할 수 있도록 돕습니다.,2.452471008337642
translation/techsci,5,llama2_13b,"다음 문장을 영어로 번역해 줘. 상기 미리보기 이미지들에 해당하는 상기 오브젝트에 대한 드래그 또는 호버링(232)인 상기 사전 실행 컨트롤 제스처에 대응하여, 상기 제어부(110)는 상기 미리보기 이미지들(240, 242, 244)을 전개할 수 있다.","미리보기 이미지(240, 242, 244)에 해당하는 개체에 대한 드래그 또는 호버(232)인 미리보기 이미지에 대한 사전 실행 제스처에 대응하여, 제어 모듈(110)은 미리보기 이미지를 확장할 수 있다.",7.044026160349174
translation/techsci,6,llama2_13b,"다음 문장을 영어로 번역해 줘. 조선 로동당 창당 당시 당무 전반을 총괄하는 당 비서직이 신설되었고, 제1비서에 고려인 AAA1, 제2비서에 남로당의 AAA2, 제3비서에 남로당의 AAA3이 선출되었다.","조선로동당 창당 당시 당무 전반을 총괄하는 당 비서직이 신설되었고, 제1비서에 고려인 AAA1, 제2비서에 남로당의 AAA2, 제3비서에 남로당의 AAA3이 선출되었다.",0.5626780322956277
translation/techsci,7,llama2_13b,"다음 문장을 영어로 번역해 줘. 사회 전반적으로 급격하고 동시다발적인 변화가 발생하면서 모든 정치 및 사회 세력의 해방(emancipation), 즉 대중의 정치참여가 촉발되었다.","사회 전반적으로 급격하고 동시다발적인 변화가 발생하면서 모든 정치 및 사회 세력의 해방(emancipation), 즉 대중의 정치참여가 촉발되었다.",1.4846004057982594
translation/techsci,8,llama2_13b,"다음 문장을 영어로 번역해 줘. 이러한 갈등은 현 정부의 탈원전 선언과 이에 따라 단기적으로는 온실가스 저감을 위해 최적화된 전원 구성이 보다 어려워진 구조적 제약에 따라, 향후 보다 심화할 가능성이 높다고 할 수 있다.","이러한 갈등은 현 정부의 탈원전 선언에 따라 단기적으로는 온실가스 저감을 위해 최적화된 전원 구성이 보다 어려워진 구조적 제약에 따라, 향후 보다 심화할 가능성이 높다고 할 수 있다.",0.7670905707173495
translation/techsci,9,llama2_13b,다음 문장을 영어로 번역해 줘. 이집트 경찰은 최루가스를 쏘며 시위대를 해산했고 시위 참가자 중 23명을 체포했다.,"이집트 경찰은 최루가스 대신 실탄을 쏴서 시위대를 해산시켰고, 시위 참가자 중 23명을 체포했다.",2.627961710408444
translation/techsci,10,llama2_13b,다음 문장을 영어로 번역해 줘. 결장암 검사에 사용되는 컴퓨터 단층촬영(CT)의 위험성에 대한 정부 전문가들의 경고를 미국 식품의약국(FDA)이 무시한 것으로 드러났다고 BBB 인터넷판이 28일 보도했다.,결장암 검사에 사용되는 컴퓨터 단층촬영(CT)의 위험성에 대한 정부 전문가들의 경고를 무시한 것으로 미국 식품의약국(FDA)이 드러났다고 BBB 인터넷판이 28일 보도했다.,5.072948239976285
translation/techsci,11,llama2_13b,"다음 문장을 영어로 번역해 줘. 이어 ""우리는 매 순간 상황을 감시하고 있으며 데이터를 분석하고 있다""며 ""WHO는 만일 그 증거들이 뒷받침된다면 코로나19를 팬데믹이라고 표현하는 데 주저하지 않을 것""이라고 알렸다.",코로나바이러스 팬데믹이 선언되기 전에 몇 주 동안 상황을 면밀히 모니터링하고 데이터를 분석해왔다고 세계보건기구(WHO) 소장 테드로스 아드핀 박사는 말했다. 만일 그 증거들이 뒷받침된다면 코로나19를 팬데믹이라고 표현하는 데 주저하지 않을 것이다.,1.0885011049519644
translation/techsci,12,llama2_13b,다음 문장을 영어로 번역해 줘. 기능 모드의 항목 리스트(340)는 홈 화면(310)과 관련되어 휴대 단말기에서 수행될 수 있는 기능 모드로의 진입을 안내하기 위한 리스트일 수 있다.,"기능 모드 항목 목록(340)은 휴대 단말기의 홈 화면(310)과 관련이 있을 수 있으며, 휴대 단말기에서 기능 모드(340)로 진입하여 수행할 수 있는 작업 목록일 수 있습니다.",1.2753998269755913
translation/techsci,13,llama2_13b,"다음 문장을 영어로 번역해 줘. 이는 일 예일 뿐, 캐퍼빌리티에 관한 정보에는 단말(920)에서 지원하는 코덱에 관한 정보가 포함될 수도 있다.","이 문장을 영어로 번역해 주세요. 이는 예시일 뿐이며, 단말(920)에서 지원하는 코덱에 관한 정보도 포함될 수 있다. 캐퍼빌리티에 관한 정보.",1.826472886268134
translation/techsci,14,llama2_13b,다음 문장을 영어로 번역해 줘. 일부 실시형태에 있어서는 모바일 디바이스(100)의 후면으로부터의 호버 모션의 깊이 또는 높이가 줌 인-줌 아웃 인자로서 역할을 할 수 있다.,일부 실시형태에 있어서는 모바일 디바이스(100)의 후면으로부터의 호버 모션의 깊이 또는 높이가 줌 인-줌 아웃 인자로서 역할을 할 수 있다.,1.5191100084465543
translation/techsci,15,llama2_13b,다음 문장을 영어로 번역해 줘. 국제협약 가운데 가장 많은 196개국이 가입한 것은 아동 문제에 관해서는 나라마다 이견이 없다는 뜻이다.,다음 문장을 영어로 번역해 줘. 국제협약 가운데 가장 많은 196개국이 가입한 것은 아동 문제에 관해서는 나라마다 이견이 없다는 뜻이다.,1.128052367258353
translation/techsci,16,llama2_13b,"다음 문장을 영어로 번역해 줘. 신 규약은 당 건설의 기본 원칙으로 유일 사상 체계 확립, 유일적 영도 체계 강화, 당과 인민 대중의 혼연일체, 그리고 당 건설에서의 계승성 보장을 제시하였다.","신 규약은 당 건설의 기본 원칙으로 유일 사상 체계 확립, 유일적 영도 체계 강화, 당과 인민 대중의 혼연일체, 그리고 당 건설에서의 계승성 보장을 제시하였다.",1.3213140231369531
translation/techsci,17,llama2_13b,"다음 문장을 영어로 번역해 줘. 처리 유닛(404)이 제2 업데이트 값 중 어느 것도 코드 엘리먼트 양자화 범위를 초과하지 않는 것으로 결정하는 경우, 처리 유닛(404)은 P개의 제2 업데이트 값을 판독한다.","처리 유닛(404)이 제2 업데이트 값 중 어느 것도 코드 엘리먼트 양자화 범위를 초과하지 않는 것으로 결정하는 경우, 처리 유닛(404)은 P개의 제2 업데이트 값을 판독한다.",1.5393730252811677
