task_name,index,model_name,prompt,output,score
ko_quiz_5,0,polyglot-ko-1.3b,"낙화유수(落花流水)의 뜻은? '살림이나 세력이 약해져 아주 보잘것없이 됨 '이면 1, '세월이 흐르는 물과 같이 한번 지나면 되돌아오지 않음 '이면 2, '지나간 일이 흔적 없이 사라져 허무함 '이면 3라고 대답해."," 1, 낙화유수(落花流水)는 봄이 지나면 다시 돌아오지 않는다는 뜻이므로 '세월이 흐르는 물과 같이 한번 지나가면 다시 돌아오지 않는 것 '이므로 '세월이 덧없다 '는 뜻이지. 그러면 2, 1, 3, 3은 무엇이지? 답변: 1, 세월이 덧없다, 2, 세월이 덧없는 것을 말하는 것이 아니고, 세월이 덧없는 것을 말하는 것이므로 '세월이 덧없이 흘러간다 '는 뜻이지. 그러면 3, 세월이 덧없이 흘러간다는 뜻이지? 답변: 그렇지. 세월이 덧없이 흘러간다는 뜻이지. 그러면 2, 3, 3은 무엇이지? 답변: 1, 세월이 덧없이 흘러간다는 뜻이지. 그러면 2, 1, 3, 3은 무엇이지? 답변: 1, 세월이 덧없이 흘러간다는 뜻이지. 그러면 2, 1, 3, 3은 무엇이지? 답변: 1, 세월이 덧없이 흘러간다는 뜻이지. 그러면 2, 1, 3, 3은 무엇이지? 답변: 1, 세월이 덧없이 흘러간다는 뜻이지. 그러면 3, 세월이 덧없이 흘러간다는 뜻이지? 답변: 그렇지. 세월이 덧없이 흘러간다는 뜻이지. 그러면 2, 3, 3은 무엇이지? 답변: 1, 세월이 덧없이 흘러간다는 뜻이지. 그러면 2, 1, 3, 3은 무엇이지? 답변: 1, 세월이 덧없이 흘러간다는 뜻이지. 그러면 2, 1, 3, 3은 무엇이지? 답변: 1, 세월이 덧없이 흘러간다는 뜻이지. 그러면 2, 1, 3, 3은 무엇이지? 답변: 1, 세월이 덧없이 흘러간다는 뜻이지. 그러면 2, 1, 3, 3은 무엇이지? 답변: 1, 세월이 덧없이 흘러간다는 뜻이지. 그러면 2, 1, 3, 3은 무엇이지? 답변: 1, 세월이 덧없이 흘러간다는 뜻이지. 그러면 2, 1, 3, 3은 무엇이지? 답변: 1, 세월이 덧없이 흘러간다는 뜻이지. 그러면 2, 1, 3, 3은 무엇이지? 답변: 1, 세월이 덧없이 흘러간다는 뜻이지. 그러면 2, 1, 3, 3은 무엇이지? 답변: 1, 세월이 덧없이 흘러간다는 뜻이지. 그러면 2, 1, 3, 3은 무엇이지? 답변: 1, 세월",0
ko_quiz_5,1,polyglot-ko-1.3b,"견마지로(犬馬之勞)의 뜻은? '윗사람에게 충성을 다하는 자신의 노력 '이면 1, '충성스럽고 효성스러운 사람 '이면 2, '각자 자기의 주인에게 충성을 다함 '이면 3라고 대답해."," 1, 2, 3을 합치면 '견마지치'가 되지.견마지치는 개와 말의 힘을 다한 수고를 뜻하는 것으로 '각자 자신의 주인에게 충성을 다하는 것'을 말한단다. 견마지치의 한자를 보면 개나 말의 힘을 다한다는 뜻으로 '견마(犬馬)'라는 글자가 나오지? 개와 말의 힘을 다한 수고라는 뜻이란다. 질문: 1, 2, 3을 합치면 '견마지치'가 되니, 견마지치의 뜻은 '개나 말의 힘을 다한 수고'라는 뜻이지? 답변: 응, '견마지치'의 뜻을 알기 위해서는 '견마(犬馬)'라는 한자를 알아야 해. 개와 말의 힘을 다한 수고라는 뜻으로 '견마(犬馬)'라는 글자가 있지? 견마(犬馬)는 개와 말의 힘을 다한 수고를 뜻하는 말로 개와 말의 힘을 다한 수고라는 뜻으로 '견마(犬馬)'라는 글자가 나온단다. 견마(犬馬)라는 한자를 보면 개와 말의 힘을 다한 수고라는 뜻으로 '견마(犬馬)'라는 글자가 있지? 견마(犬馬)의 뜻을 알기 위해서는 '견마(犬馬)'라는 한자를 알아야 해. 개와 말의 힘을 다한 수고라는 뜻으로 '견마(犬馬)'라는 글자가 있지? 견마(犬馬)의 뜻을 알기 위해서는 '견마(犬馬)'라는 한자를 알아야 해. '견마(犬馬)'라는 한자를 보면 개와 말의 힘을 다한 수고라는 뜻으로 '견마(犬馬)'라는 글자가 있지? 견마(犬馬)라는 한자를 보면 개와 말의 힘을 다한 수고라는 뜻으로 '견마(犬馬)'라는 글자가 있지? 견마(犬馬)라는 한자를 보면 개와 말의 힘을 다한 수고라는 뜻으로 '견마(犬馬)",0
ko_quiz_5,2,polyglot-ko-1.3b,"관포지교(管鮑之交)의 뜻은? '우정이 아주 돈독한 친구 관계 '이면 1, '사이가 매우 나쁜 두 관계 '이면 2, '얼굴만 겨우 아는 얕은 사이 '이면 3라고 대답해."," 관포지교(管鮑之交)는 '우정이 아주 돈독한 친구 관계'가 가장 좋고, '얼굴만 겨우 아는 얕은 사이'는 '사이가 아주 나쁜 두 관계'가 가장 좋고, '사이가 아주 나쁜 두 관계'는 '사이가 아주 나쁜 두 관계'가 가장 안 좋다고 해.##################################################################################################################################################################################################################################################################################################################################################################################################################################################",0
ko_quiz_5,3,polyglot-ko-1.3b,"다다익선(多多益善)의 뜻은? '많으면 많을수록 더욱 좋음 '이면 1, '여러 가지로 일도 많고 어려움도 많음 '이면 2, '생각과 느낌이 섬세하고 풍부함 '이면 3라고 대답해."," '여러 가지로 많은 것이 좋은 것이다'면 1, '여러 가지로 많은 것이 좋은 것이다'면 2, '생각과 느낌이 섬세하고 풍부하다'면 3, '여러 가지로 많은 것이 좋은 것이다'면 4, '생각과 느낌이 섬세하고 풍부하다'면 5, '여러 가지로 많은 것이 좋은 것이다'면 6, '생각과 느낌이 섬세하고 풍부하다'면 7, '여러 가지로 많은 것이 좋은 것이다'면 8, '생각과 느낌이 섬세하고 풍부하다'면 9, '여러 가지로 많은 것이 좋은 것이다'면 10, '생각과 느낌이 섬세하고 풍부하다'면 11, '여러 가지로 많은 것이 좋은 것이다'면 12, '생각과 느낌이 섬세하고 풍부하다'면 13, '여러 가지로 많은 것이 좋은 것이다'면 14, '생각과 느낌이 섬세하고 풍부하다'면 15, '여러 가지로 많은 것이 좋은 것이다'면 16, '생각과 느낌이 섬세하고 풍부하다'면 17, '여러 가지로 많은 것이 좋은 것이다'면 18, '생각과 느낌이 섬세하고 풍부하다'면 19, '여러 가지로 많은 것이 좋은 것이다'면 20, '생각과 느낌이 섬세하고 풍부하다'면 21, '여러 가지로 많은 것이 좋은 것이다'면 22, '생각과 느낌이 섬세하고 풍부하다'면 23, '여러 가지로 많은 것이 좋은 것이다'면 24, '생각과 느낌이 섬세하고 풍부하다'면 25, '여러 가지로 많은 것이 좋은 것이다'면 26, '생각과 느낌이 섬세하고 풍부하다'면 27, '여러 가지로 많은 것이 좋은 것이다'면 28, '생각과 느낌이 섬세하고 풍부하다'면 29, '여러 가지로 많은 것이 좋은 것이다'면 30, '생각과 느낌이 섬세하고 풍부하다'면 31, '여러 가지로 많은 것이 좋은 것이다'면 32, '생각과 느낌이 섬세하고 풍부하다'면 33",0
ko_quiz_5,4,polyglot-ko-1.3b,"매우 많은 것 가운데 극히 적은 수의 뜻을 가진 것은? '구우일모 (九牛一毛) '이면 1, '건곤일척 (乾坤一擲) '이면 2, '가공망상 (架空妄想) '이면 3라고 대답해."," '건곤일척'은 '하늘과 땅을 걸고 단판을 짓는다'는 뜻이야. '가공망상'은 '헛된 생각'을 뜻해. '가공망상'은 '한 곳에 마음을 두고 다른 곳은 보지 않는다'는 뜻이지. '가공'은 '가짜, 헛된, 거짓된, 허황된'이란 뜻이야. '망상'은 '망령된 생각'이란 뜻이지. '가공'은 '거짓으로 꾸민 생각'을 뜻하는 거야. 그러니까 '가공망상'은 '헛된 생각'을 뜻하는 거야.'가공'은 '거짓으로 꾸민 생각'을 뜻하는 말이니까 '가공망상'은 '거짓으로 꾸민 생각'을 뜻하는 거야. '망상'은 '거짓된 생각'을 뜻하니까 '망상'은 '거짓으로 꾸민 생각'을 뜻하는 거야. 그러니까 '가공망상'은 '헛된 생각'을 뜻하는 거야. 질문: '건곤일척'의 '건곤'은 무슨 뜻이야? 답변: '건곤'은 '하늘과 땅을 걸고 단판을 짓는다'는 뜻이야. '일척'은 '한 마리의 소를 걸고 단판을 짓는다'는 뜻이지. '건곤'은 '하늘과 땅을 걸고 단판을 짓는다'는 뜻이야. '일척'은 '한 마리의 소를 걸고 단판을 짓는다'는 뜻이야. 질문: '건곤일척'의 '일척'은 무슨 뜻이야? 답변: '건곤'은 '하늘과 땅을 걸고 단판을 짓는다'는 뜻이야. '일척'은 '한 마리의 소를 걸고 단판을 짓는다'는 뜻이야. '일척'은 '한 마리의 소를 걸고 단판을 짓는다'는 뜻이야. '건곤'은 '하늘과 땅을 걸고 단판을 짓는다'는 뜻이야. '일척'은 '한 마리의 소를 걸고 단판을 짓는다'는 뜻이야. 질문: '건곤일척'의 '일척'은 무슨 뜻이야? 답변: '건곤'은 '하늘과 땅을 걸고 단판을 짓는다'는 뜻이야. '일척",0
ko_quiz_5,5,polyglot-ko-1.3b,"시종일관(始終一貫)의 뜻은? '일 따위를 처음부터 끝까지 한결같이 함 '이면 1, '모든 사람이 한결같이 다 같음 '이면 2, '한결같이 부지런하고 끈기가 있는 태도로 '이면 3라고 대답해.", '일의 처음부터 끝까지 한결같은 태도로 꾸준히 하는 것'을 말하는 것은 '일의 처음부터 끝까지 한결같이 하는 것'을 말하는 것이지. 따라서 '일의 처음부터 끝까지 한결같은 태도로 꾸준히 하는 것'은 '모든 사람이 한결같이 부지런하고 끈기가 있는 태도로 한결같이 하는 것'을 말하는 것이지. '모든 사람이 한결같이 부지런하고 끈기가 있는 태도로 한결같이 하는 것'을 '일의 처음부터 끝까지 한결같이 하는 것'이라고 하는 것은 말이 안 되지. 따라서 '일의 처음부터 끝까지 한결같이 하는 것'을 '모든 사람이 한결같이 부지런하고 끈기가 있는 태도로 한결같이 하는 것'이라고 말할 수 없지. '일의 처음부터 끝까지 한결같이 하는 것'은 '모든 사람이 한결같이 부지런하고 끈기가 있는 태도로 한결같이 하는 것'이라고 말할 수 있지.,0
ko_quiz_5,6,polyglot-ko-1.3b,"만난 자는 반드시 헤어짐의 뜻을 가진 것은? '회자정리 (會者定離) '이면 1, '청운지지 (靑雲之志) '이면 2, '수주대토 (守株待兔) '이면 3라고 대답해."," 1, '회자정리 (會者定離) '이면 2, '수주대토 (守株待兔) '이면 3이라고 대답해. * 泥田鬪狗(이전투구): 진흙탕에서 싸우는 개처럼 서로 싸우는 것.* 泥田變水(이전변수): 진흙 밭의 개가 물이 바뀌자 물을 떠나고 보니, 그 개가 전변하여 물을 그리워하여 다시 오는 것처럼 서로 다투는 것을 비유함.* 易地思之(역지사지): 처지를 바꾸어 생각해 봄.* 彼此一般(피차일반): 두 사람 사이에는 서로 차이가 있는 것.* 彼此一般(피차일반): 두 사람 사이에는 서로 차이가 있는 것.* 沖而不交(충이불교): 마음이 잘 맞지 않으나 서로 사귀어 교제하지 않음.* 或憑而操(혹빙이조): 남의 말에 기대어 자기가 옳다고 주장함.* 或推而行(혹추이행): 어떤 일에 대하여 어떤 일을 밀고 나서서 실행함.* 或推而行(혹추이행): 어떤 일에 대하여 어떤 일을 밀고 나서서 실행함.* 或直而詐(혹직이사): 어떤 일이든지 정직하다고 주장하면서 사실은 속임.* 或耳目之會(혹이목지회): 어떤 사람의 의견을 듣고 그 사람이 자기의 의견과 같은 것으로 생각할 때.* 或耳目之聞(혹이목지문): 어떤 사람의 의견을 듣고 그 사람이 자기의 의견과 같은 것으로 생각할 때.* 或耳目之行(혹이목지행): 어떤 사람의 의견을 듣고 그 사람이 자기의 의견과 같은 것으로 생각할 때.* 或夷曲而行(혹이곡이행): 어떤 일에 대하여 자기가 옳고 남이 그르다고 생각할 때.* 或�",0
ko_quiz_5,8,polyglot-ko-1.3b,"천재일우(千載一遇)의 뜻은? '좀처럼 만나기 어려운 좋은 기회 '이면 1, '뜻밖의 행운을 만나 어려움을 면함 '이면 2, '천 번을 만나는 진귀한 인연 '이면 3라고 대답해."," 1.천 번을 만나다 => 천재일우, 천 번의 기회를 만나다. 2.뜻밖의 행운 => 천재일우, 뜻밖의 행운, 뜻밖에 좋은 기회를 만나다. 3.진귀한 인연 => 천재일우, 진귀한 인연, 천 번의 기회를 만나다. 공유하기 글 요소",0
ko_quiz_5,9,polyglot-ko-1.3b,"위기일발(危機一髮)의 뜻은? '여유가 조금도 없이 몹시 절박한 순간 '이면 1, '편안한 때일수록 위험이 닥칠 때를 대비해야 함 '이면 2, '궤변을 농하여 국가를 위태로운 지경에 몰아넣음 '이면 3라고 대답해."," 1, 2, 3은 모두 국가가 위기에 빠졌을 때를 가리키는 것이고, 4는 위기를 극복할 때를 가리킨다. 1번은 나라의 위기를 모면하기 위해 궤변을 늘어놓는 것이고, 2번은 위기에 몰린 국가를 구하기 위해 궤변을 늘어놓는 것이고, 3번은 위기를 극복한 뒤 위기를 들고 나오는 것을 말한다. 따라서 1번의 경우는 위기를 모면하기 위한 '궤변'이고, 2번의 경우는 국가를 구하기 위해 '궤변'이며, 3번은 위기를 극복한 뒤 위기를 들고 나오는 '위기'이다. 1번은 '위기일발'이 아니라 '위기일발'이 옳은 말이다. 예를 들어 '위기일발'이라는 말은 '위기에 처한 상황이 다급한 때'라는 뜻이므로 '위기일발'은 '위기에 처한 상황이 다급한 상황'이라는 뜻이다. '위기'라는 것은 '국가를 위태롭게 하는 것'을 뜻하므로 '위기일발'은 '국가를 위태롭게 하는 상황'이라는 뜻이다.",0
ko_quiz_5,10,polyglot-ko-1.3b,"견리사의(見利思義)의 뜻은? '눈앞의 이익을 보면 의리를 먼저 생각함'이면 1, '눈앞의 이익이나 명예에 끌리는 속된 마음 '이면 2, '의리에 어긋나는 일이 아닌지 생각함 '이면 3라고 대답해."," 1. 견리사의(見利思義)는 이로움을 보면 그것이 의로움인지 먼저 생각하는 것입니다. 2. 견리사의(見利思義)는 이익을 보면 그것이 의로운지 먼저 생각하는 것입니다. 3. 견리사의(見利思義)는 눈앞의 이익을 보면 그것이 의로운지 먼저 생각하는 것입니다. ### 질문: 앞으로 어떤 일을 해야 하는가? 답: 나는 나의 일에 대하여 내가 해야 할 일을 내 스스로 결정할 수 있는 능력이 있다는 것을 보여 주어야 합니다. 이것은 앞으로의 나의 일입니다. 질문: 당신이 그렇게 할 수 있다는 것을 어떻게 알 수 있는가? 답: 당신이 옳고, 당신이 옳다는 것을 알아야 합니다. 질문: 옳다는 것을 어떻게 알 수 있는가? 답: 당신의 생각이 옳은 것을 아는 것입니다. ### 질문: 당신은 옳은 생각을 하고 있는가? 답: 당신이 옳은 생각을 하고 있다면, 당신은 옳은 일을 하고 있는 것입니다. 질문: 옳은 일을 하고 있다는 것을 어떻게 알 수 있는가? 답: 당신이 옳은 일을 하고 있다는 것을 알 수 있는 방법은 당신이 하고 있는 일이 옳은 것인가를 생각해 보는 것입니다. ### 질문: 옳은 일을 하고 있다는 것을 어떻게 알 수 있는가? 답: 옳은 일을 하고 있다는 것을 알 수 있는 방법은, 당신이 옳은 일을 하고 있다는 것을 아는 것입니다. ### 질문: 옳은 일을 하고 있다는 것을 어떻게 알 수 있는가? 답: 당신이 옳은 일을 하고 있다는 것을 아는 방법은, 당신이 옳은 일을 하고 있다는 것을 아는 것입니다. 질문: 당신이 옳은 일을 하고 있다는 것을 어떻게 알 수 있는가? 답: 당신이 옳은 일을 하고 있다는 것을 아는 방법은, 당신이 옳은 일을 하고 있다는 것을 아는 것입니다. 질문: 당신은 옳은 일을 하고 있는가? 답: 당신이 옳은 일을 하고 있다면, 당신은 옳은 일을 하고 있는 것입니다. 질문: 당신이 옳은",0
