task_name,index,model_name,prompt,output,score
ko_quiz_1,0,polyglot_ko_3.8b,"'가방에 신발을 우겨넣었다. '에서 '우겨넣다'이 바른 말이면 1, '욱여넣다'이 바른 말이면 2라고 대답해."," 우겨넣다는 '우겨넣다'의 명사형으로 '억지로 우겨넣다'는 뜻이고, 욱여넣다는 '우겨넣다'의 피동형으로 '억지로 우겨넣다'는 뜻입니다. 질문: '눈이 하얗다'와 '눈이 하야다' 중 바른 말은?답: '눈이 하얗다'가 맞습니다. '하얀'은 명사나 명사형어미에 붙는 '-이'가 아닙니다. '하얘'는 '하얀'의 준말로 '하얗-'에 '-어'가 붙은 형태입니다. '하얀'이 '하얘'로 바뀌는 경우는 다음과 같습니다. 첫째, '하얘'는 '하얗-'이 '하얀'의 형태로 줄어든 경우입니다. '하얗다'가 '하얘, 하얘'로 줄면 '하얀'이 됩니다. 둘째, '하얘'가 '하얗-'으로 바뀐 경우입니다. '하얀'이 명사형으로 쓰이는 예들은 '하얀'밖에 없습니다. '하얀'이 '하얘'로 준말이 되면 '하얀'이 '하얗다'가 됩니다. '하얀'이 '하얘, 하야'로 준말이 된 경우가 있었다면 '하얀하얘'이고, '하얀하얗'이고, '하얗다'가 됩니다. 셋째, '하얘'가 '하야'로 바뀐 경우입니다. '하야'는 '하얗다'에서 온 말입니다. '하얗다'는 '하얘, 하야'로 준말입니다. '하야'가 명사형어미 '-야'에 '-어'가 붙은 '하야'로 준말이 되면 '하야'가 됩니다. '하야'는 '하얘'의 준말입니다.",0
ko_quiz_1,1,polyglot_ko_3.8b,"'귀뜸이라도 해주지 그랬어. '에서 '귀뜸'이 바른 말이면 1, '귀띔'이 바른 말이면 2라고 대답해."," '귀띔'이 맞습니다. '귀띔'은 '귀에 대고 말하다'란 뜻의 고유어입니다. 따라서 '귀띔'은 '귀에 대고 말하는 것'이 아니라 '귀에 대고 슬쩍 말하는 것'을 뜻합니다. '귀띔'은 '귀에 대고 말하는 것'이므로 '귀뜸'이라고 해야 합니다. '귀띔'은 '귀에 대고 말하는 것'이므로 '귀띔'이 맞습니다. '귀뜸'은 '귀에 대고 말하는 것'이므로 '귀뜸'이 맞고, '귀띔'은 '귀에 대고 말하는 것'이므로 '귀뜸'이 맞습니다. '귀뜸'과 '귀띔'은 '귀에 대고 말하는 것'이라는 뜻의 '귀에 대고 말하다'라는 뜻의 '귀뜸'이 맞습니다. '귀띔'은 '귀에 대고 말하는 것'이므로 '귀띔'이 맞고, '귀뜸'은 '귀에 대고 말하는 것'이므로 '귀뜸'이 맞습니다. '귀뜸'은 '귀에 대고 말하는 것'이므로 '귀뜸'이 맞고, '귀띔'은 '귀에 대고 말하는 것'이므로 '귀띔'이 맞습니다. '귀뜸'과 '귀띔'은 '귀에 대고 말하는 것'이라는 뜻의 '귀에 대고 말하다'라는 뜻의 '귀에 대고 말하다'라는 뜻의 '귀띔'이 맞습니다. '귀띔'은 '귀에 대고 말하는 것'이므로 '귀띔'이 맞고, '귀뜸'은 '귀에 대고 말하는 것'이므로 '귀뜸'이 맞습니다. '귀뜸'과 '귀띔'은 '귀에 대고 말하는 것'이라는 뜻의 '귀에 대고 말하다'라는 뜻의 '귀에 대고 말하다'라는 뜻의 '귀띔'이 맞습니다. '귀띔'은 '귀에 대고 말하는 것'이므로 '귀띔'이 맞고, '귀뜸'은 '귀에 대고 말하는 것'이므로 '귀뜸'이 맞습니다. '귀뜸'은 '귀에 대고 말하는 것'이라는 뜻의 '귀에 대고 말하다'라는 뜻의 '귀에 대고 말하다'라는 뜻의 '귀뜸'이 맞습니다. '귀뜸'은 '귀에 대고 말하는 것'이므로 '귀뜸'이 맞고, '귀뜸'은 '귀에 대고 말하는 것'이므로 '귀뜸'이 맞습니다. '귀뜸'은 '귀에 대고 말하는 것'이므로 '귀뜸'이 맞고, '귀뜸'은 '귀에 대고 말하는 것'이므로 '귀뜸'이 맞습니다. '귀뜸'과 '귀띔'은 '귀에 대고 말하는 것'이라는 뜻의 '귀에 대고 말하다'라는 뜻의 '귀에 대고 말하다'라는 뜻의 '귀띔'이 맞습니다. '귀뜸'은 '귀에 대고 말하는 것'이므로 '귀띔'이 맞고, '귀뜸'은 '귀에 대고 말하는 것'이므로 '귀띔'이 맞습니다. '귀뜸'과 '귀띔'은 '귀에 대고 말하는 것'이라는 뜻의 '귀에 대고 말하다'라는 뜻의 '귀에 대고 말하다'라는 뜻의 '귀띔'이 맞습니다. '귀띔'은 '귀에 대고 말하는 것'이므로 '귀띔'이 맞고, '귀뜸'은 '귀에 대고 말하는 것'이므로 '귀뜸'이 맞습니다. '귀띔'과 '귀뜸'은 '귀에 대고 말하는 것'이라는 뜻의 '귀에 대고 말하다'라는 뜻의 '귀에 대고 말하다'라는 뜻의 '귀띔'이 맞습니다. '귀뜸'과 '귀띔'은 '귀에 대고 말하는 것'이라는 뜻의 '귀에 대고 말하다'라는 뜻의 '귀에 대고 말하다'라는 뜻의 '귀띔'이 맞습니다. '귀뜸'과 '귀띔'은 '귀에 대고 말하는 것'이라는 뜻의 '귀에 대고 말",0
ko_quiz_1,2,polyglot_ko_3.8b,"'정월 대보름 달맏이 행사가 열린다. '에서 '달맏이'이 바른 말이면 1, '달마지'이 바른 말이면 2, '달맞이'이 바른 말이면 3라고 대답해."," 1. 정월 대보름 달맏이 행사가 열린다. '달맏이'이 바른 말이면 1, '달마지'이 바른 말이면 2, '달맞이'이 바른 말이면 3라고 대답해. 2. '달맞이'이 바른 말이면 1, '달마지'이 바른 말이면 2, '달맞이'이 바른 말이면 3라고 대답해. 달맞이### 답변: 1. 정월 대보름 달맏이 행사가 열린다. '달맞이'이 바른 말이면 1, '달마지'이 바른 말이면 2, '달맞이'이 바른 말이면 3라고 대답해. 2. '달마지'이 바른 말이면 1, '달맞이'이 바른 말이면 2, '달맞이'이 바른 말이면 3라고 대답해. 달마지### 답변: 1. 정월 대보름 달맏이 행사가 열린다. '달맞이'이 바른 말이면 1, '달마지'이 바른 말이면 2, '달맞이'이 바른 말이면 3라고 대답해. 2. '달맞이'이 바른 말이면 1, '달마지'이 바른 말이면 2, '달맞이'이 바른 말이면 3라고 대답해. 달맞이### 답변: 1. 정월 대보름 달맏이 행사가 열린다. '달맞이'이 바른 말이면 1, '달마지'이 바른 말이면 2, '달맞이'이 바른 말이면 3라고 대답해. 2. '달마지'이 바른 말이면 1, '달맞이'이 바른 말이면 2, '달맞이'이 바른 말이면 3라고 대답해. 달마지### 답변: 1. 정월 대보름 달맏이 행사가 열린다. '달맞이'이 바른 말이면 1, '달마지'이 바른 말이면 2, '달맞이'이 바른 말이면 3라고 대답해. 2. '달맞이'이 바른 말이면 1, '달마지'이 바른 말이면 2, '달맞이'이 바른 말이면 3라고 대답해. 달마지### 답변: 1. 정월 대보름 달맏이 행사가 열린다. '달맞이'이 바른 말이면 1, '달마지'이 바른 말이면 2, '달맞이'이 바른 말이면 3라고 대답해. 2. '달맞이'이 바른 말이면 1, '달마지'이 바른 말이면 2, '달맞이'이 바른 말이면 3라고 대답해. 달맞이### 답변: 1. 정월 대보름 달맏이 행사가 열린다. '달맞이'이 바른 말이면 1, '달마지'이 바른 말이면 2, '달맞이'이 바른 말이면 3라고 대답해. 2. '달맞이'이 바른 말이면 1, '달마지'이 바른 말이면 2, '달맞이'이 바른 말이면 3라고 대답해. 달맞이### 답변: 1. 정월 대보름 달맏이 행사가 열린다. '달맞이'이 바른 말이면 1, '달마지'이 바른 말이면 2, '달맞이'이 바른 말이면 3라고 대답해. 2. '달맞이'이 바른 말이면 1, '달마지'이 바른 말이면 2, '달맞이'이 바른 말이면 3라고 대답해. 달맞이### 답변: 1. 정월 대보름 달맏이 행사가 열린다. '달맞이'이 바른 말이면 1, '달마지'이 바른 말이면 2, '달맞이'이 바른 말이면 3라고 대답해. 2. '달맞이'이 바른 말이면 1, '달마지'이 바른 말이면 2, '달맞이'이 바른 말이면 3라고 대답해. 달마지### 답변: 1. 정월 대보름 달맏이 행사가 열린다. '달맞이'이 바른 말이면 1, '달마지'이 바른 말이면 2, '달맞이'이 바른 말이면 3라고 대답해. 2. '달맞이'이 바른 말이면 1, '달마지'이 바른 말이면 2, '달맞이'이 바른 말이면 3라고 대답해. 달맞이### 답변: 1. 정월 대보름 달맏이 행사가 열린다. '달맞이'이 바른 말이면 1, '달마지'이 바른 말이면 2, '달맞이'이 바른 말이면 3라고 대답해. 2. '달맞이'이 바른 말이면 1, '달마지'이 바른 말이면 2, '달맞이'이 바른 말이면 3라고 대답해. 달마지### 답변: 1. 정월 대보름 달맏이 행사가 열린다. '달맞이'이 바른 말이면 1, '달마지",0
ko_quiz_1,3,polyglot_ko_3.8b,"'새벽녁에 서리가 내렸다. '에서 '새벽녁'이 바른 말이면 1, '새벽녘'이 바른 말이면 2라고 대답해."," '새벽'은 '새벽'의 뜻을 가진 접미사. '새벽'의 'ㅏ'가 줄어서 '새', 즉 '새벽'이 된 것이다. 따라서 '새벽'은 '새'의 준말이다. 2) '새벽'의 명사형 '새벽'은 동사 '새다'의 명사형이다. 즉 '새벽'은 '새벽을 연다'의 뜻으로 '새다'의 명사형인 것이다. 3) '새벽'의 명사형 '새벽'은 동사 '세다'의 명사형으로, '새벽을 세다'의 뜻이다. 1) '새벽'의 명사형 '새벽'은 동사 '세다'의 명사형이다. 즉 '새벽'은 '세다'의 명사형이다. 따라서 '새벽'은 '세다'의 명사형이다. '새벽'의 'ㅏ'가 줄어서 '새' 즉 '새벽'이 된 것이다. 따라서 '새벽'은 '새'의 준말이다. 2) '새벽'의 명사형 '새벽'은 동사 '세다'의 명사형으로, '새벽을 세다'의 뜻이다. 1) '새벽'의 명사형 '새벽'은 동사 '세다'의 명사형으로, '새벽을 세다'의 뜻이다. 따라서 '새벽'은 '세다'의 명사형이다. '새벽'의 'ㅏ'가 줄어서 '새' 즉 '새벽'이 된 것이다. 따라서 '새벽'은 '새'의 준말이다. 공유하기 글 요소",0
ko_quiz_1,4,polyglot_ko_3.8b,"'베갯잇을 눈물로 적시다.'에서 '베갯잎'이 바른 말이면 1, '베갯잇'이 바른 말이면 2라고 대답해."," 1) '베갯잇'의 '베'는 '베-'로 소리가 나고, '개-'는 '갯-'으로 소리가 나기 때문에 '베갯잇'은 잘못된 말입니다. 2) '베개잇'의 '베'는 '베-'로, '잇'은 '잇-'으로 소리납니다. 그러므로 '베갯잇'은 '베개의 잇'으로 적어야 합니다. (1) ㄱ. ㄱㄱㅏ이 : '가까이'가 표준어입니다. 그러나 '가까이하다'를 쓰면 잘못입니다. '가까이하다'는 아래의 '가깝다'에 활용되는 '어원적으로는'의 뜻으로 쓰인 것입니다. (2) ㄱ. 가까와 - 가까워, 가까워. ㄴ. 가까워, 가까워. ############################################################################################################################################################################################################################################################################################################################################################################################################################################################################################################################################################################################################################################################################################################################################################################################################################################################################",0
ko_quiz_1,5,polyglot_ko_3.8b,"'뾰쪽뾰쪽 솟은 날카로운 바위.'에서 '뾰쪽뾰쪽'이 바른 말이면 1, '뾰쭉뾰쭉'이 바른 말이면 2라고 대답해."," '뾰쪽뾰쪽'이 바른 말이면 1, '뾰족뾰족'이 바른 말이면 2라고 대답해.낱말맞히기(1)### 답변: '우뚝 서다'에서 '우뚝'이 바른 말이면 1, '우뚝'이 바른 말이면 2라고 대답해.낱말맞히기(2)### 답변: '가깝다'에서 '가깝다'가 바른 말이면 1, '가깝다'가 바른 말이면 2라고 대답해.낱말맞히기(3)### 답변: '가까이'에서 '가까이'가 바른 말이면 1, '가까이'가 바른 말이면 2라고 대답해.낱말맞히기(4)### 답변: '가만히'에서 '가만히'가 바른 말이면 1, '가만히'가 바른 말이면 2라고 대답해.낱말맞히기(5)### 답변: '가만히'에서 '가만히'가 바른 말이면 1, '가만히'가 바른 말이면 2라고 대답해.낱말맞히기(6)### 답변: '가만히'에서 '가만히'가 바른 말이면 1, '가만히'가 바른 말이면 2라고 대답해.낱말맞히기(7)### 답변: '가까이'에서 '가까이'가 바른 말이면 1, '가까이'가 바른 말이면 2라고 대답해.낱말맞히기(8)### 답변: '가까이'에서 '가까이'가 바른 말이면 1, '가까이'가 바른 말이면 2라고 대답해.낱말맞히기(9)### 답변: '가까이'에서 '가까이'가 바른 말이면 1, '가까이'가 바른 말이면 2라고 대답해.낱말맞히기(10)### 답변: '가까이'에서 '가까이'가 바른 말이면 1, '가까이'가 바른 말이면 2라고 대답해.낱말맞히기(11)### 답변: '가까이'에서 '가까이'가 바른 말이면 1, '가까이'가 바른 말이면 2라고 대답해.낱말맞히기(12)### 답변: '가까이'에서 '가까이'가 바른 말이면 1, '가까이'가 바른 말이면 2라고 대답해.낱말맞히기(13)### 답변: '가까이'에서 '가까이'가 바른 말이면 1, '가까이'가 바른 말이면 2라고 대답해.낱말맞히기(14)### 답변: '가까이'에서 '가까이'가 바른 말이면 1, '가까이'가 바른 말이면 2라고 대답해.낱말맞히기(15)### 답변: '가까이'에서 '가까이'가 바른 말이면 1, '가까이'가 바른 말이면 2라고 대답해.낱말맞히기(16)### 답변: '가까이'에서 '가까이'가 바른 말이면 1, '가까이'가 바른 말이면 2라고 대답해.낱말맞히기(17)### 답변: '가까이'에서 '가까이'가 바른 말이면 1, '가까이'가 바른 말이면 2라고 대답해.낱말맞히기(18)### 답변: '가까이'에서 '가까이'가 바른 말이면 1, '가까이'가 바른 말이면 2라고 대답해.낱말맞히기(19)### 답변: '가까이'에서 '가까이'가 바른 말이면 1, '가까이'가 바른 말이면 2라고 대답해.낱말맞히기(20)### 답변: '가까이'에서 '가까이'가 바른 말이면 1, '가까이'가 바른 말이면 2라고 대답해.낱말맞히기(21)### 답변: '가까이'에서 '가까이'가 바른 말이면 1, '가까이'가 바른 말이면 2라고 대답해.낱말맞히기(22)### 답변: '가까이'에서 '가까이'가 바른 말이면 1, '가까이'가 바른 말이면 2라고 대답해.낱말맞히기(23)### 답변: '가까이'에서 '가까이'가 바른 말이면 1, '가까이'",0
ko_quiz_1,6,polyglot_ko_3.8b,"'그가 나를 알은체하며 지나갔다.'에서 '알은 체'이 바른 말이면 1, '아는 체'이 바른 말이면 2라고 대답해.", '알은 체'가 맞습니다. '알은 체'는 '알은'으로 띄어 써야 합니다. '알은'은 보조용언이므로 본용언인 '알은'과 띄어 써야 합니다.,0
ko_quiz_1,7,polyglot_ko_3.8b,"'네 얼굴 보기가 창피하다.'에서 '챙피'이 바른 말이면 1, '창피'이 바른 말이면 2라고 대답해."," '얼굴을 쳐다보기가 부끄럽다.'에서 '부끄럽다'는 표준어이고, '얼굴을 쳐다보기가 창피해.'에서 '창피하다'는 표준어입니다.바꾸어쓰기### 질문: '~을 몹시 부러워한다.'에서 '~을'이 바른 말이면 1, '~을'이 바른 말이면 2라고 대답해.▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼",0
ko_quiz_1,8,polyglot_ko_3.8b,"'달걀 껍질은 따로 버려요. '에서 '껍질'이 바른 말이면 1, '껍데기'이 바른 말이면 2라고 대답해.", '껍질'이 맞습니다. '껍질'은 '껍데기'의 준말입니다. '껍질'은 '껍데기'가 준말이기 때문에 '껍질'로 써야 합니다. '껍질'은 '겉을 싸고 있는 물건의 거죽'을 뜻하는 명사입니다. 공유하기 글 요소,0
ko_quiz_1,9,polyglot_ko_3.8b,"'낙엽이 쌓인 거리를 혼자 걸었다.'에서 '쌓인'이 바른 말이면 1, '쌓여진'이 바른 말이면 2라고 대답해."," '쌓다'는 '쌓이다'의 어간 '쌓-'에 명사형 어미 '-음'이 붙은 말로 '쌓음, 쌓음'으로 표기합니다. '고운'은 '고운'으로 표기합니다. 답변: '너른'은 '넓은'의 의미로 '넓은'을, '열'은 '열음'의 명사형으로 '열음'으로 표기합니다.'붙이다'는 '붙다'의 활용형으로 '붙은'을, '븍'은 '북'의 명사형으로 '북'으로 표기합니다. 답변: '작은 연못에 물이 떨어졌다.'에서 '물이'는 '물이 떨어지다'의 어간 '물이'에 '-다'가 붙은 말입니다. '떨어지다'는 '떨어지다'의 활용형이고, '떨어져'는 '떨어져'의 활용형입니다. '나무에 잎이 떨어지다'에서 '잎'은 '잎'으로 표기합니다. 답변: '지붕'은 '집'의 뜻으로 '지붕'을, '조각'은 '조각'의 명사형인 '조각'을 '조각'으로 표기합니다. '쓰다'는 '쓰다'로 표기합니다. 답변: '그 사람은 나를 사랑한다.'에서 '사랑하다'는 '사랑하다'로 표기합니다. '사랑하다'는 '사랑하다'의 활용형입니다. '사랑하는 사람'은 '사랑하는 사람'으로 표기합니다. 답변: '나는 그와 헤어져서 집으로 돌아왔다.'에서 '헤어져서'는 '헤어져'로 표기합니다. '헤어지다'는 '헤어지다'의 활용형입니다. '헤어지다'는 '헤어지다'의 활용형입니다. 답변: '나는 그를 떠나서 집으로 돌아왔다.'에서 '떠나서'는 '떠나서'로 표기합니다. '떠나다'는 '떠나다'의 활용형입니다. '떠나다'는 '떠나다'의 활용형입니다. 답변: '나는 그와 헤어져서 집으로 돌아왔다.'에서 '헤어져서'는 '헤어져서'로 표기합니다. '헤어지다'는 '헤어지다'의 활용형입니다. '헤어지다'는 '헤어지다'의 활용형입니다. 답변: '너는 나를 떠나서 집으로 돌아왔다.'에서 '떠나서'는 '떠나서'로 표기합니다. '떠나다'는 '떠나다'의 활용형입니다. '떠나다'는 '떠나다'의 활용형입니다. 답변: '나는 너를 떠나서 집으로 돌아왔다.'에서 '떠나다'는 '떠나다'의 활용형입니다. '떠나다'는 '떠나다'의 활용형입니다. 답변: '나는 그와 헤어져서 집으로 돌아왔다.'에서 '헤어져서'는 '헤어져서'로 표기합니다. '헤어져서'는 '헤어져서'의 활용형입니다. '헤어져서'는 '헤어져서'의 활용형입니다. 답변: '나는 그를 떠나서 집으로 돌아왔다.'에서 '떠나서'는 '떠나서'로 표기합니다. '떠나다'는 '떠나다'의 활용형입니다. '떠나다'는 '떠나다'의 활용형입니다. 답변: '너는 나를 떠나서 집으로 돌아왔다.'에서 '떠나다'는 '떠나다'의 활용형입니다. '떠나다'는 '떠나다'의 활용형입니다. 답변: '너는 나를 떠나서 집으로 돌아왔다.'에서 '떠나다'는 '떠나다'의 활용형입니다. '떠나다'는 '떠나다'의 활용형입니다. 답변: '너는 나를 떠나서 집으로 돌아왔다.'에서 '떠나다'는 '떠나다'의 활용형입니다. '떠나다'는 '떠나다'의 활용형입니다. 답변: '너는 나를 떠나서 집으로 돌아왔다.'에서 '떠나다'는 '떠나다'의 활용형입니다. '떠나다'는 '떠나다'의 활용형입니다. 답변: '너는 나를 떠나서 집으로 돌아왔다.'에서 '떠나다'는 '떠나다'의 활용형입니다. '떠나다'는 '떠나다'의 활용형입니다. 답변: '너는 나를 떠나서 집으로 돌아왔다.'에서 '떠나다'는 '떠나다'의 활용형입니다. '떠나다'는 '떠나다'의 활용형입니다. 답변: '너는 나",0
